Wavenumber (cm^-1)	Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF (V)	Valid:Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF
770	1.19824914616088e-5	1
770.995412844037	2.94698822425996e-5	1
771.990825688073	2.89218014569719e-5	1
772.98623853211	2.69101642877448e-5	1
773.981651376147	2.91627160880171e-5	1
774.977064220183	4.23889293323965e-5	1
775.97247706422	4.28135413696136e-5	1
776.967889908257	5.56000854123357e-5	1
777.963302752293	5.63649893659041e-5	0
778.95871559633	6.38604458242968e-5	1
779.954128440367	6.56883855873519e-5	0
780.949541284403	6.27251356254964e-5	1
781.94495412844	7.75112711058933e-5	1
782.940366972476	6.96905798955897e-5	0
783.935779816513	7.75684883307665e-5	1
784.93119266055	7.2129840534922e-5	1
785.926605504586	7.41956834961343e-5	1
786.922018348623	6.85070867705804e-5	1
787.91743119266	9.07706101120415e-5	1
788.912844036696	8.75032054284915e-5	0
789.908256880733	8.75032054284915e-5	1
790.90366972477	9.05628212427651e-5	1
791.899082568806	9.78173630701126e-5	0
792.894495412843	1.03328285255271e-4	1
793.88990825688	1.06466198324634e-4	1
794.885321100916	1.0077760159908e-4	1
795.880733944953	1.09670362917535e-4	1
796.87614678899	1.16900813281778e-4	1
797.871559633026	1.05210430810311e-4	0
798.866972477063	1.05210430810311e-4	1
799.8623853211	1.15783571680306e-4	1
800.857798165136	1.31150913708099e-4	0
801.853211009173	1.29223596659738e-4	1
802.848623853209	1.19758663092551e-4	1
803.844036697246	1.35939092000122e-4	0
804.839449541283	1.35421125543375e-4	1
805.83486238532	1.3472849597912e-4	1
806.830275229356	1.39092062233925e-4	1
807.825688073393	1.41943889178922e-4	1
808.821100917429	1.37872431914259e-4	1
809.816513761466	1.39311896834754e-4	1
810.811926605503	1.46644735917191e-4	1
811.807339449539	1.34406272660097e-4	1
812.802752293576	1.66989976508955e-4	0
813.798165137613	1.61400757068707e-4	1
814.793577981649	1.70450112897341e-4	1
815.788990825686	1.64234515416376e-4	0
816.784403669723	1.63358188445949e-4	1
817.779816513759	1.6340335993927e-4	1
818.775229357796	1.79050765225654e-4	1
819.770642201832	1.67450725740829e-4	1
820.766055045869	1.91858389298592e-4	1
821.761467889906	1.72058218059568e-4	0
822.756880733943	1.72287086959061e-4	1
823.752293577979	1.8482970493785e-4	1
824.747706422016	1.91518097382241e-4	1
825.743119266052	1.98640136162514e-4	1
826.738532110089	1.91966800882563e-4	1
827.733944954126	2.01970780936713e-4	1
828.729357798162	2.13646106243739e-4	1
829.724770642199	2.2010261835575e-4	1
830.720183486236	2.12932396649268e-4	1
831.715596330272	2.20725984963579e-4	1
832.711009174309	2.42468530415405e-4	1
833.706422018346	2.26968685340537e-4	0
834.701834862382	2.26968685340537e-4	1
835.697247706419	2.43115988486339e-4	1
836.692660550456	2.57778655218325e-4	0
837.688073394492	2.51755789442196e-4	1
838.683486238529	2.57004716966092e-4	1
839.678899082566	2.6128697453292e-4	1
840.674311926602	2.58293610242184e-4	1
841.669724770639	2.72046824241975e-4	1
842.665137614675	2.87522577853739e-4	1
843.660550458712	2.77943209836805e-4	1
844.655963302749	2.85724752419564e-4	1
845.651376146786	2.81969495608148e-4	0
846.646788990822	3.027212796398e-4	1
847.642201834859	3.07175188881248e-4	1
848.637614678895	2.92907019857598e-4	1
849.633027522932	3.06012775786455e-4	1
850.628440366969	3.01396249169052e-4	1
851.623853211005	3.07976230029473e-4	1
852.619266055042	3.14131598852677e-4	1
853.614678899079	3.1866982821499e-4	1
854.610091743115	3.30808914186778e-4	0
855.605504587152	3.21000677270352e-4	1
856.600917431189	3.13294420509795e-4	1
857.596330275225	3.1854635946658e-4	1
858.591743119262	3.23988018695312e-4	1
859.587155963299	3.25035997340359e-4	1
860.582568807335	3.17088825948756e-4	1
861.577981651372	3.14821216984044e-4	1
862.573394495409	2.99664675258415e-4	1
863.568807339445	2.86516759269125e-4	0
864.564220183482	2.84282276066181e-4	1
865.559633027518	2.86592045091327e-4	1
866.555045871555	2.95394463423139e-4	0
867.550458715592	2.73838626810373e-4	1
868.545871559628	2.99965818547221e-4	1
869.541284403665	2.97062797243127e-4	1
870.536697247702	3.11291817639232e-4	1
871.532110091738	3.23199023278639e-4	1
872.527522935775	3.4860648255524e-4	1
873.522935779812	3.60107144754758e-4	1
874.518348623848	3.69397415214437e-4	1
875.513761467885	3.81930998894562e-4	1
876.509174311922	4.07362549634267e-4	1
877.504587155958	4.22476931299463e-4	1
878.499999999995	4.21727084510335e-4	1
879.495412844032	4.34390159804647e-4	0
880.490825688068	4.42141588058525e-4	1
881.486238532105	4.32402614098524e-4	1
882.481651376142	4.41280318252538e-4	1
883.477064220178	4.49043792237969e-4	1
884.472477064215	4.40220293875939e-4	1
885.467889908252	4.48540882945662e-4	1
886.463302752288	4.6721477828455e-4	1
887.458715596325	4.56942780703362e-4	1
888.454128440361	4.53624181660715e-4	1
889.449541284398	4.49781593295544e-4	0
890.444954128435	4.49781593295544e-4	1
891.440366972471	4.56641637414555e-4	1
892.435779816508	4.75667870401347e-4	1
893.431192660545	4.73099118147828e-4	1
894.426605504581	4.70801394854235e-4	1
895.422018348618	4.76234019784303e-4	1
896.417431192655	4.68795780550784e-4	1
897.412844036691	4.73084060983388e-4	1
898.408256880728	4.69994330840234e-4	1
899.403669724765	4.86162714016252e-4	1
900.399082568801	4.98145205477861e-4	0
901.394495412838	4.82979629453568e-4	1
902.389908256875	4.90050473874743e-4	1
903.385321100911	4.85596564633296e-4	1
904.380733944948	4.78335999940172e-4	1
905.376146788985	4.7944420724298e-4	1
906.371559633021	5.01186752694806e-4	1
907.366972477058	4.97232741312777e-4	1
908.362385321094	5.11139538389859e-4	0
909.357798165131	5.12789803612519e-4	1
910.353211009168	5.10311394345642e-4	1
911.348623853204	4.96868357933322e-4	1
912.344036697241	4.95181955516005e-4	1
913.339449541278	4.9379067352172e-4	1
914.334862385314	4.87282967050612e-4	0
915.330275229351	5.01930576618158e-4	1
916.325688073388	4.89547564582437e-4	1
917.321100917424	5.06908475182129e-4	1
918.316513761461	4.9092680084517e-4	1
919.311926605498	4.9725984420877e-4	1
920.307339449534	5.08233505652877e-4	1
921.302752293571	4.8560559893196e-4	1
922.298165137608	4.79420115779876e-4	1
923.293577981644	4.75279395558787e-4	0
924.288990825681	4.6590781641113e-4	1
925.284403669718	4.51489075743077e-4	1
926.279816513754	4.28602185793786e-4	0
927.275229357791	4.22985863457546e-4	1
928.270642201827	4.29111117951869e-4	1
929.266055045864	4.34495559955729e-4	1
930.261467889901	4.35356829761715e-4	1
931.256880733937	4.33814976123026e-4	1
932.252293577974	4.22573297151881e-4	1
933.247706422011	4.33447581310682e-4	1
934.243119266047	4.21302472473118e-4	1
935.238532110084	4.28987649203459e-4	0
936.233944954121	4.20682117298177e-4	1
937.229357798157	4.32556197175815e-4	1
938.224770642194	4.39672213090312e-4	1
939.220183486231	4.31231166705067e-4	1
940.215596330267	4.31261281033947e-4	1
941.211009174304	4.39226521022878e-4	1
942.20642201834	4.37004083551487e-4	1
943.201834862377	4.54352948419626e-4	1
944.197247706414	4.65919862142682e-4	1
945.192660550451	4.62309154109893e-4	1
946.188073394487	4.69602844564785e-4	1
947.183486238524	4.60448088585069e-4	0
948.17889908256	4.57379438472131e-4	1
949.174311926597	4.56533225830585e-4	1
950.169724770634	4.5686749488116e-4	1
951.16513761467	4.56141739555137e-4	1
952.160550458707	4.44743466073812e-4	1
953.155963302744	4.6579940482716e-4	0
