Wavenumber (cm^-1)	Intensity profile for Laser = Block Engineering LaserTune LT-OEM [Q0252] - Block Engineering LaserTune LT-OEM [Q0252]: PiF (V)
770	2.80469802029891e-5
771	1.91165759734337e-5
772	2.04416064441821e-5
773	1.01123916381207e-5
774	2.03843892193089e-5
775	1.63867120604032e-5
776	2.25616551973796e-5
777	2.32045961189814e-5
778	2.45597409186104e-5
779	9.5597937031609e-6
780	3.751341948662e-5
781	2.94578365110474e-5
782	2.99321371909175e-5
783	2.60278144515419e-5
784	2.84761093895383e-5
785	2.03979406673052e-5
786	1.46144838057772e-5
787	2.24351750160809e-5
788	2.77187340181901e-5
789	2.21084345477259e-5
790	2.49241242980662e-5
791	1.88380184312878e-5
792	1.04602121366922e-5
793	3.4663098258067e-5
794	1.85173008287089e-5
795	1.64032749412876e-5
796	1.33782906052267e-5
797	2.05334551472681e-5
798	2.22469604605768e-5
799	2.57326940285115e-5
800	3.41089946066631e-5
801	1.90729101965568e-5
802	2.98101741589509e-5
803	4.44201408153961e-5
804	2.97469340683016e-5
805	3.55725509902624e-5
806	4.01393889650123e-5
807	3.39734801267002e-5
808	3.63585349740473e-5
809	5.36245854377654e-5
810	3.4664603974511e-5
811	4.07205955124088e-5
812	5.50459817609318e-5
813	4.21946919111164e-5
814	4.58731571838872e-5
815	3.34886394317218e-5
816	2.48473327594206e-5
817	4.16285425281602e-5
818	6.6578264005775e-5
819	3.10418502101693e-5
820	3.26860925670526e-5
821	2.9859862801604e-5
822	4.64980295081606e-5
823	4.29355044015803e-5
824	3.3264287681561e-5
825	2.72067904272191e-5
826	4.8706915531556e-5
827	4.08817071719202e-5
828	4.27984842051733e-5
829	4.83003720916672e-5
830	4.10608874287601e-5
831	3.49838158606458e-5
832	5.2675984078025e-5
833	3.86728211485249e-5
834	6.22116863180814e-5
835	3.44824122847831e-5
836	5.40416688927623e-5
837	5.65803068174007e-5
838	4.1292767761141e-5
839	5.01237947053903e-5
840	5.17845999431579e-5
841	8.0950327464063e-5
842	4.13891336135591e-5
843	4.34760566049878e-5
844	4.72192676848521e-5
845	5.0530338145279e-5
846	6.38438829434124e-5
847	4.15773481690631e-5
848	5.83329607582543e-5
849	5.35312310182354e-5
850	5.44135808544383e-5
851	5.63905865454526e-5
852	7.48054986559674e-5
853	6.66415040964244e-5
854	5.54329508870481e-5
855	6.00238803249025e-5
856	7.40661918819475e-5
857	5.94697766734987e-5
858	6.27552499543771e-5
859	6.43227007726147e-5
860	8.57339886067536e-5
861	5.93176993126514e-5
862	7.78877002169014e-5
863	5.36787912297505e-5
864	7.30272475355652e-5
865	8.11144505564626e-5
866	8.09638789120593e-5
867	7.7029441843803e-5
868	7.66424727176867e-5
869	8.07395271618985e-5
870	7.91359391490042e-5
871	7.44335866942914e-5
872	6.07737271140306e-5
873	7.88844845028508e-5
874	7.17744914541304e-5
875	7.66379555683546e-5
876	9.05989584374218e-5
877	6.59820002939382e-5
878	5.77653056588541e-5
879	7.66349441354666e-5
880	7.29625017284718e-5
881	6.40065003193679e-5
882	6.8677232728756e-5
883	5.68197157320018e-5
884	9.60556748305948e-5
885	6.51237419208398e-5
886	6.84814895910318e-5
887	5.80453689174441e-5
888	6.17644885342038e-5
889	6.79590059849526e-5
890	7.05488382686881e-5
891	9.03384694926043e-5
892	7.14477509857754e-5
893	7.93316822867284e-5
894	6.48722872746864e-5
895	8.50699676549354e-5
896	8.04910839486332e-5
897	8.80437576318991e-5
898	9.84994526192592e-5
899	8.83915781304705e-5
900	9.5037810514429e-5
901	7.86797070664624e-5
902	7.51427791394306e-5
903	8.83283380398212e-5
904	7.87760729188805e-5
905	8.50639447891592e-5
906	6.35758654163746e-5
907	7.12264106685026e-5
908	7.65957955079217e-5
909	8.6921998881095e-5
910	9.08157816053625e-5
911	8.93748109684236e-5
912	7.51036305118857e-5
913	9.87749987285171e-5
914	6.04319294812353e-5
915	7.41098576588244e-5
916	7.36174883816259e-5
917	7.95695854848855e-5
918	7.32515992857261e-5
919	6.67619614119469e-5
920	7.13574079991335e-5
921	4.63098149526566e-5
922	6.20460575092379e-5
923	7.69586731709335e-5
924	7.67734700483175e-5
925	6.23712922611488e-5
926	7.21494148486944e-5
927	8.15345454443476e-5
928	6.59097259046247e-5
929	8.67593815051396e-5
930	7.92292935685342e-5
931	7.56517112975135e-5
932	6.52984050283476e-5
933	8.89321303338781e-5
934	8.25765012236179e-5
935	7.86782013500184e-5
936	6.43227007726147e-5
937	5.09669959140484e-5
938	6.84167437839384e-5
939	4.52151590978451e-5
940	8.12710450666419e-5
941	5.69431844804125e-5
942	7.89100816823993e-5
943	4.16993112010298e-5
944	7.18768801723246e-5
945	5.68423014786623e-5
946	6.04394580634554e-5
947	5.15286281476724e-5
948	4.56412768515063e-5
949	5.56919341154217e-5
950	8.24199067134385e-5
951	6.93804023081191e-5
952	4.10789560260885e-5
953	5.27603041988908e-5
954	5.71449504839128e-5
955	5.89036272905425e-5
956	6.51433162346122e-5
