Wavenumber	BacVan30_1	BacVan30_2	BacVan30_3	BacVan30_4	BacVan30_5	BacVan30_6	Control30_1	Control30_2	Control30_3	Control30_4	Control30_5	Control30_6
786	0.120162	0.0676068	0.116899	0.069163	0.118878	0.0784352	0.0826936	0.100709	0.139877	-0.0544447	0.0455428	0.0723999
788	0.13401	0.0989601	0.107151	0.0725428	0.0810402	0.00523283	0.137907	0.0726379	0.17007	0.0103399	0.0826193	0.10843
790	0.167601	0.177352	0.096739	0.0912629	0.0626143	0.0543431	0.129712	0.0304463	0.153901	0.0408316	0.014102	0.0453037
792	0.183146	0.227073	0.109068	0.0958616	0.0808784	0.118773	0.165566	0.0899144	0.179427	0.0360878	0.0847937	0.0761448
794	0.197419	0.216677	0.171331	0.0917977	0.105827	0.143515	0.145296	0.130884	0.216978	0.014113	0.143357	0.113343
796	0.143037	0.208254	0.16547	0.118751	0.119349	0.219678	0.131724	0.152192	0.250192	0.0462073	0.152065	0.108013
798	0.125619	0.231313	0.148186	0.0986368	0.124594	0.172609	0.140023	0.170788	0.23956	0.0304995	0.115896	0.0917173
800	0.152592	0.220456	0.148425	0.0866446	0.0782367	0.127698	0.137182	0.17826	0.225639	0.0825083	0.133831	0.0821143
802	0.179169	0.193192	0.154456	0.120841	0.0565706	0.117697	0.158889	0.167236	0.210445	0.0958176	0.123354	0.133865
804	0.161466	0.188792	0.147847	0.138635	0.0668393	0.117342	0.196634	0.180605	0.222933	0.0778149	0.133454	0.162059
806	0.153145	0.188668	0.158562	0.105822	0.0867609	0.115319	0.210155	0.158764	0.232057	0.100053	0.131354	0.136223
808	0.171095	0.165292	0.144108	0.121019	0.107137	0.120944	0.207704	0.179054	0.235067	0.0799489	0.146132	0.119766
810	0.208027	0.178113	0.154536	0.12475	0.121807	0.151551	0.196428	0.209961	0.228682	0.0855124	0.118612	0.116973
812	0.183832	0.204536	0.174317	0.102403	0.103377	0.152817	0.193677	0.208933	0.218805	0.0717674	0.117021	0.0970477
814	0.166512	0.204796	0.180774	0.108625	0.0864024	0.170062	0.211247	0.175916	0.220332	0.11379	0.129959	0.126869
816	0.181953	0.208752	0.183626	0.126852	0.102662	0.154352	0.190503	0.160436	0.205824	0.12994	0.125062	0.116383
818	0.20129	0.227104	0.172819	0.115703	0.101541	0.127727	0.184258	0.16244	0.224627	0.0993235	0.111973	0.0951732
820	0.194077	0.23372	0.172902	0.119153	0.120047	0.13334	0.165639	0.157194	0.232317	0.0956749	0.12858	0.115331
822	0.176834	0.23769	0.175102	0.100891	0.119934	0.118829	0.169715	0.175641	0.204306	0.0940566	0.124525	0.138991
824	0.159067	0.228179	0.165719	0.0652658	0.0910191	0.11616	0.155725	0.174062	0.2096	0.112996	0.113317	0.150366
826	0.170434	0.233788	0.159326	0.0900885	0.0939543	0.127258	0.18384	0.170672	0.197231	0.11245	0.0914554	0.142888
828	0.164789	0.245574	0.167799	0.0978404	0.0980843	0.127284	0.209486	0.158521	0.213701	0.0942929	0.0956694	0.141778
830	0.165753	0.241475	0.171876	0.100675	0.103009	0.121055	0.216359	0.157906	0.230331	0.0861551	0.117432	0.150402
832	0.172465	0.237745	0.179059	0.10075	0.110344	0.118466	0.201069	0.15831	0.220578	0.097214	0.133272	0.151953
834	0.180829	0.240265	0.17784	0.0903034	0.119607	0.139504	0.214906	0.155908	0.222802	0.102417	0.133339	0.131663
836	0.187285	0.223363	0.176574	0.0965039	0.0991091	0.140812	0.231414	0.15235	0.231689	0.111557	0.113357	0.127272
838	0.184464	0.214974	0.178458	0.096177	0.0955286	0.136648	0.239636	0.169282	0.22625	0.107741	0.107153	0.166482
840	0.172058	0.222888	0.170147	0.0975155	0.11546	0.143969	0.234463	0.171927	0.217186	0.126616	0.114978	0.174863
842	0.17563	0.245662	0.188135	0.104811	0.121594	0.14808	0.215571	0.188411	0.225951	0.12862	0.157776	0.167782
844	0.197102	0.239591	0.210496	0.105476	0.126678	0.143709	0.2283	0.201036	0.246077	0.108712	0.157184	0.173263
846	0.205195	0.24131	0.212599	0.112585	0.128736	0.153043	0.241373	0.198385	0.251907	0.111206	0.136203	0.17936
848	0.200991	0.232689	0.219351	0.115004	0.124891	0.16166	0.245823	0.194825	0.24801	0.14021	0.145523	0.185359
850	0.205567	0.255606	0.216068	0.121421	0.139368	0.157154	0.26784	0.2066	0.259007	0.15282	0.144234	0.193153
852	0.216845	0.267304	0.220949	0.134852	0.148579	0.157049	0.271012	0.213763	0.258819	0.157982	0.167712	0.184575
854	0.226459	0.28501	0.221484	0.131079	0.151773	0.176157	0.263304	0.223585	0.265491	0.140565	0.17499	0.194412
856	0.223356	0.284975	0.223403	0.116629	0.137688	0.179966	0.265595	0.210159	0.259403	0.134222	0.168599	0.186053
858	0.212901	0.278663	0.219186	0.117167	0.129303	0.176914	0.257851	0.212732	0.260567	0.133401	0.163167	0.184737
860	0.216762	0.277146	0.22867	0.12769	0.146738	0.177797	0.247086	0.218353	0.254616	0.146736	0.168155	0.186923
862	0.218526	0.288678	0.229966	0.130996	0.147929	0.192088	0.245167	0.211317	0.251535	0.152156	0.141843	0.19048
864	0.207163	0.28479	0.214506	0.122984	0.143404	0.176871	0.251277	0.198544	0.255139	0.144742	0.140479	0.179784
866	0.221765	0.267898	0.216942	0.123495	0.133339	0.171551	0.260081	0.192437	0.259276	0.14368	0.144836	0.178274
868	0.230136	0.270891	0.213487	0.127275	0.121605	0.173914	0.235845	0.199669	0.254604	0.146496	0.159754	0.175297
870	0.213557	0.277078	0.214588	0.121681	0.119228	0.166242	0.216382	0.201339	0.246296	0.133852	0.154332	0.174821
872	0.20039	0.272107	0.216785	0.103131	0.115463	0.172029	0.225007	0.205043	0.251766	0.136905	0.143533	0.163557
874	0.205049	0.263739	0.206459	0.111764	0.123372	0.170127	0.228484	0.18692	0.248008	0.157339	0.149885	0.163387
876	0.215423	0.263959	0.208448	0.1171	0.128639	0.14869	0.221691	0.167121	0.246003	0.147958	0.135614	0.165936
878	0.216807	0.242223	0.21505	0.108835	0.110127	0.136266	0.205716	0.160275	0.230934	0.128259	0.126193	0.150582
880	0.205461	0.251741	0.195663	0.102673	0.101459	0.140592	0.20615	0.16025	0.22913	0.119609	0.131076	0.155031
882	0.190688	0.254548	0.184672	0.105118	0.0849845	0.145441	0.214915	0.163565	0.225084	0.119848	0.124668	0.16412
884	0.19253	0.237764	0.198459	0.102508	0.0877072	0.131894	0.218299	0.168423	0.224693	0.1141	0.123143	0.1648
886	0.191102	0.231987	0.191312	0.106888	0.0926805	0.114972	0.197815	0.165376	0.201175	0.115925	0.130854	0.161349
888	0.191074	0.227717	0.181077	0.102855	0.103144	0.116888	0.188933	0.161536	0.177393	0.122148	0.126401	0.151543
890	0.178136	0.219448	0.184104	0.0902611	0.107369	0.124162	0.191336	0.149656	0.172625	0.102811	0.109073	0.141455
892	0.172092	0.230467	0.174763	0.0848094	0.10519	0.132562	0.187991	0.14208	0.172666	0.0965969	0.112689	0.133192
894	0.171816	0.233892	0.17207	0.0846431	0.0972289	0.139807	0.189884	0.134616	0.186989	0.105112	0.107676	0.128372
896	0.170831	0.220029	0.185784	0.0815907	0.09571	0.133492	0.197817	0.13441	0.19005	0.113504	0.0994984	0.123168
898	0.165931	0.220138	0.194318	0.0837712	0.0952313	0.129434	0.177395	0.137858	0.173035	0.102112	0.0965357	0.120551
900	0.164844	0.224531	0.184206	0.0917657	0.0951967	0.130388	0.174733	0.13624	0.181505	0.0978415	0.0995305	0.134669
902	0.164344	0.229483	0.175421	0.0873223	0.0930719	0.130781	0.196128	0.142882	0.182737	0.101155	0.11232	0.138582
904	0.17464	0.221545	0.17833	0.0859921	0.0926942	0.139548	0.205097	0.155968	0.193065	0.10424	0.123209	0.13241
906	0.185024	0.224643	0.181282	0.0994745	0.107756	0.144595	0.201447	0.15289	0.201103	0.111369	0.130226	0.142748
908	0.189579	0.235644	0.189722	0.105566	0.125387	0.14729	0.206226	0.160788	0.203872	0.1248	0.148406	0.158217
910	0.192037	0.241837	0.20695	0.104745	0.120072	0.147919	0.220247	0.163422	0.202257	0.123832	0.146206	0.153669
912	0.195247	0.240228	0.208	0.10028	0.122204	0.143975	0.225399	0.16666	0.212827	0.123041	0.136258	0.155782
914	0.201561	0.241004	0.212658	0.099403	0.132854	0.149704	0.210261	0.174193	0.221969	0.121372	0.130689	0.148341
916	0.197963	0.236307	0.21498	0.10349	0.133434	0.164098	0.208338	0.174464	0.215254	0.121255	0.12736	0.146322
918	0.194784	0.245345	0.223017	0.108534	0.129347	0.160744	0.215222	0.171758	0.212902	0.110893	0.1292	0.152772
920	0.196884	0.2418	0.219453	0.11147	0.123995	0.156194	0.208156	0.164245	0.2166	0.102642	0.123752	0.165774
922	0.19569	0.239354	0.211146	0.10779	0.121166	0.149799	0.203772	0.164113	0.211295	0.107771	0.111537	0.166085
924	0.191685	0.241042	0.20759	0.0997465	0.114779	0.151672	0.19911	0.150588	0.208725	0.103726	0.111908	0.151592
926	0.186407	0.242955	0.20601	0.096188	0.112055	0.149471	0.207132	0.137717	0.207	0.104623	0.12647	0.146691
928	0.19404	0.23213	0.20676	0.0988598	0.118648	0.1525	0.208911	0.147949	0.205927	0.108127	0.136269	0.153191
930	0.194475	0.222877	0.204022	0.104515	0.122457	0.160694	0.20683	0.151403	0.203217	0.108612	0.13778	0.15492
