Wavenumber (cm^-1)	Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF (V)
770	2.66572039251474e-5
770.995412844037	1.96074395341883e-5
771.990825688073	3.32793448460013e-5
772.98623853211	2.87019668561432e-5
773.981651376147	2.36036109766499e-5
774.977064220183	3.91847647394959e-5
775.97247706422	3.25023951608806e-5
776.967889908257	3.83777007254946e-5
777.963302752293	5.76087111486748e-5
778.95871559633	4.64965237917166e-5
779.954128440367	4.26840497554269e-5
780.949541284403	4.05760467337817e-5
781.94495412844	5.04716152039618e-5
782.940366972476	5.31909391018841e-5
783.935779816513	6.34117423239752e-5
784.93119266055	5.30403674574808e-5
785.926605504586	5.68046585675615e-5
786.922018348623	4.52738820391624e-5
787.91743119266	6.33033307400048e-5
788.912844036696	6.43543208179394e-5
789.908256880733	7.59182231081072e-5
790.90366972477	6.67213070679581e-5
791.899082568806	6.54775852851874e-5
792.894495412843	6.80373032400423e-5
793.88990825688	7.75112711058933e-5
794.885321100916	7.63398237124362e-5
795.880733944953	6.12465220774567e-5
796.87614678899	7.51533191545388e-5
797.871559633026	8.77983258515218e-5
798.866972477063	6.96002369089478e-5
799.8623853211	6.46133040463129e-5
800.857798165136	7.99264402821211e-5
801.853211009173	7.80683861901853e-5
802.848623853209	5.85844154044077e-5
803.844036697246	8.22874036663637e-5
804.839449541283	6.8910618777581e-5
805.83486238532	1.00837830256841e-4
806.830275229356	9.16890971429012e-5
807.825688073393	9.601652620305e-5
808.821100917429	8.46664356479347e-5
809.816513761466	9.50167304842126e-5
810.811926605503	9.98741717326607e-5
811.807339449539	9.29810018518809e-5
812.802752293576	7.96222855604266e-5
813.798165137613	1.10016677699662e-4
814.793577981649	1.11691034385426e-4
815.788990825686	9.95850741754065e-5
816.784403669723	1.07996006231771e-4
817.779816513759	1.05231510840527e-4
818.775229357796	1.22568329977115e-4
819.770642201832	9.99133203602055e-5
820.766055045869	1.01117893515431e-4
821.761467889906	1.23188685152056e-4
822.756880733943	1.11353753901963e-4
823.752293577979	1.09531837004684e-4
824.747706422016	9.96422914002797e-5
825.743119266052	1.24766675985402e-4
826.738532110089	1.20171229398216e-4
827.733944954126	1.21405916882322e-4
828.729357798162	1.26844564678167e-4
829.724770642199	1.25748403106911e-4
830.720183486236	1.37998912095558e-4
831.715596330272	1.35881874775248e-4
832.711009174309	1.39224565281e-4
833.706422018346	1.36640755863041e-4
834.701834862382	1.31364725443152e-4
835.697247706419	1.32448841282855e-4
836.692660550456	1.37535151430796e-4
837.688073394492	1.42510038561878e-4
838.683486238529	1.51044439366653e-4
839.678899082566	1.49448379935979e-4
840.674311926602	1.60714150370229e-4
841.669724770639	1.48858139089919e-4
842.665137614675	1.4698803926643e-4
843.660550458712	1.57434699955126e-4
844.655963302749	1.55236353946839e-4
845.651376146786	1.72293109824837e-4
846.646788990822	1.71257176911343e-4
847.642201834859	1.52140600937909e-4
848.637614678895	1.65568580185789e-4
849.633027522932	1.7991203503164e-4
850.628440366969	1.77719711889129e-4
851.623853211005	1.85501254471888e-4
852.619266055042	1.91981858047003e-4
853.614678899079	1.86952765123935e-4
854.610091743115	1.90292444196799e-4
855.605504587152	1.6527044832987e-4
856.600917431189	1.90668873307807e-4
857.596330275225	1.8230913561054e-4
858.591743119262	1.79198325437169e-4
859.587155963299	1.68318018412592e-4
860.582568807335	1.81845374945778e-4
861.577981651372	1.77554083080286e-4
862.573394495409	1.72500898694113e-4
863.568807339445	1.56829401944625e-4
864.564220183482	1.61259219722968e-4
865.559633027518	1.72799030550032e-4
866.555045871555	1.63081136620247e-4
867.550458715592	1.59401165631033e-4
868.545871559628	1.62939599274508e-4
869.541284403665	1.5658848731358e-4
870.536697247702	1.51929800635744e-4
871.532110091738	1.6618893536073e-4
872.527522935775	1.65411985675609e-4
873.522935779812	1.82441638657614e-4
874.518348623848	1.7988192070276e-4
875.513761467885	1.86419741502748e-4
876.509174311922	2.15723994936504e-4
877.504587155958	2.15630640516974e-4
878.499999999995	2.38532587630705e-4
879.495412844032	2.34250330063877e-4
880.490825688068	2.55113537112388e-4
881.486238532105	2.56519876271114e-4
882.481651376142	2.43865835275467e-4
883.477064220178	2.61964546932735e-4
884.472477064215	2.54405850383693e-4
885.467889908252	2.58227358718647e-4
886.463302752288	2.69225111625858e-4
887.458715596325	2.63102868564423e-4
888.454128440361	2.78964085585859e-4
889.449541284398	2.77244557406774e-4
890.444954128435	2.57320917419339e-4
891.440366972471	2.96017830030969e-4
892.435779816508	2.87546669316843e-4
893.431192660545	2.91669320940604e-4
894.426605504581	2.91139308752304e-4
895.422018348618	2.9337078052236e-4
896.417431192655	2.84288298931957e-4
897.412844036691	3.06009764353567e-4
898.408256880728	2.93900792710659e-4
899.403669724765	3.08753179714594e-4
900.399082568801	3.06229598954396e-4
901.394495412838	2.82803662518141e-4
902.389908256875	3.04109550201198e-4
903.385321100911	3.16441367877822e-4
904.380733944948	3.05178608876461e-4
905.376146788985	3.16932231438577e-4
906.371559633021	3.06338010538366e-4
907.366972477058	3.0745224070695e-4
908.362385321094	2.9570464101061e-4
909.357798165131	3.02543605099405e-4
910.353211009168	3.26457393663525e-4
911.348623853204	3.13297431942683e-4
912.344036697241	2.88871699787592e-4
913.339449541278	2.98405896311204e-4
914.334862385314	3.14854342745812e-4
915.330275229351	3.16832854153271e-4
916.325688073388	3.37196163342363e-4
917.321100917424	3.27002463016265e-4
918.316513761461	3.05268951863103e-4
919.311926605498	3.11930241411502e-4
920.307339449534	3.22223319022906e-4
921.302752293571	3.18970971503797e-4
922.298165137608	3.0577186115541e-4
923.293577981644	3.11361080595658e-4
924.288990825681	3.08009355791242e-4
925.284403669718	3.10816011242918e-4
926.279816513754	3.04296259040258e-4
927.275229357791	3.09415694949968e-4
928.270642201827	3.01432386363709e-4
929.266055045864	3.1949496082632e-4
930.261467889901	3.11044880142411e-4
931.256880733937	2.84935757002891e-4
932.252293577974	2.97999352871315e-4
933.247706422011	2.76880174027319e-4
934.243119266047	2.8728768608847e-4
935.238532110084	3.02618890921606e-4
936.233944954121	2.95475772111117e-4
937.229357798157	2.9766508382074e-4
938.224770642194	3.1126471474324e-4
939.220183486231	3.05344237685305e-4
940.215596330267	3.18347604895967e-4
941.211009174304	3.18425902151057e-4
942.20642201834	3.18817388426505e-4
943.201834862377	3.06404262061903e-4
944.197247706414	3.33880575732604e-4
945.192660550451	3.45314986408585e-4
946.188073394487	3.18627668154557e-4
947.183486238524	3.30950451532517e-4
948.17889908256	3.28715968329573e-4
949.174311926597	3.36109036069772e-4
950.169724770634	3.47998173111851e-4
951.16513761467	3.30447542240211e-4
952.160550458707	3.36545693838541e-4
953.155963302744	3.18456016479938e-4
954.15137614678	3.2977900413906e-4
955.146788990817	3.29252003383649e-4
956.142201834854	3.20753739773531e-4
957.13761467889	3.32534465231639e-4
958.133027522927	3.1560418953494e-4
959.128440366964	3.31847858533161e-4
960.123853211	3.2461439673603e-4
961.119266055037	3.27499349442795e-4
962.114678899074	3.28327493487013e-4
963.11009174311	3.21880015673667e-4
964.105504587147	3.28155841812394e-4
965.100917431183	3.24171716101484e-4
966.09633027522	3.2601471302898e-4
967.091743119257	3.00291053299132e-4
968.087155963293	3.13143848865392e-4
969.08256880733	3.05416512074618e-4
