#cm^-1	mean CaF2 5%
1351	8.518271788489069e-5
1352	9.049439249793056e-5
1353	8.401173327001738e-5
1354	9.300258680013931e-5
1355	9.343492856714875e-5
1356	9.780455147847529e-5
1357	9.888670538202855e-5
1358	9.320006356574597e-5
1359	8.904311762307761e-5
1360	0.0001001424345304259
1361	9.415484819328424e-5
1362	0.0001084074028767646
1363	0.0001023246251861564
1364	0.0001041165509377606
1365	0.0001103731221519412
1366	0.0001092930760933085
1367	0.0001085010226233862
1368	0.0001183442640467546
1369	0.0001119812528486364
1370	0.0001165341207524762
1371	0.0001141236920375376
1372	0.0001124451926443725
1373	0.0001115644874516875
1374	0.0001167010355857199
1375	0.0001240905243321322
1376	0.0001275837785215115
1377	0.0001229973320732824
1378	0.0001253196605830452
1379	0.0001165986628620885
1380	0.0001255655268323608
1381	0.0001370330806821585
1382	0.0001295774956815875
1383	0.0001345736367511563
1384	0.0001321557487244717
1385	0.0001170520888990724
1386	0.0001247820400749334
1387	0.000145703146699816
1388	0.0001466745277866722
1389	0.0001341787574347109
1390	0.0001471969226258806
1391	0.0001535981806227938
1392	0.000121695727284532
1393	0.0001339266134891659
1394	0.0001376647531287745
1395	0.000161146365280729
1396	0.0001536589945317244
1397	0.0001242432161234319
1398	0.0001377062173560262
1399	0.0001516323856776582
1400	0.0001717584455036558
1401	0.0001747234593494794
1402	0.0001574746580445208
1403	0.0001175018725916743
1404	0.0001608712074812502
1405	0.0001682786198216488
1406	0.0001542931539006531
1407	0.0001655656946240924
1408	0.0001631912979064508
1409	0.0001615983666852116
1410	0.0001703142697806468
1411	0.0001620015173102726
1412	0.0001619099697563798
1413	0.0001681438356172292
1414	0.0001943326584296302
1415	0.0001870853040600196
1416	0.0002040218299953268
1417	0.0001334851534920746
1418	0.0001485475004301408
1419	0.000169777893461287
1420	0.0001814999239286408
1421	0.0001683812821283936
1422	0.0001431711483746768
1423	0.0001540576995466834
1424	0.0001553253809106536
1425	0.0001581901466124692
1426	0.0001592168686329386
1427	0.0001463916109059938
1428	0.0001303625234868377
1429	0.0001653578947298228
1430	0.0001636030458030294
1431	0.0001563734796945938
1432	0.0001781462255166842
1433	0.0001893418608233332
1434	0.000116336383507587
1435	0.0001197191930259577
1436	0.0001422344386810436
1437	0.000137929075572174
1438	0.0001436205056961626
1439	0.0001464533663238399
1440	0.0001479247861425393
1441	0.0001428887684596703
1442	0.000151216123776976
1443	0.0001608090591616928
1444	0.0001491961942519994
1445	0.0001423745561623946
1446	0.00012324078270467
1447	0.0001303704761085102
1448	0.0001307103710132651
1449	0.0001231764588737859
1450	0.0001278739931876771
1451	0.0001545883147628046
1452	0.000172945929807611
1453	0.0001697298968792894
1454	0.0001344122210866771
1455	0.0001053259329637513
1456	0.0001098848762921988
1457	0.0001214686926687135
1458	0.000137478517717682
1459	0.0001434707883163356
1460	0.0001578285984578542
1461	0.0001619284928892741
1462	0.0001396109320921825
1463	0.0001191135757835582
1464	0.0001416899845935405
1465	0.0001361274597002194
1466	0.0001353839630610311
1467	0.0001373136474285276
1468	0.0001508746587205678
1469	0.0001322197873378173
1470	9.397192479809738e-5
1471	8.59109713928774e-5
1472	9.782904526218776e-5
1473	9.801416745176526e-5
1474	8.258424859377564e-5
1475	8.888247248250988e-5
1476	8.984368178062138e-5
1477	9.317331132479006e-5
1478	9.463897149544205e-5
1479	8.924648136598983e-5
1480	8.803407545201468e-5
1481	8.643242690595793e-5
1482	0.0001016677779261955
1483	0.0001002569682896137
1484	9.350707550765958e-5
1485	8.72921460540967e-5
1486	9.704961703391757e-5
1487	8.523779688403014e-5
1488	6.497746944660325e-5
1489	8.336786195286544e-5
1490	9.392915744683709e-5
1491	0.0001050122096785343
1492	0.0001047841986292041
1493	0.0001006519582006148
1494	7.662372008780955e-5
1495	0.0001019609218928964
1496	9.331723413197333e-5
1497	9.014823735924438e-5
1498	0.0001089502562535927
1499	0.0001041029492625967
1500	0.0001067001765477472
1501	0.0001257281575817614
1502	0.0001477601093938574
1503	0.0001505607840954324
1504	0.0001099911780329422
1505	7.007738822721878e-5
1506	8.371590665774424e-5
1507	9.186270617647104e-5
1508	8.973700896603994e-5
1509	9.107958467211586e-5
1510	7.70507074776106e-5
1511	7.421969785355037e-5
1512	7.57056957809255e-5
1513	6.864077731734146e-5
1514	5.848013461218217e-5
1515	5.338308110367507e-5
1516	6.510685561806893e-5
1517	6.399458870873787e-5
1518	6.010716169839728e-5
1519	5.657108267769218e-5
1520	5.557994372793472e-5
