#cm^-1	mean CaF2 BacVan15
1490	2.559991116868334e-5
1491	2.459655297570864e-5
1492	2.305461142289764e-5
1493	2.27810081317633e-5
1494	2.48320502578281e-5
1495	2.381539161433467e-5
1496	2.38096272369148e-5
1497	2.510211318925333e-5
1498	2.355574664155334e-5
1499	2.303976786303491e-5
1500	2.304619132094861e-5
1501	2.53520223244171e-5
1502	2.612165371829177e-5
1503	2.60952820099192e-5
1504	2.611234837483304e-5
1505	2.35508662929836e-5
1506	2.381539161433467e-5
1507	2.408168741870517e-5
1508	2.25184800607773e-5
1509	2.302581015101171e-5
1510	2.636157660163007e-5
1511	2.379389904187217e-5
1512	2.483869987675767e-5
1513	2.663828915198487e-5
1514	2.406972695704707e-5
1515	2.48488904617261e-5
1516	2.63560395978857e-5
1517	2.686602541264924e-5
1518	2.76409906897849e-5
1519	2.713166274285564e-5
1520	2.508815487090034e-5
1521	2.532984884358787e-5
1522	2.915279219450897e-5
1523	2.585513114657563e-5
1524	2.405930899840317e-5
1525	2.55954861737943e-5
1526	2.660460995684844e-5
1527	2.508815487090034e-5
1528	2.557022647427707e-5
1529	2.585535791392127e-5
1530	2.63493899789561e-5
1531	2.688685951094763e-5
1532	2.353956430548957e-5
1533	2.63540423475206e-5
1534	2.714473460703934e-5
1535	2.765295054511324e-5
1536	2.507885013377141e-5
1537	2.482540003256874e-5
1538	2.687201655741467e-5
1539	2.380320377900111e-5
1540	2.533096085244324e-5
1541	2.814101329325544e-5
1542	2.76560598043337e-5
1543	2.405554187134844e-5
1544	2.302957788439624e-5
1545	2.37845936984134e-5
1546	2.583475179562814e-5
1547	2.481432481242033e-5
1548	2.533584059468317e-5
1549	2.865830720111264e-5
1550	2.661591194434247e-5
1551	2.612165371829177e-5
1552	2.789310140845677e-5
1553	2.73817762111624e-5
1554	2.663717774945934e-5
1555	2.81538589964233e-5
1556	2.40845686979204e-5
1557	2.40714968337367e-5
1558	2.713542986991037e-5
1559	2.38087413890753e-5
1560	2.508084738413647e-5
1561	2.583009882073384e-5
1562	2.252778540423607e-5
1563	2.5861781371835e-5
1564	2.279408060227677e-5
1565	2.765960077037261e-5
1566	2.507773812491604e-5
1567	2.406772910035217e-5
1568	2.277901027506837e-5
1569	2.45602168433834e-5
1570	2.382004398289914e-5
1571	2.276970553793947e-5
1572	2.532830573424387e-5
1573	2.58728565919834e-5
1574	2.586908885859883e-5
1575	2.609727926028427e-5
1576	2.433779203177744e-5
1577	2.431718409449484e-5
1578	2.279807449667714e-5
1579	2.484047035977714e-5
1580	2.431430220894984e-5
1581	2.457794228879114e-5
1582	2.738887936478327e-5
1583	2.585624376176084e-5
1584	2.457882753030087e-5
1585	2.432560480277367e-5
1586	2.507773812491604e-5
1587	2.432006719269947e-5
1588	2.610281626402867e-5
1589	2.430676734851054e-5
1590	2.327991872637844e-5
1591	2.457394778806097e-5
1592	2.714207948883997e-5
1593	2.407903169417601e-5
1594	2.278366324996267e-5
1595	2.533273072913287e-5
1596	2.484689260503124e-5
1597	2.485066033841577e-5
1598	2.356770710321144e-5
1599	2.22679124514495e-5
1600	2.611500409936224e-5
1601	2.534691581483157e-5
1602	2.328280061192347e-5
1603	2.43049968654911e-5
1604	2.713608834407447e-5
1605	2.764652769352927e-5
1606	2.508727023572044e-5
1607	2.509457832881404e-5
1608	2.407880492683033e-5
1609	2.507773812491604e-5
1610	2.303334561778077e-5
1611	2.200915211384807e-5
1612	2.60952820099192e-5
1613	2.635515496270577e-5
1614	2.509369308730433e-5
1615	2.7627690845596e-5
1616	2.328457109494294e-5
1617	2.482186027918944e-5
1618	2.328080336155837e-5
1619	2.353979107283524e-5
1620	2.330075343100664e-5
1621	2.63757616873287e-5
1622	2.380343115267653e-5
1623	2.712324264090667e-5
1624	2.61010457810092e-5
1625	2.636734158537974e-5
1626	2.328745358681773e-5
1627	2.430610948067623e-5
1628	2.40630767317877e-5
1629	2.432006719269947e-5
1630	2.559725605048394e-5
1631	2.892637227584297e-5
1632	2.534403332295674e-5
1633	2.303511549447043e-5
1634	2.510699232516344e-5
1635	2.276416792786523e-5
1636	2.609151427653464e-5
1637	2.76157303839379e-5
1638	2.635138722932124e-5
1639	2.431518684412977e-5
1640	2.63496167463018e-5
1641	2.660460995684844e-5
1642	2.943104846053761e-5
1643	2.737646536843387e-5
1644	2.354333143254434e-5
1645	2.25231324293418e-5
1646	2.4315414824135e-5
1647	2.560390566941353e-5
1648	2.789775438335107e-5
1649	2.506555028958247e-5
1650	2.379190118517727e-5
1651	2.25390873917301e-5
1652	2.22752205445431e-5
1653	2.433313966321294e-5
1654	2.380320377900111e-5
1655	2.613007442657057e-5
1656	2.45677517038227e-5
1657	2.280073022120637e-5
1658	2.40340492988859e-5
1659	2.6371994560274e-5
