Wavenumber (cm^-1)	Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF (V)	Valid:Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF
770	4.01996176227736e-5	1
770.995412844037	4.39217486724214e-5	1
771.990825688073	5.66721555204867e-5	1
772.98623853211	5.75002995647044e-5	1
773.981651376147	6.94888138920894e-5	1
774.977064220183	8.31817992341189e-5	1
775.97247706422	1.05629019981752e-4	1
776.967889908257	1.06544495579724e-4	1
777.963302752293	1.11950017613799e-4	1
778.95871559633	1.05014687672587e-4	1
779.954128440367	1.26561489986689e-4	1
780.949541284403	1.33373351179491e-4	1
781.94495412844	1.28892339042051e-4	1
782.940366972476	1.44223543875187e-4	1
783.935779816513	1.49598951580382e-4	1
784.93119266055	1.58750696127211e-4	1
785.926605504586	1.8073716764297e-4	1
786.922018348623	1.80342669934633e-4	1
787.91743119266	1.74629981745975e-4	1
788.912844036696	1.83968435131863e-4	1
789.908256880733	2.03383142961215e-4	1
790.90366972477	2.02052089624691e-4	1
791.899082568806	2.1096894240625e-4	1
792.894495412843	2.16329292947005e-4	1
793.88990825688	2.30425810296035e-4	1
794.885321100916	2.20045401130876e-4	1
795.880733944953	2.15540297530332e-4	1
796.87614678899	2.35352514500908e-4	1
797.871559633026	2.31377423088663e-4	1
798.866972477063	2.35677749252819e-4	1
799.8623853211	2.31272022937581e-4	1
800.857798165136	2.33479403244532e-4	1
801.853211009173	2.41498849025448e-4	1
802.848623853209	2.36487824699709e-4	1
803.844036697246	2.46250890122814e-4	1
804.839449541283	2.43995326889654e-4	1
805.83486238532	2.53776460910087e-4	1
806.830275229356	2.55508034820724e-4	1
807.825688073393	2.60115527139463e-4	1
808.821100917429	2.6194045546963e-4	1
809.816513761466	2.46467713290755e-4	1
810.811926605503	2.74853479693651e-4	1
811.807339449539	2.45187854313327e-4	1
812.802752293576	2.44690967886797e-4	1
813.798165137613	2.64792282414627e-4	1
814.793577981649	2.54776256628925e-4	1
815.788990825686	2.7133913751328e-4	1
816.784403669723	2.75160645848234e-4	1
817.779816513759	2.89224037435495e-4	1
818.775229357796	2.91982509960962e-4	1
819.770642201832	3.01519717917463e-4	1
820.766055045869	3.00312133329349e-4	1
821.761467889906	3.0701558293818e-4	1
822.756880733943	3.08888694194557e-4	1
823.752293577979	2.94608479439355e-4	1
824.747706422016	3.31902064325146e-4	1
825.743119266052	3.28941825796178e-4	1
826.738532110089	3.42104798949908e-4	1
827.733944954126	3.37446112272073e-4	1
828.729357798162	3.67979030324159e-4	1
829.724770642199	3.44345305018629e-4	1
830.720183486236	3.68852345861698e-4	1
831.715596330272	3.56896957296081e-4	1
832.711009174309	3.70114136241797e-4	1
833.706422018346	3.57631746920769e-4	1
834.701834862382	3.84572025537395e-4	1
835.697247706419	3.78967748932707e-4	1
836.692660550456	3.9097433185742e-4	1
837.688073394492	4.02062427751274e-4	1
838.683486238529	4.02173850768132e-4	1
839.678899082566	4.0522744371663e-4	1
840.674311926602	4.07028280583692e-4	1
841.669724770639	4.20140059378325e-4	1
842.665137614675	4.27481932759426e-4	1
843.660550458712	4.25566661442617e-4	1
844.655963302749	4.37085392239464e-4	1
845.651376146786	4.40229328174604e-4	1
846.646788990822	4.50775366148606e-4	0
847.642201834859	4.6218869679437e-4	1
848.637614678895	4.499442106715e-4	1
849.633027522932	4.65471158642361e-4	1
850.628440366969	4.71539195911811e-4	1
851.623853211005	4.557472418468e-4	1
852.619266055042	4.62971669345267e-4	1
853.614678899079	4.72168585385416e-4	1
854.610091743115	4.80862592133259e-4	1
855.605504587152	4.91812162114261e-4	1
856.600917431189	4.99756322072976e-4	1
857.596330275225	5.13367998727027e-4	1
858.591743119262	5.20176848486941e-4	1
859.587155963299	5.1404858255973e-4	1
860.582568807335	5.15560321869538e-4	1
