#cm^-1	CaF2 5pc av
1351	4.323307439335621e-5
1352	4.57946243841434e-5
1353	4.051190314515095e-5
1354	4.650767524643536e-5
1355	4.55774547195428e-5
1356	4.327993389909223e-5
1357	4.71868003972174e-5
1358	4.832276239799934e-5
1359	4.787604276706199e-5
1360	4.794705871193272e-5
1361	4.103044609239858e-5
1362	4.597508944113672e-5
1363	4.931315613378372e-5
1364	4.750913831230719e-5
1365	5.204997978580651e-5
1366	4.937847968124386e-5
1367	4.819029943194306e-5
1368	5.12462694522193e-5
1369	5.028187011443411e-5
1370	5.727466512845631e-5
1371	5.439934959992701e-5
1372	5.977032976391328e-5
1373	5.774665364047647e-5
1374	5.622125276464172e-5
1375	5.747717139976366e-5
1376	5.378399354023194e-5
1377	6.010606687466081e-5
1378	5.896163773806102e-5
1379	5.742647720450934e-5
1380	5.919642691359124e-5
1381	5.859803163080611e-5
1382	6.102826929626255e-5
1383	6.35078865473458e-5
1384	6.591423984251119e-5
1385	5.03178359524879e-5
1386	5.361919621853823e-5
1387	6.306486232330958e-5
1388	6.105117479039888e-5
1389	5.972453670567901e-5
1390	6.891670740774966e-5
1391	7.587092113681139e-5
1392	6.138331160140559e-5
1393	5.900587036324267e-5
1394	5.876475864040133e-5
1395	6.953231838581685e-5
1396	7.357564910697486e-5
1397	5.787222679438335e-5
1398	5.987920485495125e-5
1399	6.328806089836039e-5
1400	6.668403979607061e-5
1401	6.87817565839006e-5
1402	6.572101717340827e-5
1403	4.777889314157489e-5
1404	6.543658128066455e-5
1405	7.144684423110449e-5
1406	7.092949921830692e-5
1407	6.696207336582511e-5
1408	6.856944518014125e-5
1409	7.11976052636081e-5
1410	6.621433489531879e-5
1411	6.425971514545382e-5
1412	6.944777019920628e-5
1413	7.47158015396313e-5
1414	7.654311671753283e-5
1415	8.055077965504356e-5
1416	7.672268995000716e-5
1417	4.889957771021207e-5
1418	5.686184886144475e-5
1419	6.890447938141213e-5
1420	7.330237089523251e-5
1421	7.012357257605931e-5
1422	5.964301271887963e-5
1423	6.218874373839103e-5
1424	6.345254431445417e-5
1425	6.742018740624191e-5
1426	6.903115744145387e-5
1427	6.327006147850106e-5
1428	5.388919946978735e-5
1429	5.916521721311646e-5
1430	5.885511200176551e-5
1431	6.180345215917832e-5
1432	7.064624774752054e-5
1433	7.713143194061039e-5
1434	4.602235562093223e-5
1435	4.694697054219434e-5
1436	5.175592065955114e-5
1437	5.745814087276814e-5
1438	5.674495124757025e-5
1439	5.66545500727703e-5
1440	6.041532261796031e-5
1441	5.687609908428775e-5
1442	5.868300026382454e-5
1443	6.210016545082909e-5
1444	6.707775043780983e-5
1445	5.755639774309074e-5
1446	5.241721243822083e-5
1447	6.097212592846649e-5
1448	6.285542180454026e-5
1449	6.101733794951413e-5
1450	6.305793769050591e-5
1451	6.631755604757929e-5
1452	7.994180383060925e-5
1453	7.807062710136442e-5
1454	6.059552626019078e-5
1455	4.58198976827719e-5
1456	4.445113258303275e-5
1457	4.700410837748289e-5
1458	5.549500721307205e-5
1459	5.795218878899636e-5
1460	6.350817992435104e-5
1461	6.885059026119831e-5
1462	5.521219255959816e-5
1463	4.839989300567789e-5
1464	5.492721148974462e-5
1465	5.923868619512568e-5
1466	5.746723555993024e-5
1467	6.390550255933444e-5
1468	7.32250799566308e-5
1469	6.726948283487997e-5
1470	4.347294270701241e-5
1471	4.350891582102383e-5
1472	5.248543727377963e-5
1473	5.171393058844843e-5
1474	3.992202541017572e-5
1475	4.481059347329262e-5
1476	4.754246063904637e-5
1477	4.902501054207928e-5
1478	4.799647545691447e-5
1479	4.352343993169986e-5
1480	4.387916513743611e-5
1481	4.565048220683821e-5
1482	4.870477044148305e-5
1483	5.022333919311808e-5
1484	4.926764943645271e-5
1485	4.144464271251178e-5
1486	4.686487461315535e-5
1487	3.981651726852371e-5
1488	3.31258688675007e-5
1489	3.698263649961778e-5
1490	4.123311373405159e-5
1491	4.545980352434397e-5
1492	4.841672359491767e-5
1493	4.17357969126897e-5
1494	3.25555114873818e-5
1495	4.207682104606648e-5
1496	3.976317956195479e-5
1497	3.725370152096731e-5
1498	4.544486572350643e-5
1499	4.489708563986433e-5
1500	4.607000950532633e-5
1501	5.268614092658808e-5
1502	6.87961764924694e-5
1503	7.406540576734449e-5
1504	5.357454106810371e-5
1505	3.195821188585665e-5
1506	3.67592659001405e-5
1507	4.181355767026875e-5
1508	4.195470007419187e-5
1509	4.46094761303227e-5
1510	3.742788508783893e-5
1511	4.057816347215391e-5
1512	4.351755446155688e-5
1513	4.53722155465844e-5
1514	3.5980507163913e-5
1515	3.11155413978018e-5
1516	4.104713298147544e-5
1517	4.300421070573585e-5
1518	3.986706854318204e-5
1519	3.57718888283541e-5
1520	3.24726969276006e-5
1521	3.778214990493975e-5
1522	3.608182877152491e-5
1523	3.572903759569661e-5
1524	3.898974396828895e-5
1525	3.91864494823884e-5
1526	3.938088749626853e-5
1527	4.01339223442067e-5
1528	4.515823171199631e-5
1529	4.625617891308919e-5
1530	4.215748465087797e-5
1531	3.495963665045565e-5
1532	4.313909110870944e-5
1533	4.454166888275982e-5
1534	5.116156223396372e-5
1535	4.866209435151957e-5
1536	3.78231824080493e-5
1537	3.650573645635243e-5
1538	4.816497572132253e-5
1539	3.657804934066788e-5
1540	4.59319903062091e-5
1541	4.819483183382545e-5
1542	4.176363212796526e-5
1543	4.325571197633897e-5
1544	4.995938694004768e-5
1545	5.325632628228049e-5
1546	5.829618515105851e-5
1547	4.906588167484319e-5
1548	4.679634236838737e-5
1549	5.337710743853157e-5
1550	5.959154909110764e-5
1551	5.547822365770117e-5
1552	4.421505582286046e-5
1553	5.815352700925099e-5
1554	6.868850063515962e-5
1555	5.044645305523384e-5
1556	3.793109083614712e-5
1557	2.889984612660814e-5
1558	3.586296276937771e-5
1559	4.219914080749733e-5
1560	4.64273195705443e-5
1561	4.75454045434682e-5
1562	3.850788899788834e-5
1563	4.379208309858639e-5
1564	4.311961414974316e-5
1565	5.37812684342498e-5
1566	4.433768195407798e-5
1567	3.37115839751537e-5
1568	4.074875661379858e-5
1569	4.022244762122032e-5
1570	4.213224045607994e-5
1571	4.377841001509558e-5
1572	5.244207386567724e-5
1573	3.252448407563083e-5
1574	3.360211550378673e-5
1575	3.827271003891447e-5
1576	4.046964152491585e-5
1577	4.062971285228352e-5
1578	4.026845324135918e-5
1579	3.999838710504784e-5
1580	4.03907002432139e-5
1581	4.05932777149636e-5
1582	4.011055586618439e-5
1583	3.978676223986051e-5
1584	3.95432109923734e-5
1585	4.087658635398839e-5
1586	4.107704288409357e-5
1587	4.247433909248295e-5
1588	4.028276998724322e-5
1589	4.02364161605614e-5
1590	4.203407219652686e-5
1591	4.103998825095394e-5
1592	4.132013548639538e-5
1593	4.240456811593115e-5
1594	4.021768550696185e-5
1595	4.111669633337963e-5
1596	4.051583943822024e-5
1597	4.185730800340284e-5
1598	4.116886131149451e-5
1599	4.04370486129275e-5
1600	3.873835131733879e-5
1601	4.189204576375362e-5
1602	4.084300105335259e-5
1603	4.310186860883343e-5
1604	4.232285001697684e-5
1605	4.420156775657752e-5
1606	4.292120788055139e-5
1607	4.067786436020729e-5
1608	4.019596261579344e-5
1609	4.046334730186833e-5
1610	4.100452809195435e-5
1611	4.485529591745166e-5
1612	5.116080449494933e-5
1613	5.587940488892078e-5
1614	3.148803976468377e-5
1615	4.029853205013623e-5
1616	4.525761167834778e-5
1617	4.421602534421253e-5
1618	4.614959626841094e-5
1619	5.246659903994961e-5
1620	4.701103249057529e-5
1621	3.902656057367233e-5
1622	4.006611587621072e-5
1623	4.774853212958468e-5
1624	5.967526859811708e-5
1625	4.365775021142326e-5
1626	4.230932687018399e-5
1627	4.581780922308099e-5
1628	4.483295638887545e-5
1629	4.522870611773604e-5
1630	4.642105575060539e-5
1631	4.943467683915515e-5
1632	5.263622058139716e-5
1633	3.066714426885093e-5
1634	3.778670569382874e-5
1635	4.168373613668207e-5
1636	4.30232056325102e-5
1637	4.339727742522622e-5
1638	4.160858458947457e-5
1639	4.264441668055951e-5
1640	4.017680787780721e-5
1641	4.978531900893098e-5
1642	5.866668288945222e-5
1643	5.831379140935107e-5
1644	4.162263966074014e-5
1645	3.389059565961362e-5
1646	3.647201122346037e-5
1647	4.99566176586086e-5
1648	5.493682380931985e-5
1649	4.829466784680596e-5
1650	3.452879250939337e-5
1651	3.267707156088103e-5
1652	4.147029773905941e-5
1653	5.085804904021123e-5
1654	4.613721284840722e-5
1655	5.104189663792828e-5
1656	5.318719636956561e-5
1657	5.410877227924564e-5
1658	5.24157395765152e-5
1659	5.240136514268152e-5
