Wavenumber (cm-1)	CaF2_mean
1351	2.75672e-05
1352	2.75343e-05
1353	2.74443e-05
1354	2.73791e-05
1355	2.73384e-05
1356	2.73262e-05
1357	2.72461e-05
1358	2.7135e-05
1359	2.70323e-05
1360	2.71504e-05
1361	2.75443e-05
1362	2.79558e-05
1363	2.8187e-05
1364	2.80903e-05
1365	2.76675e-05
1366	2.71733e-05
1367	2.69106e-05
1368	2.70671e-05
1369	2.77336e-05
1370	2.86781e-05
1371	2.94832e-05
1372	2.96587e-05
1373	2.91515e-05
1374	2.8316e-05
1375	2.76482e-05
1376	2.7448e-05
1377	2.75759e-05
1378	2.76152e-05
1379	2.74268e-05
1380	2.71205e-05
1381	2.69952e-05
1382	2.72616e-05
1383	2.77257e-05
1384	2.80745e-05
1385	2.81958e-05
1386	2.80488e-05
1387	2.7803e-05
1388	2.77656e-05
1389	2.79438e-05
1390	2.81287e-05
1391	2.83507e-05
1392	2.8509e-05
1393	2.86172e-05
1394	2.87798e-05
1395	2.89452e-05
1396	2.89694e-05
1397	2.91096e-05
1398	2.93579e-05
1399	2.97522e-05
1400	3.00734e-05
1401	3.02166e-05
1402	3.03101e-05
1403	3.06758e-05
1404	3.11811e-05
1405	3.16724e-05
1406	3.16788e-05
1407	3.10821e-05
1408	3.01554e-05
1409	2.93426e-05
1410	2.89515e-05
1411	2.92698e-05
1412	3.01492e-05
1413	3.12637e-05
1414	3.20788e-05
1415	3.2222e-05
1416	3.18197e-05
1417	3.14165e-05
1418	3.13708e-05
1419	3.17059e-05
1420	3.20069e-05
1421	3.18626e-05
1422	3.13474e-05
1423	3.08583e-05
1424	3.06355e-05
1425	3.06929e-05
1426	3.08424e-05
1427	3.09702e-05
1428	3.12115e-05
1429	3.17894e-05
1430	3.26941e-05
1431	3.35786e-05
1432	3.38338e-05
1433	3.32002e-05
1434	3.18719e-05
1435	3.04571e-05
1436	2.9555e-05
1437	2.93046e-05
1438	2.93528e-05
1439	2.95381e-05
1440	2.98829e-05
1441	3.04068e-05
1442	3.10727e-05
1443	3.15238e-05
1444	3.1416e-05
1445	3.09274e-05
1446	3.04077e-05
1447	3.01053e-05
1448	3.03039e-05
1449	3.09625e-05
1450	3.18731e-05
1451	3.27639e-05
1452	3.30673e-05
1453	3.24773e-05
1454	3.12793e-05
1455	3.00879e-05
1456	2.94635e-05
1457	2.94444e-05
1458	2.96582e-05
1459	2.98157e-05
1460	2.9894e-05
1461	3.01827e-05
1462	3.0803e-05
1463	3.15091e-05
1464	3.22443e-05
1465	3.29254e-05
1466	3.34495e-05
1467	3.37906e-05
1468	3.37031e-05
1469	3.30768e-05
1470	3.22793e-05
1471	3.16252e-05
1472	3.118e-05
1473	3.08099e-05
1474	3.02548e-05
1475	2.95367e-05
1476	2.89047e-05
