Wavenumber	CaF2 av. 5%
1351	8.35434e-05
1352	7.70428e-05
1353	7.71033e-05
1354	7.98069e-05
1355	7.58285e-05
1356	7.73281e-05
1357	7.80272e-05
1358	8.0671e-05
1359	8.40621e-05
1360	7.51802e-05
1361	7.48287e-05
1362	8.01721e-05
1363	8.14214e-05
1364	8.0938e-05
1365	8.12081e-05
1366	7.59442e-05
1367	8.52593e-05
1368	7.99208e-05
1369	7.51904e-05
1370	8.29914e-05
1371	8.12764e-05
1372	7.76449e-05
1373	8.2788e-05
1374	8.11548e-05
1375	8.10259e-05
1376	8.01874e-05
1377	8.67575e-05
1378	7.78e-05
1379	7.74745e-05
1380	8.41304e-05
1381	7.80402e-05
1382	8.08181e-05
1383	8.47795e-05
1384	8.45725e-05
1385	7.41988e-05
1386	8.6652e-05
1387	8.79399e-05
1388	7.66962e-05
1389	8.40029e-05
1390	8.22135e-05
1391	8.28859e-05
1392	8.04187e-05
1393	7.90812e-05
1394	7.76174e-05
1395	8.73878e-05
1396	8.65367e-05
1397	8.09047e-05
1398	7.85412e-05
1399	8.06623e-05
1400	8.52424e-05
1401	8.38802e-05
1402	7.9158e-05
1403	7.43369e-05
1404	7.94239e-05
1405	8.26573e-05
1406	8.04517e-05
1407	8.47791e-05
1408	8.52825e-05
1409	7.62084e-05
1410	8.14459e-05
1411	8.17905e-05
1412	8.3921e-05
1413	8.75098e-05
1414	8.93911e-05
1415	9.07323e-05
1416	8.61234e-05
1417	8.11442e-05
1418	8.70303e-05
1419	8.08594e-05
1420	8.8498e-05
1421	8.80207e-05
1422	7.58217e-05
1423	7.3308e-05
1424	8.69274e-05
1425	8.43705e-05
1426	8.14769e-05
1427	8.10766e-05
1428	7.6074e-05
1429	8.14277e-05
1430	8.34767e-05
1431	8.42445e-05
1432	8.95522e-05
1433	9.50909e-05
1434	8.08865e-05
1435	7.96339e-05
1436	8.14123e-05
1437	8.70014e-05
1438	8.71549e-05
1439	8.89902e-05
1440	8.28179e-05
1441	7.90826e-05
1442	7.90363e-05
1443	8.3635e-05
1444	8.67486e-05
1445	8.28941e-05
1446	8.54978e-05
1447	8.37641e-05
1448	8.21562e-05
1449	8.36308e-05
1450	8.56486e-05
1451	9.00144e-05
1452	9.37056e-05
1453	0.000114787
1454	9.15009e-05
1455	8.80344e-05
1456	8.22686e-05
1457	8.65982e-05
1458	8.68898e-05
1459	8.66729e-05
1460	9.54704e-05
1461	9.84026e-05
1462	9.64413e-05
1463	8.65264e-05
1464	9.29769e-05
1465	9.57058e-05
1466	8.79443e-05
1467	9.73447e-05
1468	0.000100451
1469	9.81873e-05
1470	7.86679e-05
1471	8.02913e-05
1472	8.26315e-05
1473	8.3282e-05
1474	7.89297e-05
1475	7.87176e-05
1476	8.10485e-05
1477	8.35088e-05
1478	8.45436e-05
1479	7.57799e-05
1480	7.83174e-05
1481	7.63279e-05
1482	8.00865e-05
1483	8.50588e-05
1484	8.39127e-05
1485	8.13814e-05
1486	8.44864e-05
1487	8.61493e-05
1488	7.91671e-05
1489	7.8931e-05
1490	8.37963e-05
1491	8.54244e-05
1492	9.03037e-05
1493	8.41793e-05
1494	7.91858e-05
1495	8.10086e-05
1496	8.55572e-05
1497	8.53204e-05
1498	8.20251e-05
1499	8.78891e-05
1500	8.82269e-05
1501	8.83224e-05
1502	0.000104804
1503	0.00011478
1504	9.39745e-05
1505	7.74313e-05
1506	7.99416e-05
1507	7.78019e-05
1508	7.65675e-05
1509	8.07528e-05
1510	7.49484e-05
1511	7.40466e-05
1512	7.66949e-05
1513	8.19319e-05
1514	7.88637e-05
1515	7.3704e-05
1516	7.71771e-05
1517	7.76786e-05
1518	7.66596e-05
1519	7.34347e-05
1520	7.85053e-05
1521	7.88163e-05
1522	7.18364e-05
1523	7.83233e-05
1524	7.50802e-05
1525	7.29567e-05
1526	7.11117e-05
1527	7.78047e-05
1528	7.6888e-05
1529	7.61282e-05
1530	7.43562e-05
1531	7.44532e-05
1532	7.45458e-05
1533	7.37968e-05
1534	7.44398e-05
1535	7.23591e-05
1536	7.51156e-05
1537	7.95572e-05
1538	7.24446e-05
1539	7.54275e-05
1540	7.59484e-05
1541	8.29126e-05
1542	7.41663e-05
1543	7.93149e-05
1544	7.98017e-05
1545	8.83703e-05
1546	8.65005e-05
1547	8.59344e-05
1548	8.24023e-05
1549	9.04812e-05
1550	9.11152e-05
1551	8.69497e-05
1552	8.20341e-05
1553	8.97187e-05
1554	9.7669e-05
1555	7.78313e-05
1556	7.74412e-05
1557	8.10664e-05
1558	7.94488e-05
1559	8.42749e-05
1560	9.05227e-05
1561	9.12156e-05
1562	8.10344e-05
1563	8.4522e-05
1564	8.76139e-05
1565	9.6222e-05
1566	8.92749e-05
1567	8.66366e-05
1568	8.66178e-05
1569	8.40318e-05
1570	9.2029e-05
1571	8.75043e-05
1572	9.4974e-05
1573	8.70077e-05
1574	8.85081e-05
1575	8.50198e-05
1576	8.74116e-05
1577	8.34827e-05
1578	9.15758e-05
1579	9.4727e-05
1580	8.58955e-05
1581	8.90041e-05
1582	9.14937e-05
1583	8.92898e-05
1584	9.2475e-05
1585	9.16246e-05
1586	8.79765e-05
1587	8.96062e-05
1588	9.49869e-05
1589	8.79951e-05
1590	8.84941e-05
1591	8.92622e-05
1592	9.34786e-05
1593	9.74401e-05
1594	8.90444e-05
1595	9.68066e-05
1596	9.09839e-05
1597	9.2636e-05
1598	9.99566e-05
1599	9.8957e-05
1600	9.83216e-05
1601	8.95838e-05
1602	9.48847e-05
1603	9.48823e-05
1604	0.000100344
1605	9.73283e-05
1606	9.27738e-05
1607	9.49569e-05
1608	0.000105198
1609	9.85809e-05
1610	9.30986e-05
1611	9.79565e-05
1612	0.000113372
1613	0.000111926
1614	8.71485e-05
1615	9.86995e-05
1616	9.94419e-05
1617	9.88974e-05
1618	8.95329e-05
1619	0.000100613
1620	9.06628e-05
1621	9.40786e-05
1622	9.48426e-05
1623	9.46061e-05
1624	0.000113306
1625	9.2077e-05
1626	9.04111e-05
1627	9.29091e-05
1628	9.48426e-05
1629	8.99623e-05
1630	0.000104845
1631	9.68451e-05
1632	9.37443e-05
1633	7.41975e-05
1634	7.73133e-05
1635	7.60445e-05
1636	8.22014e-05
1637	8.64958e-05
1638	8.36524e-05
1639	9.01262e-05
1640	8.58775e-05
1641	9.11534e-05
1642	8.7601e-05
1643	8.67939e-05
1644	7.91597e-05
1645	7.50303e-05
1646	8.26285e-05
1647	8.78059e-05
1648	8.78487e-05
1649	8.7003e-05
1650	8.04808e-05
1651	7.69068e-05
1652	7.90414e-05
1653	8.5674e-05
1654	8.09181e-05
1655	8.39302e-05
1656	8.40644e-05
1657	8.42867e-05
1658	8.21612e-05
1659	8.54981e-05
