Wavenumber	CaF2 av. 5%
1351	8.354340000000001e-5
1352	7.70428e-5
1353	7.71033e-5
1354	7.980690000000001e-5
1355	7.58285e-5
1356	7.732810000000001e-5
1357	7.80272e-5
1358	8.0671e-5
1359	8.40621e-5
1360	7.518020000000001e-5
1361	7.48287e-5
1362	8.017210000000001e-5
1363	8.142140000000001e-5
1364	8.0938e-5
1365	8.120810000000001e-5
1366	7.59442e-5
1367	8.525930000000001e-5
1368	7.992080000000001e-5
1369	7.51904e-5
1370	8.299140000000001e-5
1371	8.12764e-5
1372	7.764490000000001e-5
1373	8.278800000000001e-5
1374	8.11548e-5
1375	8.10259e-5
1376	8.01874e-5
1377	8.675750000000002e-5
1378	7.780000000000001e-5
1379	7.747450000000001e-5
1380	8.413040000000001e-5
1381	7.804020000000001e-5
1382	8.081810000000002e-5
1383	8.47795e-5
1384	8.457250000000001e-5
1385	7.419880000000001e-5
1386	8.665200000000001e-5
1387	8.793990000000002e-5
1388	7.669620000000001e-5
1389	8.400290000000001e-5
1390	8.22135e-5
1391	8.28859e-5
1392	8.04187e-5
1393	7.908120000000001e-5
1394	7.76174e-5
1395	8.738780000000001e-5
1396	8.653670000000001e-5
1397	8.09047e-5
1398	7.854120000000001e-5
1399	8.06623e-5
1400	8.524240000000001e-5
1401	8.38802e-5
1402	7.9158e-5
1403	7.433690000000001e-5
1404	7.94239e-5
1405	8.26573e-5
1406	8.045170000000001e-5
1407	8.47791e-5
1408	8.528250000000001e-5
1409	7.620840000000001e-5
1410	8.144590000000001e-5
1411	8.179050000000001e-5
1412	8.3921e-5
1413	8.750980000000001e-5
1414	8.939110000000001e-5
1415	9.073230000000002e-5
1416	8.61234e-5
1417	8.114420000000002e-5
1418	8.703030000000001e-5
1419	8.085940000000002e-5
1420	8.849800000000001e-5
1421	8.802070000000001e-5
1422	7.58217e-5
1423	7.330800000000001e-5
1424	8.692740000000002e-5
1425	8.43705e-5
1426	8.147690000000001e-5
1427	8.10766e-5
1428	7.6074e-5
1429	8.142770000000001e-5
1430	8.347670000000002e-5
1431	8.424450000000001e-5
1432	8.955220000000001e-5
1433	9.509090000000001e-5
1434	8.088650000000001e-5
1435	7.963390000000001e-5
1436	8.141230000000001e-5
1437	8.70014e-5
1438	8.715489999999999e-5
1439	8.899020000000001e-5
1440	8.281790000000001e-5
1441	7.908260000000001e-5
1442	7.90363e-5
1443	8.363500000000001e-5
1444	8.674860000000002e-5
1445	8.28941e-5
1446	8.549780000000001e-5
1447	8.37641e-5
1448	8.21562e-5
1449	8.363080000000001e-5
1450	8.564860000000001e-5
1451	9.001440000000001e-5
1452	9.37056e-5
1453	0.000114787
1454	9.150090000000001e-5
1455	8.803440000000001e-5
1456	8.226860000000001e-5
1457	8.65982e-5
1458	8.688980000000002e-5
1459	8.667290000000001e-5
1460	9.547039999999999e-5
1461	9.840260000000001e-5
1462	9.644130000000001e-5
1463	8.652640000000001e-5
1464	9.297690000000001e-5
1465	9.570580000000001e-5
1466	8.79443e-5
1467	9.73447e-5
1468	0.000100451
1469	9.818730000000001e-5
1470	7.866790000000001e-5
1471	8.029130000000002e-5
1472	8.26315e-5
1473	8.328200000000002e-5
1474	7.892970000000001e-5
1475	7.871760000000001e-5
1476	8.104850000000001e-5
1477	8.35088e-5
1478	8.454359999999999e-5
1479	7.57799e-5
1480	7.83174e-5
1481	7.632790000000001e-5
1482	8.00865e-5
1483	8.50588e-5
1484	8.391270000000001e-5
1485	8.13814e-5
1486	8.44864e-5
1487	8.61493e-5
1488	7.91671e-5
1489	7.893100000000001e-5
1490	8.379630000000002e-5
1491	8.54244e-5
1492	9.03037e-5
1493	8.41793e-5
1494	7.918580000000001e-5
1495	8.100860000000001e-5
1496	8.555720000000002e-5
1497	8.53204e-5
1498	8.202510000000001e-5
1499	8.788910000000001e-5
1500	8.82269e-5
1501	8.832240000000001e-5
1502	0.000104804
1503	0.00011478
1504	9.39745e-5
1505	7.743130000000001e-5
1506	7.99416e-5
1507	7.78019e-5
1508	7.656750000000001e-5
1509	8.07528e-5
1510	7.49484e-5
1511	7.40466e-5
1512	7.66949e-5
1513	8.193190000000001e-5
1514	7.886370000000002e-5
1515	7.370400000000001e-5
1516	7.71771e-5
1517	7.76786e-5
1518	7.665960000000001e-5
1519	7.343470000000001e-5
1520	7.85053e-5
1521	7.881630000000001e-5
1522	7.18364e-5
1523	7.832330000000001e-5
1524	7.508020000000001e-5
1525	7.295670000000001e-5
1526	7.111170000000001e-5
1527	7.780470000000001e-5
1528	7.6888e-5
1529	7.612820000000001e-5
1530	7.43562e-5
1531	7.44532e-5
1532	7.45458e-5
1533	7.379680000000001e-5
1534	7.44398e-5
1535	7.23591e-5
1536	7.51156e-5
1537	7.955720000000001e-5
1538	7.24446e-5
1539	7.54275e-5
1540	7.59484e-5
1541	8.29126e-5
1542	7.41663e-5
1543	7.93149e-5
1544	7.980170000000001e-5
1545	8.837030000000002e-5
1546	8.650050000000001e-5
1547	8.593439999999999e-5
1548	8.240230000000001e-5
1549	9.048120000000002e-5
1550	9.111520000000001e-5
1551	8.694970000000001e-5
1552	8.20341e-5
1553	8.971869999999999e-5
1554	9.7669e-5
1555	7.78313e-5
1556	7.744120000000001e-5
1557	8.106640000000001e-5
1558	7.94488e-5
1559	8.427490000000001e-5
1560	9.052270000000001e-5
1561	9.121560000000001e-5
1562	8.103440000000001e-5
1563	8.4522e-5
1564	8.761390000000001e-5
1565	9.6222e-5
1566	8.927490000000001e-5
1567	8.66366e-5
1568	8.661780000000002e-5
1569	8.403180000000001e-5
1570	9.202900000000001e-5
1571	8.75043e-5
1572	9.497400000000002e-5
1573	8.700770000000001e-5
1574	8.850809999999999e-5
1575	8.501980000000001e-5
1576	8.741160000000001e-5
1577	8.348270000000001e-5
1578	9.157580000000001e-5
1579	9.4727e-5
1580	8.58955e-5
1581	8.900410000000001e-5
1582	9.149369999999999e-5
1583	8.928979999999999e-5
1584	9.247500000000001e-5
1585	9.16246e-5
1586	8.797650000000002e-5
1587	8.960620000000001e-5
1588	9.498690000000001e-5
1589	8.799510000000001e-5
1590	8.849410000000002e-5
1591	8.926220000000001e-5
1592	9.347860000000002e-5
1593	9.74401e-5
1594	8.90444e-5
1595	9.680660000000001e-5
1596	9.098390000000002e-5
1597	9.263600000000001e-5
1598	9.995660000000002e-5
1599	9.895700000000001e-5
1600	9.832160000000001e-5
1601	8.95838e-5
1602	9.48847e-5
1603	9.488230000000001e-5
1604	0.000100344
1605	9.732830000000001e-5
1606	9.277380000000002e-5
1607	9.49569e-5
1608	0.000105198
1609	9.858090000000002e-5
1610	9.309860000000001e-5
1611	9.795650000000002e-5
1612	0.000113372
1613	0.000111926
1614	8.714850000000001e-5
1615	9.869950000000001e-5
1616	9.944190000000002e-5
1617	9.88974e-5
1618	8.95329e-5
1619	0.000100613
1620	9.066280000000001e-5
1621	9.40786e-5
1622	9.484260000000001e-5
1623	9.460610000000002e-5
1624	0.000113306
1625	9.207699999999999e-5
1626	9.041110000000001e-5
1627	9.290910000000001e-5
1628	9.484260000000001e-5
1629	8.996230000000001e-5
1630	0.000104845
1631	9.684510000000001e-5
1632	9.374430000000001e-5
1633	7.41975e-5
1634	7.73133e-5
1635	7.60445e-5
1636	8.220140000000001e-5
1637	8.649580000000001e-5
1638	8.365240000000001e-5
1639	9.012620000000001e-5
1640	8.58775e-5
1641	9.11534e-5
1642	8.7601e-5
1643	8.67939e-5
1644	7.91597e-5
1645	7.50303e-5
1646	8.26285e-5
1647	8.780590000000001e-5
1648	8.78487e-5
1649	8.700300000000001e-5
1650	8.048080000000002e-5
1651	7.690680000000001e-5
1652	7.904140000000001e-5
1653	8.567399999999999e-5
1654	8.091810000000001e-5
1655	8.39302e-5
1656	8.40644e-5
1657	8.428670000000001e-5
1658	8.21612e-5
1659	8.549810000000002e-5
