#cm^-1	CaF2 5pc av
1400	5.705764280199739e-5
1401	6.096002211311965e-5
1402	5.402686396597086e-5
1403	5.394417530624198e-5
1404	5.133951396731262e-5
1405	5.393160608946348e-5
1406	5.603855606750584e-5
1407	5.213463737163695e-5
1408	5.834248336863572e-5
1409	5.834551900209461e-5
1410	5.902039421406311e-5
1411	5.734781110991857e-5
1412	5.917142594366201e-5
1413	5.635377341864764e-5
1414	5.77452867998675e-5
1415	6.125919078060962e-5
1416	5.506465874662223e-5
1417	4.800118871831467e-5
1418	5.64600086363498e-5
1419	5.665836579282767e-5
1420	5.812398220379172e-5
1421	5.392625930003955e-5
1422	5.516272254421245e-5
1423	5.682896101331739e-5
1424	5.623070423358252e-5
1425	5.597380524185218e-5
1426	5.945306267156932e-5
1427	5.132427967120229e-5
1428	5.274812688834832e-5
1429	5.702287619767178e-5
1430	5.606788025553606e-5
1431	6.094122519633469e-5
1432	6.525754049237421e-5
1433	5.933143620495684e-5
1434	4.351494291248467e-5
1435	5.276829272458731e-5
1436	5.484460052684881e-5
1437	5.723002167152506e-5
1438	5.876419891137633e-5
1439	5.421197316276708e-5
1440	5.603731863500021e-5
1441	5.551165616322707e-5
1442	5.402224892999843e-5
1443	5.585352378797584e-5
1444	5.892991092488436e-5
1445	5.033009178337777e-5
1446	5.262090988773188e-5
1447	5.605987150504786e-5
1448	5.67635226096692e-5
1449	5.53319717125435e-5
1450	6.175869670447094e-5
1451	6.757577648386361e-5
1452	6.620032114109822e-5
1453	6.858056959962209e-5
1454	5.110832353238949e-5
1455	5.1928136859455e-5
1456	4.702266596723349e-5
1457	5.715153123933956e-5
1458	5.812989132079694e-5
1459	6.084867345634851e-5
1460	6.117698545235074e-5
1461	6.124270138181082e-5
1462	5.645044439006595e-5
1463	6.147034686624203e-5
1464	6.277397447515147e-5
1465	5.962339179989486e-5
1466	6.376023624657786e-5
1467	6.366415618686005e-5
1468	6.845819163053029e-5
1469	5.414717660252269e-5
1470	5.043139857921883e-5
1471	4.932673099184675e-5
1472	5.43246824236121e-5
1473	5.112005653375361e-5
1474	4.952630219382368e-5
1475	5.157111081643961e-5
1476	5.063894527016342e-5
1477	5.563262467538672e-5
1478	5.192958737357652e-5
1479	5.121278029816625e-5
1480	5.641680607888182e-5
1481	5.123883290382637e-5
1482	5.503670763573611e-5
1483	5.441054444028333e-5
1484	5.392293470712113e-5
1485	5.263174274919689e-5
1486	5.355105687548143e-5
1487	4.702032778628305e-5
1488	4.603433678442215e-5
1489	4.945233376929537e-5
1490	5.394815161707812e-5
1491	5.163265918132051e-5
1492	5.354217656921329e-5
1493	5.094747653596902e-5
1494	4.9929967125146e-5
1495	5.772634540335276e-5
1496	5.102728651503901e-5
1497	5.553620108652726e-5
1498	5.453735918438595e-5
1499	5.492222304123322e-5
1500	5.762872803773332e-5
1501	6.235578101560742e-5
1502	6.578487903295486e-5
1503	6.447510687784025e-5
1504	5.141911710130183e-5
1505	4.901622378383764e-5
1506	5.006178253097459e-5
1507	4.869545539674748e-5
1508	5.05172657930026e-5
1509	4.942436862620526e-5
1510	4.249795892974365e-5
1511	4.563154912570361e-5
1512	5.051444064260328e-5
1513	5.003538587646162e-5
1514	4.581933223692303e-5
1515	5.022347977501341e-5
1516	5.555325749030871e-5
1517	5.192099966474676e-5
1518	5.123099617776461e-5
1519	5.06383517599066e-5
1520	5.902580596739428e-5
1521	6.328139144378446e-5
1522	5.026973303756676e-5
1523	6.18184224419695e-5
1524	5.953028916597501e-5
1525	6.185825727048462e-5
1526	6.557650756024355e-5
1527	6.625652895309034e-5
1528	5.773759663238057e-5
1529	7.250939961522816e-5
1530	5.153764920708325e-5
1531	5.745891290384213e-5
1532	6.38723888966654e-5
1533	7.028116358144742e-5
1534	7.597572299086355e-5
1535	5.573967168207413e-5
1536	4.662839325776856e-5
1537	6.013623091608422e-5
1538	6.51532988870583e-5
1539	5.653074705540866e-5
1540	6.997773847875319e-5
1541	7.217690810128781e-5
1542	6.077040130289139e-5
1543	7.456141195559342e-5
1544	8.673419610464149e-5
1545	9.362531792638547e-5
1546	8.443209974627417e-5
1547	6.895690915241308e-5
1548	8.590513919313839e-5
1549	9.62345948209986e-5
1550	9.721351774974861e-5
1551	7.24856332193927e-5
1552	9.84103368994381e-5
1553	0.0001321496238233522
1554	9.73319973646929e-5
1555	5.31524393798983e-5
1556	5.334126191363406e-5
1557	5.172358162651239e-5
1558	7.116969469020012e-5
1559	8.228949965476725e-5
1560	8.610298287489318e-5
1561	7.411300612147897e-5
1562	6.845638147621816e-5
1563	8.089627746293057e-5
1564	8.672682971726837e-5
1565	7.645414734724912e-5
1566	5.842115050264902e-5
1567	6.043336335486467e-5
1568	6.747435119385567e-5
1569	6.557169503399306e-5
1570	7.117846897537155e-5
1571	7.927514837189978e-5
1572	7.179919339250775e-5
1573	5.09375926672614e-5
1574	6.317498056367709e-5
1575	6.608124125965075e-5
1576	6.974048821055997e-5
1577	7.027584277758643e-5
1578	6.577271519095771e-5
1579	7.00577656971291e-5
1580	6.838737213651515e-5
1581	6.685229891445488e-5
1582	6.906286268661332e-5
1583	6.605659863063402e-5
1584	6.747490780461315e-5
1585	6.927396004487361e-5
1586	6.556848061986135e-5
1587	6.61819306385171e-5
1588	7.03867179774014e-5
1589	6.612275995264231e-5
1590	6.898519807561702e-5
1591	6.525156641146168e-5
1592	6.405666499631481e-5
1593	6.616426201487361e-5
1594	7.201646180224739e-5
1595	6.883439294012663e-5
1596	7.287423691845368e-5
1597	6.797143682238781e-5
1598	6.827250139654749e-5
1599	6.920726290055818e-5
1600	6.616670309865317e-5
1601	7.037374390555282e-5
1602	7.655634960558799e-5
1603	7.367061958315649e-5
1604	7.558986544609073e-5
1605	7.489970344717483e-5
1606	6.856856946667125e-5
1607	7.10729488803606e-5
1608	7.328940721760905e-5
1609	7.499922399542164e-5
1610	8.097515508000339e-5
1611	8.912932493590883e-5
1612	0.0001004573464992322
1613	7.296489327148135e-5
1614	5.53371657068575e-5
1615	7.211415192744299e-5
1616	7.870114911513939e-5
1617	7.858073513489215e-5
1618	8.828936344278716e-5
1619	8.180429618473031e-5
1620	7.025017943565867e-5
1621	6.706220717335652e-5
1622	7.418228778988126e-5
1623	9.083750774152577e-5
1624	8.661671121704527e-5
1625	6.452324513312695e-5
1626	7.799923020814146e-5
1627	8.081706411238494e-5
1628	7.920747157186271e-5
1629	8.368748240172866e-5
1630	8.559819148753636e-5
1631	8.80968093822178e-5
1632	7.852138306978824e-5
1633	4.994450864614919e-5
1634	7.288939585643155e-5
1635	7.207492516109987e-5
1636	7.139535539733648e-5
1637	7.567953226888288e-5
1638	7.642663175439729e-5
1639	7.267160981427881e-5
1640	7.688478217460215e-5
1641	8.601517557898272e-5
1642	9.843945424238764e-5
1643	7.920578458911873e-5
1644	6.487833940939581e-5
1645	5.344483153229314e-5
1646	6.837741862649896e-5
1647	8.282322232844309e-5
1648	8.403995473470007e-5
1649	6.247829774760508e-5
1650	4.822609376528167e-5
1651	5.435067526247753e-5
1652	6.847153053968213e-5
1653	7.047271252044346e-5
1654	7.157723926606454e-5
1655	7.308348826232501e-5
1656	7.457560527005366e-5
1657	6.668114552407396e-5
1658	6.891043657170873e-5
1659	7.229366331427759e-5
