Wavenumber2	av. CaF2 BacVan60
1400	0.00011343
1401	0.000114865
1402	9.43296e-05
1403	9.33559e-05
1404	0.000101136
1405	9.78608e-05
1406	0.000102838
1407	9.19138e-05
1408	9.7821e-05
1409	9.78361e-05
1410	9.82656e-05
1411	0.000100864
1412	0.00010291
1413	9.94987e-05
1414	0.000103003
1415	0.000105028
1416	9.4595e-05
1417	7.94792e-05
1418	9.54719e-05
1419	9.01998e-05
1420	9.50872e-05
1421	8.86883e-05
1422	8.08398e-05
1423	9.07575e-05
1424	8.78073e-05
1425	9.28276e-05
1426	9.58098e-05
1427	7.26933e-05
1428	7.94376e-05
1429	8.53375e-05
1430	8.43866e-05
1431	8.401e-05
1432	9.74672e-05
1433	9.33254e-05
1434	6.40511e-05
1435	7.50794e-05
1436	7.79401e-05
1437	8.16527e-05
1438	8.19456e-05
1439	7.77704e-05
1440	7.76559e-05
1441	7.74062e-05
1442	7.98235e-05
1443	8.5273e-05
1444	8.32806e-05
1445	7.26156e-05
1446	7.70565e-05
1447	7.69712e-05
1448	8.38161e-05
1449	7.64476e-05
1450	7.90817e-05
1451	9.13162e-05
1452	9.45757e-05
1453	9.22535e-05
1454	6.41698e-05
1455	6.56232e-05
1456	6.59649e-05
1457	7.74795e-05
1458	7.9004e-05
1459	8.55993e-05
1460	8.54822e-05
1461	8.01013e-05
1462	7.40219e-05
1463	7.23651e-05
1464	8.71976e-05
1465	9.15729e-05
1466	8.77932e-05
1467	8.54582e-05
1468	9.87916e-05
1469	8.0904e-05
1470	6.98037e-05
1471	7.02419e-05
1472	7.48563e-05
1473	6.90107e-05
1474	6.50522e-05
1475	6.97715e-05
1476	7.32359e-05
1477	7.73955e-05
1478	6.79997e-05
1479	6.49372e-05
1480	6.71596e-05
1481	6.9548e-05
1482	6.87543e-05
1483	6.79051e-05
1484	6.86752e-05
1485	6.68624e-05
1486	7.09805e-05
1487	6.49887e-05
1488	6.14624e-05
1489	6.07204e-05
1490	6.52026e-05
1491	6.79848e-05
1492	7.08361e-05
1493	5.97108e-05
1494	5.95019e-05
1495	7.24184e-05
1496	5.82701e-05
1497	6.66951e-05
1498	7.25629e-05
1499	7.2265e-05
1500	7.009e-05
1501	8.91399e-05
1502	9.61662e-05
1503	8.87795e-05
1504	6.78801e-05
1505	5.8894e-05
1506	5.9843e-05
1507	6.11083e-05
1508	6.11468e-05
1509	5.797e-05
1510	5.66153e-05
1511	5.99138e-05
1512	6.63232e-05
1513	6.13103e-05
1514	5.55892e-05
1515	6.18855e-05
1516	7.97176e-05
1517	6.97357e-05
1518	6.56993e-05
1519	6.73535e-05
1520	7.79779e-05
1521	8.25878e-05
1522	7.06847e-05
1523	8.3101e-05
1524	8.03271e-05
1525	8.07522e-05
1526	9.20421e-05
1527	9.51207e-05
1528	9.21413e-05
1529	0.000101815
1530	7.42905e-05
1531	8.00523e-05
1532	8.35472e-05
1533	0.000102467
1534	0.000115529
1535	7.79584e-05
1536	6.68003e-05
1537	7.61543e-05
1538	8.34826e-05
1539	7.21594e-05
1540	9.05152e-05
1541	0.000100659
1542	7.98458e-05
1543	0.000104126
1544	0.000120707
1545	0.000142959
1546	0.000119871
1547	0.000103256
1548	0.000127149
1549	0.000154965
1550	0.000154942
1551	0.000121728
1552	0.00017205
1553	0.000232298
1554	0.000162798
1555	8.37708e-05
1556	8.10019e-05
1557	7.04323e-05
1558	0.000122648
1559	0.000152867
1560	0.000162491
1561	0.000133936
1562	0.000112233
1563	0.00014045
1564	0.00016198
1565	0.000132735
1566	8.70601e-05
1567	9.19432e-05
1568	0.000103891
1569	0.000106757
1570	0.000116664
1571	0.000132207
1572	0.000106706
1573	7.43069e-05
1574	9.19814e-05
1575	9.59439e-05
1576	0.000102924
1577	9.30548e-05
1578	9.42012e-05
1579	9.60795e-05
1580	0.000100837
1581	9.82413e-05
1582	9.87112e-05
1583	9.87845e-05
1584	0.000106747
1585	0.000104975
1586	9.81347e-05
1587	0.000101834
1588	0.000104725
1589	0.000102483
1590	0.000103203
1591	9.7353e-05
1592	0.000100844
1593	9.68609e-05
1594	0.000101483
1595	0.000105206
1596	0.000106363
1597	0.00010628
1598	0.00010519
1599	0.000102418
1600	9.68411e-05
1601	0.000103639
1602	0.000111019
1603	0.000104082
1604	0.000111849
1605	0.000106675
1606	0.000102842
1607	0.000107039
1608	0.000116102
1609	0.00011552
1610	0.000122476
1611	0.000153813
1612	0.000169339
1613	0.000104345
1614	8.32782e-05
1615	0.000115518
1616	0.000124575
1617	0.000130178
1618	0.000147981
1619	0.000138608
1620	0.00011156
1621	0.000110936
1622	0.000131051
1623	0.000166441
1624	0.000147379
1625	0.000108985
1626	0.000134455
1627	0.000145789
1628	0.000140909
1629	0.000142517
1630	0.000171564
1631	0.000169531
1632	0.000147857
1633	7.95842e-05
1634	0.000132662
1635	0.000133276
1636	0.000138819
1637	0.000155982
1638	0.000150429
1639	0.00014352
1640	0.000162672
1641	0.000196913
1642	0.000214259
1643	0.000168806
1644	0.000113374
1645	9.96994e-05
1646	0.000153219
1647	0.000185228
1648	0.000171676
1649	0.000117717
1650	8.70878e-05
1651	9.17002e-05
1652	0.000119703
1653	0.000128033
1654	0.000131781
1655	0.000133484
1656	0.000133613
1657	0.000123129
1658	0.000121595
1659	0.000116334
