Wavenumber (cm^-1)	Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF (V)	Valid:Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF
770	3.96936968975788e-5	1
770.995412844037	2.04325721455179e-5	1
771.990825688073	3.21048860196561e-5	1
772.98623853211	3.83385520979497e-5	1
773.981651376147	3.40562945311219e-5	0
774.977064220183	4.33284963934727e-5	1
775.97247706422	3.88113470613759e-5	1
776.967889908257	4.77553027389276e-5	1
777.963302752293	4.7213244819076e-5	1
778.95871559633	6.16410197857932e-5	1
779.954128440367	7.73305851326095e-5	0
780.949541284403	6.9142499109962e-5	1
781.94495412844	6.19421630745996e-5	1
782.940366972476	7.96825142181879e-5	1
783.935779816513	7.16811370346004e-5	1
784.93119266055	6.78957658943033e-5	1
785.926605504586	7.25664983036914e-5	1
786.922018348623	7.52858222016136e-5	1
787.91743119266	7.7261322176184e-5	1
788.912844036696	9.02436093566303e-5	1
789.908256880733	8.81054920061044e-5	0
790.90366972477	8.81054920061044e-5	1
791.899082568806	8.17905172398331e-5	1
792.894495412843	8.16670484914224e-5	1
793.88990825688	9.59201603506319e-5	1
794.885321100916	1.07152805023113e-4	1
795.880733944953	9.9422456799451e-5	1
796.87614678899	1.04837013132191e-4	1
797.871559633026	8.73074622907673e-5	1
798.866972477063	1.06213237962037e-4	1
799.8623853211	9.14240910487515e-5	1
800.857798165136	1.05388105350707e-4	0
801.853211009173	1.01943026126761e-4	1
802.848623853209	9.47366672256225e-5	1
803.844036697246	1.10868913206984e-4	1
804.839449541283	1.1456394136064e-4	1
805.83486238532	1.00392138189408e-4	1
806.830275229356	1.24215583766886e-4	1
807.825688073393	1.11245342317992e-4	1
808.821100917429	1.23854211820319e-4	1
809.816513761466	1.26320575355644e-4	1
810.811926605503	1.26438021238278e-4	1
811.807339449539	1.41486151379937e-4	1
812.802752293576	1.50107883738465e-4	0
813.798165137613	1.33168573743102e-4	1
814.793577981649	1.42031220732676e-4	1
815.788990825686	1.52908516324365e-4	1
816.784403669723	1.58717570365442e-4	1
817.779816513759	1.74940159333446e-4	1
818.775229357796	1.76400704284157e-4	1
819.770642201832	1.69694243242437e-4	1
820.766055045869	1.71178879656253e-4	1
821.761467889906	1.9567387476777e-4	1
822.756880733943	1.8644684439874e-4	1
823.752293577979	1.80857624958492e-4	1
824.747706422016	2.00160909770986e-4	0
825.743119266052	1.93424334400386e-4	1
826.738532110089	2.08872985116157e-4	1
827.733944954126	2.05774220674338e-4	1
828.729357798162	2.23074902616269e-4	1
829.724770642199	2.1208919544061e-4	1
830.720183486236	2.29356751620772e-4	0
831.715596330272	2.32572961945225e-4	1
832.711009174309	2.2732102298844e-4	1
833.706422018346	2.42077044139957e-4	1
834.701834862382	2.38884925278608e-4	1
835.697247706419	2.36463733236604e-4	1
836.692660550456	2.47603023489555e-4	0
837.688073394492	2.39080668416332e-4	1
838.683486238529	2.58037638446699e-4	1
839.678899082566	2.5042774753856e-4	0
840.674311926602	2.5042774753856e-4	1
841.669724770639	2.68427081910521e-4	1
842.665137614675	2.66367261815085e-4	1
843.660550458712	2.77907072642149e-4	1
844.655963302749	2.83887778357845e-4	1
845.651376146786	2.75299171761085e-4	0
846.646788990822	2.77602917920454e-4	1
847.642201834859	2.95987715702088e-4	1
848.637614678895	2.95352303362706e-4	1
849.633027522932	2.91283857530931e-4	0
850.628440366969	3.02841736955323e-4	1
851.623853211005	2.99483989285131e-4	1
852.619266055042	3.0132096334685e-4	1
853.614678899079	3.26421256468868e-4	1
854.610091743115	3.36551716704317e-4	1
855.605504587152	3.26207444733816e-4	1
856.600917431189	3.46790588523737e-4	1
857.596330275225	3.44565139619457e-4	0
858.591743119262	3.39466783739964e-4	1
859.587155963299	3.33561363846469e-4	1
860.582568807335	3.5103369746302e-4	1
861.577981651372	3.37882770040842e-4	1
862.573394495409	3.41490466640743e-4	1
863.568807339445	3.33967907286358e-4	0
864.564220183482	3.28146807513729e-4	1
865.559633027518	3.17823615573444e-4	1
866.555045871555	3.31751492680743e-4	0
867.550458715592	3.11023800112194e-4	1
868.545871559628	2.97222403186195e-4	1
869.541284403665	2.94650639499787e-4	1
870.536697247702	3.04606436627729e-4	1
871.532110091738	3.20103270269709e-4	1
872.527522935775	3.35202594770465e-4	1
873.522935779812	3.43167834759395e-4	1
874.518348623848	3.63338412243652e-4	1
875.513761467885	3.75884041655329e-4	1
876.509174311922	3.86077741981427e-4	1
877.504587155958	4.07760058775492e-4	1
878.499999999995	3.99942378998076e-4	1
879.495412844032	4.22922623366897e-4	1
880.490825688068	4.27780064615345e-4	1
881.486238532105	4.33004900676137e-4	1
882.481651376142	4.31496172799216e-4	1
883.477064220178	4.57882347764438e-4	1
884.472477064215	4.46185942427195e-4	1
885.467889908252	4.45902867735717e-4	1
886.463302752288	4.66913634995744e-4	1
887.458715596325	4.67699618979528e-4	1
888.454128440361	4.44930174912872e-4	1
889.449541284398	4.68036899462992e-4	1
890.444954128435	4.55726161816584e-4	0
891.440366972471	4.61589421649646e-4	1
892.435779816508	4.83515664507643e-4	1
893.431192660545	4.90601566093259e-4	1
894.426605504581	4.92227739852814e-4	1
895.422018348618	4.8607237102961e-4	0
896.417431192655	4.8607237102961e-4	1
897.412844036691	4.94841663599654e-4	1
898.408256880728	4.99416030156624e-4	1
899.403669724765	4.93754536327063e-4	1
900.399082568801	4.8118782688517e-4	0
901.394495412838	4.8118782688517e-4	1
902.389908256875	5.11850236551443e-4	1
903.385321100911	5.07814916481436e-4	0
904.380733944948	4.98033782461003e-4	1
905.376146788985	4.89303638518503e-4	1
906.371559633021	5.22688383515587e-4	1
907.366972477058	5.14569560449365e-4	1
908.362385321094	5.04258414240632e-4	1
909.357798165131	5.17565936172989e-4	0
910.353211009168	5.12425420233063e-4	1
911.348623853204	5.07444510236204e-4	1
912.344036697241	5.12687414894325e-4	0
913.339449541278	5.00927769466433e-4	1
914.334862385314	5.16156585581375e-4	1
915.330275229351	5.13681187747386e-4	0
916.325688073388	5.12371214441078e-4	1
917.321100917424	5.07275869994473e-4	1
918.316513761461	5.0732706435357e-4	0
919.311926605498	5.0704700109498e-4	1
920.307339449534	5.15494070346001e-4	1
921.302752293571	5.10895612325926e-4	0
922.298165137608	5.13057821139557e-4	1
923.293577981644	4.88062928168621e-4	1
924.288990825681	4.88713397672443e-4	1
925.284403669718	5.12660311998332e-4	1
926.279816513754	5.28054756922118e-4	1
927.275229357791	5.3885074382583e-4	0
928.270642201827	5.2870522642594e-4	1
929.266055045864	5.14163017009476e-4	1
930.261467889901	5.30521120457443e-4	1
931.256880733937	5.2813004274432e-4	0
932.252293577974	5.21504890390578e-4	1
933.247706422011	5.27145304189923e-4	0
934.243119266047	5.27145304189923e-4	1
935.238532110084	5.12813895075623e-4	1
936.233944954121	5.28337831613596e-4	0
937.229357798157	5.28337831613596e-4	1
938.224770642194	5.14882749469724e-4	1
939.220183486231	5.32782706556379e-4	0
940.215596330267	5.20206962815822e-4	1
941.211009174304	5.17255758585519e-4	1
942.20642201834	5.33041689784753e-4	0
943.201834862377	5.16457728870182e-4	1
944.197247706414	5.34460074675031e-4	1
945.192660550451	5.4409364848395e-4	0
946.188073394487	5.4286498386562e-4	1
947.183486238524	5.07366212981115e-4	1
948.17889908256	5.35444813229429e-4	1
949.174311926597	5.1143465881289e-4	0
950.169724770634	5.21041129725816e-4	1
951.16513761467	5.36628306354438e-4	0
952.160550458707	5.2293230957952e-4	1
953.155963302744	5.31063178377295e-4	1
954.15137614678	5.32201500008983e-4	1
955.146788990817	5.12964466720027e-4	1
956.142201834854	5.20179859919829e-4	1
957.13761467889	5.22176439924616e-4	1
958.133027522927	5.18924092405506e-4	0
959.128440366964	5.29051541208067e-4	1
960.123853211	5.10260199986545e-4	0
961.119266055037	5.00530260325208e-4	1
962.114678899074	5.14440068835178e-4	1
963.11009174311	5.1193154523942e-4	0
964.105504587147	5.1193154523942e-4	1
965.100917431183	5.16448694571517e-4	1
966.09633027522	5.21878308068698e-4	0
967.091743119257	5.08733403512296e-4	1
968.087155963293	5.08504534612803e-4	1
969.08256880733	5.15165824161202e-4	1
970.077981651367	5.00662763372283e-4	1
971.073394495403	5.13413170220348e-4	1
972.06880733944	5.12621163370787e-4	0
973.064220183477	4.99289549975326e-4	1
974.059633027513	5.04978146700879e-4	0
975.05504587155	5.00921746600656e-4	1
976.050458715587	4.9520604697911e-4	1
977.045871559623	4.88276739903673e-4	1
978.04128440366	4.896830790624e-4	0
979.036697247697	4.896830790624e-4	1
980.032110091733	4.75740144790661e-4	1
981.02752293577	4.58638217419342e-4	0
982.022935779807	4.58638217419342e-4	1
983.018348623843	4.61682776069176e-4	1
984.01376146788	4.57045169421556e-4	1
985.009174311917	4.54855857711933e-4	1
986.004587155953	4.50188136735433e-4	1
986.99999999999	4.43294966854653e-4	1
989	3.56839740071208e-4	1
989.997229916898	3.55568915392445e-4	1
990.994459833795	3.35557943851256e-4	1
991.991689750692	3.5839363944145e-4	1
992.98891966759	3.5428604498213e-4	1
993.986149584488	3.5952894964025e-4	1
994.983379501385	3.85779610125509e-4	0
995.980609418282	3.79100251979781e-4	1
996.97783933518	3.65416300936416e-4	1
997.975069252077	3.83653538506535e-4	1
998.972299168975	3.87974944700908e-4	0
999.969529085872	3.7904002332202e-4	1
1000.96675900277	3.93931558953499e-4	1
1001.96398891967	3.84584071268947e-4	1
1002.96121883656	4.02998983379462e-4	1
1003.95844875346	3.92365613851706e-4	1
1004.95567867036	4.04083099219165e-4	1
1005.95290858726	4.12277208107589e-4	1
1006.95013850415	4.06034507730631e-4	1
1007.94736842105	3.94979537598546e-4	1
1008.94459833795	4.05757455904929e-4	1
1009.94182825485	4.07221012288528e-4	1
1010.93905817174	4.15406086878288e-4	1
1011.93628808864	4.07489029815566e-4	1
1012.93351800554	4.15071817827712e-4	0
1013.93074792244	4.06401902542975e-4	1
1014.92797783933	4.08561099923717e-4	1
1015.92520775623	4.27307269651919e-4	0
1016.92243767313	4.2970135879793e-4	1
1017.91966759003	4.19661241549123e-4	1
1018.91689750692	4.18827074639129e-4	1
1019.91412742382	4.24690334472191e-4	0
1020.91135734072	4.22398634044374e-4	1
1021.90858725762	4.38076153659638e-4	1
1022.90581717451	4.54018679369051e-4	0
1023.90304709141	4.4790547060628e-4	1
1024.90027700831	4.59147149577425e-4	1
1025.89750692521	4.60782357635644e-4	0
1026.8947368421	4.62167616764154e-4	1
1027.891966759	4.66937726458848e-4	1
1028.8891966759	4.62775926207543e-4	0
1029.8864265928	4.67991727969671e-4	1
1030.8836565097	4.55196149628284e-4	1
1031.88088642659	4.60996169370697e-4	1
1032.87811634349	4.48799866174035e-4	1
1033.87534626039	4.4675510324304e-4	1
1034.87257617729	4.52247956830869e-4	1
1035.86980609418	4.49558747261828e-4	1
1036.86703601108	4.52991780754221e-4	1
1037.86426592798	4.49188341016596e-4	1
1038.86149584488	4.44059870808222e-4	1
