#cm^-1	210810 CaF2 5pc av
1400	7.093589495828685e-5
1401	7.293010882373591e-5
1402	6.43310025528384e-5
1403	6.686649673307937e-5
1404	6.723379010509235e-5
1405	7.246917084557936e-5
1406	7.445314380068641e-5
1407	6.616014373624544e-5
1408	7.101960485063806e-5
1409	7.034906411718113e-5
1410	6.883290795182502e-5
1411	6.875583918978617e-5
1412	6.771960215701257e-5
1413	6.389817887490305e-5
1414	7.102631995318613e-5
1415	7.938929411466235e-5
1416	6.610430561219498e-5
1417	6.358051420344665e-5
1418	6.998348726483529e-5
1419	6.33362208949014e-5
1420	6.679497952670015e-5
1421	6.693040510678354e-5
1422	7.251330619813719e-5
1423	7.148999854204398e-5
1424	7.257537436089478e-5
1425	6.969210759658985e-5
1426	6.936351746844595e-5
1427	6.873432175780181e-5
1428	6.669694994343445e-5
1429	6.63480714138132e-5
1430	6.813549650056909e-5
1431	6.680572854141549e-5
1432	7.310445653274659e-5
1433	6.476990589969016e-5
1434	6.01627525611548e-5
1435	6.344414092988397e-5
1436	6.786610053192515e-5
1437	6.706333018276687e-5
1438	6.655823259886046e-5
1439	7.161543423232314e-5
1440	6.912540266057476e-5
1441	6.956442242274836e-5
1442	6.894698708492798e-5
1443	7.269642143607298e-5
1444	7.248733466743337e-5
1445	6.652853638418794e-5
1446	6.918218726544488e-5
1447	6.874243263155223e-5
1448	7.161060845343553e-5
1449	6.754172257691002e-5
1450	6.997814307396767e-5
1451	7.778322409042933e-5
1452	7.305021851304144e-5
1453	6.895033281277091e-5
1454	6.71643113795047e-5
1455	5.95876930068092e-5
1456	6.599696098419373e-5
1457	6.803617300950769e-5
1458	6.954295956044614e-5
1459	6.858723281766289e-5
1460	7.086232835717968e-5
1461	7.314205625637747e-5
1462	7.180239723917718e-5
1463	7.390261210578804e-5
1464	6.405563544831237e-5
1465	6.90896097997514e-5
1466	6.888033628153302e-5
1467	7.222697968245484e-5
1468	7.578600586081545e-5
1469	6.099033392577745e-5
1470	6.409346557726772e-5
1471	6.508040132757745e-5
1472	6.251511998319377e-5
1473	7.066919351927937e-5
1474	6.315242232327974e-5
1475	6.750646874327988e-5
1476	6.817443863837984e-5
1477	7.057673489422693e-5
1478	6.478827708633619e-5
1479	6.583280749813032e-5
1480	6.495290714762331e-5
1481	6.722780199197585e-5
1482	6.607240660135479e-5
1483	6.876295022569442e-5
1484	7.014128459559288e-5
1485	6.932353123071756e-5
1486	6.533891064464116e-5
1487	6.538722906649731e-5
1488	6.592547227531516e-5
1489	6.77762024376231e-5
1490	6.478329548068966e-5
1491	7.030199291572599e-5
1492	6.677323108306157e-5
1493	6.763262960400122e-5
1494	6.579987530130894e-5
1495	6.947821566427592e-5
1496	6.868650355803162e-5
1497	6.570365864414877e-5
1498	6.84998133995881e-5
1499	6.805073765766188e-5
1500	7.302296156315913e-5
1501	6.839848841385297e-5
1502	7.07709211080025e-5
1503	7.272097597403142e-5
1504	6.77832237367208e-5
1505	6.551334566514318e-5
1506	6.050694658673211e-5
1507	6.521000553523967e-5
1508	6.654486060142518e-5
1509	6.395244963641745e-5
1510	5.889692268586566e-5
1511	6.672571726085154e-5
1512	6.441741546344322e-5
1513	6.393158522162898e-5
1514	6.322409899439663e-5
1515	6.290755785206177e-5
1516	5.988664209629257e-5
1517	6.347658563754523e-5
1518	6.388966539816465e-5
1519	6.474909605458382e-5
1520	6.115591531852264e-5
1521	6.475943458402376e-5
1522	6.156728886708153e-5
1523	6.051089500639743e-5
1524	6.684193795081227e-5
1525	6.523170668515378e-5
1526	6.309219073348989e-5
1527	6.665831157685415e-5
1528	6.276076843884465e-5
1529	6.239384007737195e-5
1530	6.458238810106802e-5
1531	6.269562012069703e-5
1532	6.579981406199902e-5
1533	6.716200550727082e-5
1534	6.762873211603924e-5
1535	6.057718746887988e-5
1536	6.446420835951965e-5
1537	5.860431095546422e-5
1538	6.303074890941694e-5
1539	5.646805281382212e-5
1540	6.677232219468961e-5
1541	6.796757831277016e-5
1542	6.246564892838556e-5
1543	6.12962145775479e-5
1544	6.688377410076406e-5
1545	6.884348658786622e-5
1546	6.493583957004979e-5
1547	6.990416720024466e-5
1548	6.663565848915219e-5
1549	6.861077357219376e-5
1550	6.91698442096822e-5
1551	6.432009649870452e-5
1552	7.289701170520858e-5
1553	7.697024193475954e-5
1554	6.690123579270828e-5
1555	6.425626330989569e-5
1556	6.495925238899267e-5
1557	6.343030387749123e-5
1558	6.378287253028249e-5
1559	7.204827428116307e-5
1560	7.313741419541962e-5
1561	6.777334298628072e-5
1562	6.505973578896375e-5
1563	6.618664398653588e-5
1564	7.225128501886503e-5
1565	7.467930602918692e-5
1566	6.361717229689624e-5
1567	6.45694496294406e-5
1568	6.409435445675628e-5
1569	6.629104852133123e-5
1570	6.510369894385805e-5
1571	7.406183552423801e-5
1572	6.308116583871502e-5
1573	6.559927957520512e-5
1574	6.784453944419512e-5
1575	6.843082398214999e-5
1576	6.51503220675901e-5
1577	6.781738193240018e-5
1578	6.42314813982618e-5
1579	6.545030798103352e-5
1580	6.625858865542493e-5
1581	6.654995316542529e-5
1582	6.368123225305074e-5
1583	7.116511551430453e-5
1584	6.450870144666021e-5
1585	6.227267173623353e-5
1586	6.565187504747882e-5
1587	6.770455729565585e-5
1588	6.797547212045175e-5
1589	6.788134548211623e-5
1590	6.891399607411586e-5
1591	6.853323308556966e-5
1592	6.643291453656275e-5
1593	7.670121946527315e-5
1594	6.822891494569681e-5
1595	6.864451703828918e-5
1596	7.267348337336443e-5
1597	6.204615541112919e-5
1598	6.716734727281924e-5
1599	7.216239585735215e-5
1600	6.610263396093313e-5
1601	6.743376555580956e-5
1602	6.654105830724197e-5
1603	7.177610071569994e-5
1604	6.863754303291597e-5
1605	7.293866777520939e-5
1606	6.872673050869103e-5
1607	6.888770803925583e-5
1608	7.238024287895921e-5
1609	7.205902026422943e-5
1610	6.408249889015378e-5
1611	7.095247807834919e-5
1612	7.281302532646804e-5
1613	6.574383890741352e-5
1614	6.168079562485219e-5
1615	6.192185598289751e-5
1616	6.735484142457911e-5
1617	6.967894902724464e-5
1618	7.040586569928565e-5
1619	6.87448749279914e-5
1620	6.451607017273393e-5
1621	6.45672462269431e-5
1622	6.548187532947246e-5
1623	6.990181282162666e-5
1624	6.443684893990094e-5
1625	6.561592575356674e-5
1626	6.918864589048708e-5
1627	6.877009036543309e-5
1628	6.840650288116497e-5
1629	7.085843390086667e-5
1630	6.688899156870322e-5
1631	6.884654309639397e-5
1632	6.888459029141815e-5
1633	6.243139311360815e-5
1634	6.419826907707224e-5
1635	6.665076337715921e-5
1636	6.892561577842574e-5
1637	7.284610546776094e-5
1638	6.795143660080309e-5
1639	6.628550060365036e-5
1640	7.005090992606715e-5
1641	7.457604685138601e-5
1642	7.441346375950768e-5
1643	6.569900627558432e-5
1644	6.881597558579718e-5
1645	6.943467754657225e-5
1646	6.758064349317766e-5
1647	7.913068960381983e-5
1648	8.028184068583265e-5
1649	6.668756941508039e-5
1650	6.821627781998056e-5
1651	6.863772432552649e-5
1652	7.112355888239111e-5
1653	7.315903227815095e-5
1654	7.438374571696237e-5
1655	8.070670689145724e-5
1656	8.034537192240047e-5
1657	8.028928641579114e-5
1658	7.135520354495384e-5
1659	7.328197413395778e-5
