Wavenumber	av. CaF2 Control30
1400	0.000116711
1401	0.000121887
1402	9.56399e-05
1403	9.60474e-05
1404	9.79671e-05
1405	0.000102758
1406	0.00010855
1407	0.000104716
1408	0.00010646
1409	0.000100106
1410	0.000101341
1411	0.000105842
1412	0.000110536
1413	0.000109434
1414	0.000108392
1415	0.000116184
1416	9.40053e-05
1417	7.20086e-05
1418	9.92464e-05
1419	9.80602e-05
1420	0.000102581
1421	9.43627e-05
1422	8.53928e-05
1423	9.41521e-05
1424	8.6057e-05
1425	9.47909e-05
1426	9.80356e-05
1427	8.03176e-05
1428	8.24256e-05
1429	8.76603e-05
1430	9.161e-05
1431	9.07098e-05
1432	0.0001032
1433	9.87442e-05
1434	6.17119e-05
1435	7.65208e-05
1436	8.21423e-05
1437	8.61068e-05
1438	8.4821e-05
1439	8.49633e-05
1440	8.48628e-05
1441	8.49538e-05
1442	8.60356e-05
1443	8.47888e-05
1444	8.55396e-05
1445	7.42675e-05
1446	8.03443e-05
1447	8.16923e-05
1448	8.61971e-05
1449	7.9583e-05
1450	8.44265e-05
1451	9.53753e-05
1452	0.000100517
1453	9.77066e-05
1454	6.60873e-05
1455	6.45994e-05
1456	6.12891e-05
1457	7.74673e-05
1458	8.44983e-05
1459	8.70867e-05
1460	9.32371e-05
1461	8.92315e-05
1462	7.78772e-05
1463	8.79751e-05
1464	8.90112e-05
1465	8.99506e-05
1466	9.25899e-05
1467	8.91195e-05
1468	0.000105308
1469	8.22483e-05
1470	6.89e-05
1471	6.91341e-05
1472	7.95642e-05
1473	6.3181e-05
1474	6.40048e-05
1475	6.82612e-05
1476	7.27921e-05
1477	7.3225e-05
1478	7.40073e-05
1479	6.60996e-05
1480	7.19967e-05
1481	6.8471e-05
1482	6.89662e-05
1483	7.11601e-05
1484	6.29274e-05
1485	6.47347e-05
1486	7.21033e-05
1487	5.87031e-05
1488	5.75363e-05
1489	6.59073e-05
1490	6.8305e-05
1491	7.03257e-05
1492	7.35494e-05
1493	6.00643e-05
1494	6.36131e-05
1495	7.14938e-05
1496	6.03085e-05
1497	6.96499e-05
1498	7.28399e-05
1499	7.48975e-05
1500	7.32409e-05
1501	9.56787e-05
1502	0.000100856
1503	8.85097e-05
1504	6.70506e-05
1505	5.29864e-05
1506	6.09452e-05
1507	6.18291e-05
1508	5.8453e-05
1509	5.64439e-05
1510	5.44914e-05
1511	6.13981e-05
1512	6.47214e-05
1513	6.02446e-05
1514	5.35314e-05
1515	6.15007e-05
1516	7.23866e-05
1517	6.81906e-05
1518	6.56614e-05
1519	6.30565e-05
1520	7.66202e-05
1521	8.36625e-05
1522	6.84337e-05
1523	8.72139e-05
1524	8.0032e-05
1525	8.23672e-05
1526	8.94266e-05
1527	9.31767e-05
1528	8.94004e-05
1529	9.99451e-05
1530	6.88962e-05
1531	7.49469e-05
1532	8.74681e-05
1533	0.000105448
1534	0.000113116
1535	7.24634e-05
1536	6.23462e-05
1537	7.9336e-05
1538	7.85064e-05
1539	7.70146e-05
1540	9.49241e-05
1541	9.73356e-05
1542	8.33356e-05
1543	0.000109694
1544	0.000126634
1545	0.000149448
1546	0.00012747
1547	0.000102559
1548	0.000128166
1549	0.000160631
1550	0.000164284
1551	0.000130159
1552	0.000174599
1553	0.000241996
1554	0.000170473
1555	7.87541e-05
1556	8.05433e-05
1557	7.43425e-05
1558	0.000122177
1559	0.000164357
1560	0.000173094
1561	0.000141787
1562	0.000118898
1563	0.000143481
1564	0.000168106
1565	0.000138599
1566	9.14202e-05
1567	9.58725e-05
1568	0.000109477
1569	0.000106506
1570	0.000120985
1571	0.000131383
1572	0.000110118
1573	7.34418e-05
1574	9.33892e-05
1575	9.99257e-05
1576	0.000105187
1577	0.000103971
1578	0.000104721
1579	0.000105225
1580	0.000103583
1581	0.000105464
1582	0.000109458
1583	0.00010279
1584	0.000102738
1585	0.00010942
1586	0.000107003
1587	0.000103573
1588	0.000106309
1589	0.000106363
1590	0.000109463
1591	0.000100017
1592	0.000105056
1593	0.00010155
1594	0.000110347
1595	0.000108352
1596	0.000110657
1597	0.00010752
1598	0.000107147
1599	0.000111048
1600	0.00010412
1601	0.00011614
1602	0.000121354
1603	0.000113186
1604	0.00011776
1605	0.000117168
1606	0.000109212
1607	0.000113277
1608	0.000121791
1609	0.000118437
1610	0.000140279
1611	0.000173874
1612	0.000180774
1613	0.000114626
1614	8.25707e-05
1615	0.000116759
1616	0.000134243
1617	0.000135769
1618	0.00015409
1619	0.000145339
1620	0.000121832
1621	0.000115213
1622	0.000135956
1623	0.000173515
1624	0.000150708
1625	0.000109273
1626	0.000137306
1627	0.000152476
1628	0.000153897
1629	0.000153935
1630	0.000184023
1631	0.000187739
1632	0.000160215
1633	8.20903e-05
1634	0.00013849
1635	0.000140043
1636	0.000146179
1637	0.000170752
1638	0.000164465
1639	0.000157291
1640	0.000170983
1641	0.000207136
1642	0.000234745
1643	0.000176838
1644	0.000117928
1645	0.000105059
1646	0.000160059
1647	0.000193699
1648	0.000191059
1649	0.000123155
1650	8.33039e-05
1651	9.11411e-05
1652	0.000127098
1653	0.000143526
1654	0.000144508
1655	0.000142653
1656	0.00014403
1657	0.000140107
1658	0.000133089
1659	0.000129689
