Wavenumber	av. CaF2 Control60
1400	0.000112758
1401	0.000113727
1402	8.92603e-05
1403	8.44806e-05
1404	9.3573e-05
1405	9.51756e-05
1406	0.000100285
1407	9.21243e-05
1408	9.47508e-05
1409	8.94187e-05
1410	8.89886e-05
1411	9.31552e-05
1412	9.82326e-05
1413	8.8447e-05
1414	8.9942e-05
1415	9.5059e-05
1416	8.53943e-05
1417	7.0251e-05
1418	8.53505e-05
1419	8.61281e-05
1420	8.79713e-05
1421	7.87088e-05
1422	7.76144e-05
1423	8.50775e-05
1424	8.52692e-05
1425	8.32553e-05
1426	8.75141e-05
1427	6.74643e-05
1428	7.33604e-05
1429	7.89551e-05
1430	8.05794e-05
1431	8.14186e-05
1432	8.96797e-05
1433	8.89415e-05
1434	6.65627e-05
1435	7.20661e-05
1436	7.3318e-05
1437	7.22882e-05
1438	7.57618e-05
1439	7.5854e-05
1440	7.30048e-05
1441	7.61952e-05
1442	7.58087e-05
1443	8.06763e-05
1444	8.18156e-05
1445	7.07928e-05
1446	7.31862e-05
1447	7.73669e-05
1448	8.2806e-05
1449	7.57301e-05
1450	7.92826e-05
1451	8.81249e-05
1452	8.79017e-05
1453	8.10543e-05
1454	6.02954e-05
1455	5.98429e-05
1456	6.25469e-05
1457	6.83019e-05
1458	7.56143e-05
1459	8.07027e-05
1460	8.68084e-05
1461	7.52805e-05
1462	7.11833e-05
1463	7.94499e-05
1464	7.67474e-05
1465	8.88598e-05
1466	8.14056e-05
1467	8.53112e-05
1468	8.78504e-05
1469	7.18185e-05
1470	6.64154e-05
1471	6.46827e-05
1472	7.82543e-05
1473	7.10212e-05
1474	6.29605e-05
1475	6.89847e-05
1476	6.97584e-05
1477	7.38331e-05
1478	6.79363e-05
1479	6.57497e-05
1480	6.54436e-05
1481	6.80082e-05
1482	6.64463e-05
1483	6.8291e-05
1484	6.49589e-05
1485	6.60516e-05
1486	6.68818e-05
1487	6.15376e-05
1488	6.0509e-05
1489	6.10196e-05
1490	5.8822e-05
1491	6.60285e-05
1492	6.98748e-05
1493	6.0686e-05
1494	5.70362e-05
1495	6.68415e-05
1496	5.82881e-05
1497	6.48108e-05
1498	6.7462e-05
1499	7.08163e-05
1500	6.99658e-05
1501	8.34618e-05
1502	8.76921e-05
1503	7.73e-05
1504	5.87844e-05
1505	5.50721e-05
1506	6.35489e-05
1507	6.14626e-05
1508	5.74892e-05
1509	5.62992e-05
1510	5.31133e-05
1511	6.24305e-05
1512	6.21164e-05
1513	6.18094e-05
1514	5.54747e-05
1515	6.43568e-05
1516	7.80962e-05
1517	6.5581e-05
1518	6.04239e-05
1519	6.56195e-05
1520	7.66278e-05
1521	7.86971e-05
1522	6.50371e-05
1523	9.12354e-05
1524	8.55672e-05
1525	9.31065e-05
1526	9.16853e-05
1527	0.000104316
1528	9.99695e-05
1529	0.000107598
1530	7.33838e-05
1531	8.36015e-05
1532	9.29295e-05
1533	0.000115558
1534	0.000124189
1535	7.07567e-05
1536	6.28484e-05
1537	7.60816e-05
1538	7.84692e-05
1539	7.73961e-05
1540	9.60897e-05
1541	9.48117e-05
1542	8.11649e-05
1543	0.00011149
1544	0.000136122
1545	0.000158771
1546	0.000136107
1547	9.73529e-05
1548	0.000138338
1549	0.000159415
1550	0.000158504
1551	0.000124881
1552	0.000166349
1553	0.000236877
1554	0.00014086
1555	6.69583e-05
1556	6.65741e-05
1557	6.27601e-05
1558	9.85164e-05
1559	0.000136473
1560	0.000146443
1561	0.000113426
1562	9.80484e-05
1563	0.000125489
1564	0.00015011
1565	0.000128556
1566	7.57034e-05
1567	9.45552e-05
1568	0.000103113
1569	0.000109506
1570	0.000119983
1571	0.000136605
1572	0.00010447
1573	7.10876e-05
1574	8.69842e-05
1575	0.000106196
1576	0.000108938
1577	0.000106792
1578	0.000105814
1579	0.000106219
1580	0.000106893
1581	0.000106388
1582	0.000107339
1583	0.000104491
1584	0.000110915
1585	0.000104355
1586	0.000109131
1587	0.000106038
1588	0.00011233
1589	0.000102499
1590	0.000109918
1591	0.000105327
1592	0.000107138
1593	0.000101724
1594	0.00011134
1595	0.000109064
1596	0.000116286
1597	0.000114306
1598	0.000113066
1599	0.000112901
1600	9.9358e-05
1601	0.00011885
1602	0.000116534
1603	0.000112146
1604	0.000123281
1605	0.000115712
1606	0.000111076
1607	0.000115464
1608	0.000124081
1609	0.000120546
1610	0.00013383
1611	0.000180428
1612	0.000193725
1613	0.000111914
1614	8.69768e-05
1615	0.000121375
1616	0.000144498
1617	0.000148229
1618	0.000166908
1619	0.000159324
1620	0.000131152
1621	0.000124694
1622	0.000153121
1623	0.000197267
1624	0.000178618
1625	0.000115207
1626	0.000157374
1627	0.000170067
1628	0.00016856
1629	0.000167251
1630	0.000212363
1631	0.000214833
1632	0.000167652
1633	8.13552e-05
1634	0.00015383
1635	0.000156591
1636	0.000167468
1637	0.000194581
1638	0.000192109
1639	0.000177122
1640	0.000206025
1641	0.000243411
1642	0.000276979
1643	0.000201173
1644	0.000120631
1645	0.000109931
1646	0.000181021
1647	0.000223814
1648	0.00020679
1649	0.00012337
1650	7.6773e-05
1651	8.40193e-05
1652	0.000129531
1653	0.000149995
1654	0.000149189
1655	0.000153681
1656	0.00015618
1657	0.000145635
1658	0.00013782
1659	0.000137314
