Wavenumber (cm-1)	CaF2_mean
989	2.54006e-05
990	2.60297e-05
991	2.66624e-05
992	2.72949e-05
993	2.73055e-05
994	2.70942e-05
995	2.67795e-05
996	2.65639e-05
997	2.65644e-05
998	2.67793e-05
999	2.69684e-05
1000	2.7017e-05
1001	2.68741e-05
1002	2.65991e-05
1003	2.63487e-05
1004	2.63393e-05
1005	2.65647e-05
1006	2.68657e-05
1007	2.71849e-05
1008	2.74196e-05
1009	2.75516e-05
1010	2.77017e-05
1011	2.79394e-05
1012	2.81224e-05
1013	2.82831e-05
1014	2.83088e-05
1015	2.82289e-05
1016	2.80663e-05
1017	2.78812e-05
1018	2.76204e-05
1019	2.74759e-05
1020	2.74405e-05
1021	2.76166e-05
1022	2.78755e-05
1023	2.80561e-05
1024	2.80944e-05
1025	2.80944e-05
1026	2.79993e-05
1027	2.78758e-05
1028	2.76731e-05
1029	2.73466e-05
1030	2.71978e-05
1031	2.74523e-05
1032	2.80707e-05
1033	2.88155e-05
1034	2.93068e-05
1035	2.9205e-05
1036	2.87281e-05
1037	2.82636e-05
1038	2.8138e-05
1039	2.83538e-05
1040	2.88047e-05
1041	2.92704e-05
1042	2.95776e-05
1043	2.97219e-05
1044	2.96195e-05
1045	2.89936e-05
1046	2.80907e-05
1047	2.74304e-05
1048	2.72956e-05
1049	2.80221e-05
1050	2.93541e-05
1051	3.04758e-05
1052	3.10421e-05
1053	3.10706e-05
1054	3.0549e-05
1055	2.99814e-05
1056	2.95629e-05
1057	2.92894e-05
1058	2.9245e-05
1059	2.94359e-05
1060	2.95325e-05
1061	2.94842e-05
1062	2.92155e-05
1063	2.89451e-05
1064	2.8871e-05
1065	2.90926e-05
1066	2.93922e-05
1067	2.94736e-05
1068	2.91724e-05
1069	2.8676e-05
1070	2.83564e-05
1071	2.85602e-05
1072	2.9357e-05
1073	3.03451e-05
1074	3.09357e-05
1075	3.07352e-05
1076	3.01013e-05
1077	2.95209e-05
1078	2.94392e-05
1079	2.98095e-05
1080	3.0194e-05
1081	3.0182e-05
1082	3.00026e-05
1083	2.97693e-05
1084	2.9719e-05
1085	2.98417e-05
1086	3.00765e-05
1087	3.04187e-05
1088	3.10023e-05
1089	3.16632e-05
1090	3.23092e-05
1091	3.28152e-05
1092	3.30899e-05
1093	3.31451e-05
1094	3.30169e-05
1095	3.26554e-05
1096	3.21312e-05
1097	3.17309e-05
1098	3.16626e-05
1099	3.21109e-05
1100	3.30744e-05
1101	3.42284e-05
1102	3.51294e-05
1103	3.55935e-05
1104	3.5708e-05
1105	3.56883e-05
1106	3.58302e-05
1107	3.61468e-05
1108	3.64251e-05
1109	3.64681e-05
1110	3.64131e-05
1111	3.62481e-05
1112	3.6108e-05
1113	3.60016e-05
1114	3.58328e-05
1115	3.56026e-05
1116	3.57426e-05
1117	3.63002e-05
1118	3.71908e-05
1119	3.80688e-05
1120	3.83543e-05
1121	3.79107e-05
1122	3.7314e-05
1123	3.704e-05
1124	3.75186e-05
1125	3.86663e-05
1126	3.96242e-05
1127	3.96551e-05
1128	3.86673e-05
1129	3.70208e-05
1130	3.56853e-05
1131	3.53385e-05
1132	3.5824e-05
1133	3.64402e-05
1134	3.66814e-05
1135	3.64167e-05
1136	3.60682e-05
1137	3.5993e-05
1138	3.61928e-05
1139	3.62639e-05
1140	3.61222e-05
1141	3.59718e-05
1142	3.60965e-05
1143	3.65406e-05
1144	3.6951e-05
1145	3.68561e-05
1146	3.61698e-05
1147	3.52305e-05
1148	3.44152e-05
1149	3.40041e-05
1150	3.39244e-05
1151	3.4097e-05
1152	3.43528e-05
1153	3.46185e-05
1154	3.46793e-05
1155	3.45447e-05
1156	3.42539e-05
1157	3.39804e-05
1158	3.39174e-05
1159	3.40398e-05
1160	3.40358e-05
1161	3.39206e-05
1162	3.37785e-05
1163	3.36873e-05
1164	3.4047e-05
1165	3.47828e-05
1166	3.5492e-05
1167	3.59361e-05
1168	3.59458e-05
1169	3.54575e-05
1170	3.47839e-05
1171	3.48136e-05
1172	3.50279e-05
1173	3.53759e-05
1174	3.56819e-05
1175	3.60474e-05
1176	3.64102e-05
1177	3.64456e-05
1178	3.61837e-05
1179	3.58884e-05
1180	3.56262e-05
1181	3.56014e-05
1182	3.57816e-05
1183	3.58123e-05
1184	3.57317e-05
1185	3.57446e-05
1186	3.5815e-05
1187	3.60788e-05
1188	3.63812e-05
1189	3.65063e-05
1190	3.64027e-05
1191	3.61867e-05
1192	3.57698e-05
1193	3.53605e-05
1194	3.49328e-05
1195	3.46838e-05
1196	3.4652e-05
1197	3.49264e-05
1198	3.51884e-05
1199	3.53341e-05
1200	3.51688e-05
1201	3.48687e-05
1202	3.45663e-05
1203	3.45596e-05
1204	3.46828e-05
1205	3.47708e-05
1206	3.46511e-05
1207	3.4347e-05
1208	3.39515e-05
1209	3.36748e-05
1210	3.3478e-05
1211	3.32827e-05
1212	3.30444e-05
1213	3.28015e-05
1214	3.25726e-05
1215	3.24192e-05
1216	3.23986e-05
1217	3.25242e-05
1218	3.26226e-05
1219	3.26212e-05
1220	3.25071e-05
1221	3.249e-05
1222	3.27611e-05
1223	3.34109e-05
1224	3.41373e-05
1225	3.47148e-05
1226	3.51128e-05
1227	3.54544e-05
1228	3.57837e-05
1229	3.60815e-05
1230	3.6165e-05
1231	3.58975e-05
1232	3.53808e-05
1233	3.48368e-05
1234	3.44489e-05
1235	3.42661e-05
1236	3.42661e-05
1237	3.42209e-05
1238	3.40815e-05
1239	3.39481e-05
1240	3.38182e-05
1241	3.36936e-05
1242	3.35678e-05
1243	3.33619e-05
1244	3.32219e-05
1245	3.31429e-05
1246	3.29894e-05
1247	3.27272e-05
1248	3.22495e-05
1249	3.16557e-05
1250	3.11964e-05
1251	3.08281e-05
1252	3.06684e-05
1253	3.08226e-05
1254	3.12246e-05
1255	3.17302e-05
1256	3.20238e-05
1257	3.17758e-05
1258	3.10649e-05
1259	3.02473e-05
1260	2.9884e-05
1261	3.01475e-05
1262	3.07313e-05
1263	3.13266e-05
1264	3.15258e-05
1265	3.12923e-05
1266	3.08869e-05
1267	3.04271e-05
1268	2.98983e-05
1269	2.949e-05
1270	2.9172e-05
1271	2.91142e-05
1272	2.93091e-05
1273	2.96304e-05
1274	2.99196e-05
1275	3.00462e-05
1276	2.99772e-05
1277	2.98158e-05
1278	2.97058e-05
1279	2.975e-05
1280	2.99981e-05
1281	3.02591e-05
1282	3.04548e-05
1283	3.03709e-05
1284	3.00062e-05
1285	2.926e-05
1286	2.81184e-05
1287	2.67049e-05
1288	2.54103e-05
1289	2.45558e-05
1290	2.44617e-05
1291	2.50494e-05
1292	2.59655e-05
1293	2.68026e-05
1294	2.72758e-05
1295	2.73815e-05
1296	2.73997e-05
1297	2.7603e-05
1298	2.81898e-05
1299	2.90352e-05
1300	2.98954e-05
1301	3.04511e-05
1302	3.04999e-05
1303	3.01084e-05
1304	2.96739e-05
1305	2.93643e-05
1306	2.94274e-05
1307	2.95826e-05
1308	2.94641e-05
1309	2.9054e-05
1310	2.86436e-05
1311	2.83229e-05
1312	2.84325e-05
1313	2.88159e-05
1314	2.91644e-05
1315	2.94319e-05
1316	2.96396e-05
1317	2.96499e-05
1318	2.96664e-05
1319	2.97954e-05
1320	2.99127e-05
1321	3.00955e-05
1322	3.02761e-05
1323	3.03288e-05
1324	3.02322e-05
1325	3.00935e-05
1326	2.97852e-05
1327	2.94842e-05
1328	2.92768e-05
1329	2.93175e-05
1330	2.94554e-05
1331	2.97889e-05
1332	3.02184e-05
1333	3.08468e-05
1334	3.16202e-05
1335	3.23514e-05
1336	3.23939e-05
1337	3.16897e-05
1338	3.04628e-05
1339	2.93332e-05
1340	2.8839e-05
1341	2.91907e-05
1342	2.98317e-05
1343	3.03741e-05
1344	3.04548e-05
1345	3.00315e-05
1346	2.92948e-05
1347	2.86096e-05
1348	2.80856e-05
1349	2.78127e-05
