#cm^-1	mean CaF2 210928
1000	7.427319152546781e-5
1001	6.929679096044439e-5
1002	6.886197089832943e-5
1003	7.642657458615889e-5
1004	7.361024784456408e-5
1005	7.71523950139194e-5
1006	6.91944982723466e-5
1007	7.405204814858735e-5
1008	7.200788552706531e-5
1009	7.243948597793604e-5
1010	7.459350932289711e-5
1011	7.37297336205042e-5
1012	7.058596539926451e-5
1013	7.273894672315305e-5
1014	7.222670579462179e-5
1015	7.329000176728837e-5
1016	7.30728752387222e-5
1017	7.446965381469843e-5
1018	7.350788343631264e-5
1019	7.448028814646284e-5
1020	7.123291184793093e-5
1021	6.844564320220217e-5
1022	6.993982138478066e-5
1023	7.026388110326869e-5
1024	7.836015928270564e-5
1025	7.651812744110689e-5
1026	7.126305562061526e-5
1027	6.930726833940883e-5
1028	7.244712573343092e-5
1029	7.395733596890103e-5
1030	7.371530539655528e-5
1031	7.415923443789196e-5
1032	6.930994589181086e-5
1033	7.673772155872681e-5
1034	7.815339527691584e-5
1035	7.242345080677689e-5
1036	7.276781876238865e-5
1037	7.773459739317852e-5
1038	8.097583070463902e-5
1039	7.264067867903839e-5
1040	7.662940749599199e-5
1041	7.446888672088142e-5
1042	7.642310915148952e-5
1043	7.189510714462293e-5
1044	7.286905955489991e-5
1045	7.555928875392839e-5
1046	7.253968682821974e-5
1047	7.200157311412376e-5
1048	7.44910295387464e-5
1049	7.059134596992018e-5
1050	7.329370107202395e-5
1051	6.983631101320499e-5
1052	7.166686970906868e-5
1053	7.070395492649238e-5
1054	7.482147027206206e-5
1055	7.533532126607109e-5
1056	7.556575500140234e-5
1057	7.145501565121646e-5
1058	7.922930568124037e-5
1059	7.705778573706214e-5
1060	7.460351896172925e-5
1061	7.39241617598704e-5
1062	7.340483300920044e-5
1063	7.502438009916142e-5
1064	7.709255338081025e-5
1065	7.28603169721152e-5
1066	7.404313510050996e-5
1067	7.199724391934328e-5
1068	7.587715351421918e-5
1069	7.362370628730529e-5
1070	7.176318727683142e-5
1071	7.178374653449282e-5
1072	7.534180206546029e-5
1073	7.394843747273885e-5
1074	7.804805188373263e-5
1075	7.707954085032857e-5
1076	8.330657770524599e-5
1077	7.360216321623219e-5
1078	7.43846591961171e-5
1079	7.838942890105374e-5
1080	8.085166856679799e-5
1081	7.275228875057243e-5
1082	8.289407248542246e-5
1083	7.233083722115099e-5
1084	7.70519078027324e-5
1085	7.493668921857277e-5
1086	7.415519212372604e-5
1087	7.620925004760339e-5
1088	7.070280896316814e-5
1089	7.34018872857892e-5
1090	7.415526904099223e-5
1091	7.622085935768805e-5
1092	7.890799315646291e-5
1093	7.500976062146949e-5
1094	7.566552397163053e-5
1095	7.272850260570913e-5
1096	7.577561752571329e-5
1097	7.3611487875626e-5
1098	7.448140656509037e-5
1099	7.360164142612898e-5
1100	7.728869448848336e-5
1101	7.685035961912946e-5
1102	8.018916560104118e-5
1103	7.522067815963446e-5
1104	7.492446041266835e-5
1105	7.29653708861276e-5
1106	7.804951019352302e-5
1107	7.81535771758562e-5
1108	7.308799831662327e-5
1109	7.866536387674776e-5
1110	7.32978275794137e-5
1111	7.588022085006484e-5
1112	7.860858022468165e-5
1113	7.534528828858e-5
1114	7.720223740242156e-5
1115	7.167384007646303e-5
1116	7.469847228743936e-5
1117	7.707244783107724e-5
1118	7.286644124958134e-5
1119	7.188260808886431e-5
1120	7.653591767718484e-5
1121	7.794220644947409e-5
1122	7.599173321588232e-5
1123	7.760555620604594e-5
1124	7.847796743070442e-5
1125	7.427323829948104e-5
1126	8.023014067605671e-5
1127	7.340151205426082e-5
1128	7.393673565405021e-5
1129	7.594243860304622e-5
1130	7.341416130657305e-5
1131	7.502593299640079e-5
1132	7.277568926968212e-5
1133	7.413920892369271e-5
1134	7.566665590275079e-5
1135	7.664987164649315e-5
1136	7.848230701971003e-5
1137	7.373118569375948e-5
1138	7.535990984511693e-5
1139	6.756200725379e-5
1140	7.522540129554859e-5
1141	7.295215722738899e-5
1142	7.381978710847241e-5
1143	7.945834762982228e-5
1144	7.176897114342344e-5
1145	7.922953851188399e-5
1146	7.53404196335136e-5
1147	7.297955172751764e-5
1148	7.8580724740667e-5
1149	7.89014156907797e-5
1150	7.619100922186458e-5
1151	7.039243012383981e-5
1152	7.804260011263458e-5
1153	7.35903678495171e-5
1154	8.180455188266936e-5
1155	7.393854632807364e-5
1156	7.471669440357282e-5
1157	7.252472486080866e-5
1158	7.674856585383948e-5
1159	7.835748069088108e-5
1160	7.664958684472369e-5
1161	7.491173684164617e-5
1162	7.588838239566293e-5
1163	8.161377731344796e-5
1164	7.458586437028966e-5
1165	7.405539508908988e-5
1166	7.675968455649646e-5
1167	8.06410680525005e-5
1168	8.033195522979702e-5
1169	8.01960434598316e-5
1170	7.64047830931044e-5
1171	7.667920051192469e-5
1172	8.029481978155673e-5
1173	7.823488600219465e-5
1174	7.167665067494713e-5
1175	7.147521786724351e-5
1176	7.813744533840302e-5
1177	7.460337967911203e-5
1178	7.503059584580894e-5
1179	7.588504584938554e-5
1180	7.58621322997247e-5
1181	7.512128546035718e-5
1182	7.353399061165484e-5
1183	7.997858379634895e-5
1184	7.503868567125341e-5
1185	7.469433642524695e-5
1186	7.813665329844557e-5
1187	6.931460770179653e-5
1188	7.189282769104467e-5
1189	7.101130488860822e-5
1190	7.286957926615808e-5
1191	7.718824989361954e-5
1192	7.48037242114411e-5
1193	7.320131771848536e-5
1194	7.339633573012958e-5
1195	7.156968890090607e-5
1196	7.298002726331885e-5
1197	7.157501594130217e-5
1198	7.730279113664957e-5
1199	7.296328008773603e-5
1200	7.338402377042389e-5
1201	7.331006054300818e-5
1202	7.349531162097787e-5
1203	7.158972273048549e-5
1204	7.687247229374149e-5
1205	7.188443123595792e-5
1206	7.512117839983799e-5
1207	6.820657186576032e-5
1208	7.061014600497271e-5
1209	7.2651136308975e-5
1210	7.944511162349954e-5
1211	7.190025020723367e-5
1212	7.880646964102718e-5
1213	7.24501400587282e-5
1214	7.373178128286131e-5
1215	7.134906523528378e-5
1216	7.179352542152627e-5
1217	6.996365794163595e-5
1218	6.864152965135874e-5
1219	6.994597476607722e-5
1220	7.081757316232794e-5
1221	6.649515697582892e-5
1222	6.724005392503128e-5
1223	6.605848518250111e-5
1224	7.351410957718534e-5
1225	6.952297449710645e-5
1226	6.909783873457594e-5
1227	7.524569498075705e-5
1228	7.057471832792674e-5
1229	7.113903848221524e-5
1230	6.702484513100768e-5
1231	7.047375973862863e-5
1232	6.810890876555018e-5
1233	7.612164336023854e-5
1234	7.26715994200536e-5
1235	6.920088448428682e-5
1236	6.573031610709484e-5
1237	6.865961300458625e-5
1238	6.421967243243541e-5
1239	6.953371017256617e-5
1240	6.594917223472812e-5
1241	6.594029140874876e-5
1242	6.835593896019941e-5
1243	6.649113908809213e-5
1244	7.156211774729728e-5
1245	6.864678497160119e-5
1246	6.672203328759809e-5
1247	6.940464351958196e-5
1248	6.681537446898545e-5
1249	7.091294641473466e-5
1250	6.985934513587771e-5
1251	6.777892693727544e-5
1252	6.519556752339537e-5
1253	6.714839660812038e-5
1254	7.017268009284247e-5
1255	6.724216447245064e-5
1256	6.852735324563193e-5
1257	7.212440583056639e-5
1258	6.918550934642553e-5
1259	7.17866309319756e-5
1260	7.242860530303525e-5
1261	6.683571856618593e-5
1262	7.297987031051892e-5
1263	6.681491140625441e-5
1264	6.897480592929893e-5
1265	7.083526101528801e-5
1266	6.896877727870434e-5
1267	6.810219929320739e-5
1268	6.615423210730246e-5
1269	6.821562679501117e-5
1270	6.693642301667881e-5
1271	6.769146472964038e-5
1272	6.604137161048131e-5
1273	6.822700639271978e-5
1274	6.88525059168959e-5
1275	7.112582118549785e-5
1276	7.416996751479539e-5
1277	6.615577980742922e-5
1278	7.297550369652789e-5
1279	7.597561800918941e-5
1280	7.071422961806614e-5
1281	6.746306826244108e-5
1282	7.513385935453698e-5
1283	7.027822097630374e-5
1284	6.898768697283231e-5
1285	7.190957070893743e-5
1286	7.036632866532144e-5
1287	7.479757394841207e-5
1288	6.69170710482701e-5
1289	6.659133318212948e-5
1290	6.9077163581304e-5
1291	6.486900227693175e-5
1292	6.931506348856993e-5
1293	6.788725139423541e-5
1294	6.875573931860607e-5
1295	6.910000385167743e-5
1296	6.627128563455437e-5
1297	7.146132078820042e-5
1298	6.942914010973514e-5
1299	6.757303812524436e-5
1300	6.887432911233709e-5
1301	7.113606157612856e-5
1302	6.812055965253553e-5
1303	6.691771808878654e-5
1304	7.026724259568643e-5
1305	7.015927466064959e-5
1306	7.276808381513027e-5
1307	6.325336705361093e-5
1308	7.211163340668592e-5
1309	7.469819684047252e-5
1310	6.594679663456712e-5
1311	7.016495458498997e-5
1312	6.746642299861249e-5
1313	7.133830201512734e-5
1314	7.201568431420519e-5
1315	6.78943594851132e-5
1316	6.970517850796958e-5
1317	7.252622162923217e-5
1318	7.156681593707097e-5
1319	6.884050110654375e-5
1320	6.91956645044099e-5
1321	6.648651625645082e-5
1322	6.91794651044932e-5
1323	6.854818691083761e-5
1324	6.909033878140952e-5
1325	7.157066907633894e-5
1326	6.391881522306773e-5
1327	7.037765317363666e-5
1328	7.006566738709807e-5
1329	6.8632179006402e-5
1330	7.252251452882776e-5
1331	7.307808222581763e-5
1332	6.984946802341645e-5
1333	7.070242281770336e-5
1334	7.155904209607147e-5
1335	7.112194621835702e-5
1336	7.256017124745995e-5
1337	7.782235167854067e-5
1338	7.169419248904369e-5
1339	6.942679881051716e-5
1340	7.288195567005979e-5
1341	7.03667413160604e-5
1342	6.94030095473863e-5
1343	6.887053418073007e-5
1344	7.330148738609362e-5
1345	7.254578667925672e-5
1346	7.102441408538393e-5
1347	6.906829211012728e-5
1348	7.166017842661989e-5
1349	7.188598569233104e-5
1661	6.274102478138438e-5
1662	6.711559191379433e-5
1663	7.206034310261854e-5
1664	7.294020178960638e-5
1665	7.338810974033552e-5
1666	8.637622002944619e-5
1667	7.080498783450042e-5
1668	7.427839383516196e-5
1669	8.088928838593088e-5
1670	7.214848925026931e-5
1671	7.30730067256705e-5
1672	7.81791958226157e-5
1673	8.041665673122872e-5
1674	6.959961111923414e-5
1675	7.560241127586258e-5
1676	7.967406833943513e-5
1677	8.323583356936329e-5
1678	7.571276884326448e-5
1679	7.450943667208776e-5
1680	8.299782971984577e-5
1681	8.783686852049351e-5
1682	7.093457471845406e-5
1683	6.843690685595253e-5
1684	7.753653647211781e-5
1685	7.570286106783898e-5
1686	7.542617199110932e-5
1687	8.146227524516039e-5
1688	7.134997472998555e-5
1689	7.091775166502756e-5
1690	7.351078238571065e-5
1691	7.459776835665774e-5
1692	8.860049586343979e-5
1693	8.625805016241171e-5
1694	7.182319365840938e-5
1695	7.29476274240629e-5
1696	8.355010608543775e-5
1697	9.441796906425488e-5
1698	6.655044385947156e-5
1699	6.754110654583201e-5
1700	6.971372775816625e-5
1701	7.596200677133831e-5
1702	7.652245299790852e-5
1703	7.617048686370255e-5
1704	7.406111503119715e-5
1705	7.134914838908506e-5
1706	7.48468467333753e-5
1707	7.52942651160993e-5
1708	7.081998929996709e-5
1709	7.227052005224061e-5
1710	6.745963920755979e-5
1711	8.043927040749364e-5
1712	8.523412127812795e-5
1713	7.36034884799405e-5
1714	7.628040267653497e-5
1715	9.274816589563023e-5
1716	6.949454161388401e-5
1717	6.285604571790568e-5
1718	7.303854882983226e-5
1719	7.560844408414726e-5
1720	7.505657725102669e-5
1721	7.391705210985882e-5
1722	7.125176957093313e-5
1723	7.358813724879709e-5
1724	7.596109519779149e-5
1725	7.281388285004403e-5
1726	7.127011277978974e-5
1727	8.409717494422303e-5
1728	7.682872403945243e-5
1729	7.380390265357816e-5
1730	8.43227213148826e-5
1731	9.642600343795505e-5
1732	6.824666187250321e-5
1733	6.821961194093871e-5
1734	7.717582255801453e-5
1735	8.188762149075049e-5
1736	7.451099060874964e-5
1737	8.447085461479478e-5
1738	7.508197138252269e-5
1739	6.813698876482834e-5
1740	7.650764018762857e-5
1741	7.479259407513641e-5
1742	6.575927597753307e-5
1743	7.303790958498471e-5
1744	7.759991006293734e-5
1745	7.909931342250537e-5
1746	7.833398870258993e-5
1747	6.756691332806698e-5
1748	7.43850718468561e-5
1749	7.417341839754954e-5
1750	6.8561287272522e-5
1751	7.294358199162939e-5
1752	6.420835520007784e-5
1753	7.223896370435667e-5
1754	6.923519062443771e-5
1755	6.756751307485892e-5
1756	6.811583339835386e-5
1757	7.102661766111853e-5
1758	7.302845707662138e-5
1759	8.299371464610367e-5
1760	7.325521541393498e-5
1761	6.91535502223165e-5
1762	7.395108592131044e-5
1763	7.430246686063974e-5
1764	7.125250912005348e-5
1765	7.872618256702224e-5
1766	7.068259583320471e-5
1767	7.027977855094444e-5
1768	7.884255215425841e-5
1769	7.327464533903238e-5
1770	7.126421717527723e-5
1771	6.724374335525293e-5
1772	6.678169873859068e-5
1773	7.335564441746101e-5
1774	6.911067560265242e-5
1775	6.823695210706708e-5
1776	7.271030387658226e-5
1777	7.011320121819153e-5
1778	7.261782177790468e-5
1779	6.924331579024773e-5
1780	6.947424013300667e-5
1781	7.386080895750121e-5
1782	7.0285215250416e-5
1783	7.439140816651551e-5
1784	7.003044395657657e-5
1785	7.239241468986232e-5
1786	7.529589856858365e-5
1787	7.345414841048687e-5
1788	7.327808686698391e-5
1789	6.559527797175438e-5
1790	7.696018500220296e-5
1791	6.520411053705695e-5
1792	7.013172684569977e-5
1793	7.158197903273893e-5
1794	7.057700817573019e-5
1795	6.812370182680233e-5
1796	7.21865773292458e-5
1797	7.325650221901014e-5
1798	6.734995414652596e-5
1799	6.588491565448098e-5
1800	7.045927850413136e-5
