#cm^-1	220119 CaF2 5pc av
998	9.212075989732216e-5
999	9.992741009530929e-5
1000	9.558861105081935e-5
1001	0.0001007667882125437
1002	9.564467654854524e-5
1003	0.0001032018123320692
1004	0.0001035174591379475
1005	9.552672660599161e-5
1006	9.569723079039255e-5
1007	0.0001024472882515208
1008	0.0001019749397528358
1009	0.0001039896136110958
1010	0.0001061113659185746
1011	0.000103820219616561
1012	0.0001023267983934299
1013	0.0001030227801190147
1014	0.0001030819366860669
1015	0.0001058423731592484
1016	0.0001068598218504729
1017	0.0001023684047443871
1018	9.935721512495849e-5
1019	0.0001030149196594722
1020	0.0001020729559968459
1021	0.0001033283612438633
1022	9.876005424303008e-5
1023	0.0001004467164117766
1024	0.0001026812666774884
1025	9.486758426646703e-5
1026	9.460164619667927e-5
1027	0.0001006453185254941
1028	9.982952845651501e-5
1029	0.000100933753856225
1030	9.479773810501989e-5
1031	9.495121897392279e-5
1032	9.593255830016761e-5
1033	9.439108422763338e-5
1034	9.735585808812171e-5
1035	0.0001007547956154062
1036	9.766328245556609e-5
1037	9.841959581535775e-5
1038	0.000101083840490901
1039	0.0001051955981286786
1040	0.0001010176923349111
1041	9.888163913274185e-5
1042	0.0001009042140746412
1043	0.0001023890890792246
1044	9.40109603106976e-5
1045	0.0001032186810334679
1046	0.000100025787105551
1047	9.879128144045052e-5
1048	0.0001006582291059507
1049	9.842399655705482e-5
1050	0.0001005962967610686
1051	9.830652682770356e-5
1052	9.913790866751994e-5
1053	9.61303085205145e-5
1054	0.0001002437074930641
1055	9.971877868035028e-5
1056	9.669683580189792e-5
1057	9.820247214520361e-5
1058	0.0001037648623120428
1059	0.0001015548781045558
1060	9.852724421458943e-5
1061	0.0001054738568200265
1062	9.997413993308635e-5
1063	0.0001002519517593707
1064	9.720931120682512e-5
1065	0.0001025135231126722
1066	9.690571399308594e-5
1067	0.0001062232828796064
1068	9.633029245984898e-5
1069	0.0001014238314382966
1070	9.842704821494412e-5
1071	9.656290482477446e-5
1072	9.915235023072451e-5
1073	9.685972569665559e-5
1074	9.562915814361378e-5
1075	9.665371665808682e-5
1076	0.0001034960829808066
1077	0.000100745027642309
1078	9.61638124863385e-5
1079	9.918617494501336e-5
1080	0.0001042042222252349
1081	9.641594685187253e-5
1082	9.81228101106051e-5
1083	0.0001061214188666782
1084	9.980136019294162e-5
1085	9.910136759572191e-5
1086	9.372159305106224e-5
1087	9.673443370653928e-5
1088	9.56838678879043e-5
1089	0.0001047717056887147
1090	0.0001029280720103998
1091	0.0001060637302240745
1092	0.0001082587647639836
1093	0.0001039997017263281
1094	0.0001009577523897557
1095	0.0001017515884692936
1096	0.00011107557475043
1097	0.0001058294977459203
1098	0.0001030976303203108
1099	0.0001029524349481412
1100	0.0001042380026774481
1101	0.0001058625124035946
1102	9.960612139063101e-5
1103	0.0001063610640509675
1104	0.0001118192679617398
1105	0.0001057055324054091
1106	0.000100757324010677
1107	0.0001008156711274448
1108	9.830685363946638e-5
1109	0.0001012195304307777
1110	9.616191952469922e-5
1111	0.0001039259144211732
1112	0.0001032972237832534
1113	9.867558583209761e-5
1114	9.797661550692283e-5
1115	9.77598889827883e-5
1116	0.000102539439467364
1117	9.875202946811136e-5
1118	0.0001035665918607265
1119	9.743590271682485e-5
1120	0.0001000448986208842
1121	9.919420457057043e-5
1122	9.998886950294651e-5
1123	9.627028460575586e-5
1124	9.657501141191466e-5
1125	9.489179865340709e-5
1126	9.859054140785396e-5
1127	9.602271408463529e-5
1128	9.53534678653038e-5
1129	9.697109817352616e-5
1130	9.65484341577393e-5
1131	9.303012726983678e-5
1132	9.609482003725139e-5
1133	9.839441190706565e-5
1134	9.736863103171345e-5
1135	9.830873144286074e-5
1136	9.628492080082655e-5
1137	9.560496073390823e-5
1138	9.773956602051242e-5
1139	9.03213015893319e-5
1140	0.0001025060979979269
1141	9.842194413067778e-5
1142	9.865883354602073e-5
1143	0.0001010716957049832
1144	0.0001010241818827732
1145	9.514434229155692e-5
1146	9.842672928546863e-5
1147	0.0001003227686548295
1148	9.671395309851505e-5
1149	9.531978321319908e-5
1150	9.690685389311214e-5
1151	9.214844370338444e-5
1152	9.812526089566137e-5
1153	8.61128149457121e-5
1154	8.859049982371896e-5
1155	9.684947447870708e-5
1156	9.27266834575373e-5
1157	9.773112105904138e-5
1158	9.530859097139917e-5
1159	9.621211514361978e-5
1160	9.226272110633237e-5
1161	9.043089327557634e-5
1162	9.74262729869224e-5
1163	9.756343873353527e-5
1164	9.533209170816304e-5
1165	9.52279776053425e-5
1166	9.637220258203649e-5
1167	0.0001007158449889783
1168	9.215515274263454e-5
1169	9.24829807142184e-5
1170	9.528269765723962e-5
1171	9.553397952307331e-5
1172	9.362066581767675e-5
1173	9.416012714306522e-5
1174	9.589503679308108e-5
1175	0.0001025109813781454
1176	9.56653542137549e-5
1177	9.850473300806096e-5
1178	9.64558488097586e-5
1179	9.898600607508955e-5
1180	0.0001012359650000386
1181	9.989400253592373e-5
1182	9.727946538381131e-5
1183	9.570226999737023e-5
1184	9.747803475571949e-5
1185	9.94612382783089e-5
1186	9.80016502580839e-5
1187	9.697129341172211e-5
1188	9.521391317927436e-5
1189	9.772449205532509e-5
1190	9.216458965966012e-5
1191	9.123429056974895e-5
1192	9.599961595085917e-5
1193	9.91921212213734e-5
1194	9.106598251188797e-5
1195	9.164957070121695e-5
1196	9.001776622123238e-5
1197	9.957113676743284e-5
1198	9.291513803570223e-5
1199	9.30588284973055e-5
1200	8.897505661783119e-5
1201	9.591590181419945e-5
1202	9.726512022704515e-5
1203	9.613975453248715e-5
1204	9.201491775456811e-5
1205	9.543808725235675e-5
1206	9.330311331723356e-5
1207	9.197993373769964e-5
1208	9.074951049115044e-5
1209	9.817462887440338e-5
1210	9.771534193229557e-5
1211	9.977833966938004e-5
1212	0.000103853290056577
1213	9.602037486426217e-5
1214	9.606028470443577e-5
1215	9.690306130020565e-5
1216	9.766755526167494e-5
1217	8.954520368812763e-5
1218	8.909260456372676e-5
1219	8.739852637518201e-5
1220	8.737250755075365e-5
1221	9.423728261026558e-5
1222	9.533204683975789e-5
1223	9.601764819914632e-5
1224	0.000102034206671912
1225	0.000100113483616345
1226	0.0001021031791121157
1227	9.851624842364497e-5
1228	9.651546254948092e-5
1229	9.80726272246103e-5
1230	0.0001005318117677234
1231	9.529734597890639e-5
1232	9.812080922226128e-5
1233	0.0001023458844429115
1234	9.745320494403135e-5
1235	0.0001039003994568096
1236	9.73111412652846e-5
1237	0.0001019342380459421
1238	0.0001032332723601333
1239	0.0001038231524338092
1240	0.0001000051124719902
1241	0.0001025684190002115
1242	9.787976038448209e-5
1243	0.000102714246774364
1244	0.0001040592148153034
