Wavenumber (cm^-1)	Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF (V)
770	1.97760797759199e-5
770.995412844037	9.27822472812687e-6
771.990825688073	2.62476490523706e-5
772.98623853211	1.32713847377005e-5
773.981651376147	3.0514849454758e-5
774.977064220183	4.79992288028608e-5
775.97247706422	3.95822738807204e-5
776.967889908257	4.42259033941159e-5
777.963302752293	4.52949620693788e-5
778.95871559633	2.8741115483688e-5
779.954128440367	5.20556289030837e-5
780.949541284403	4.89448187297131e-5
781.94495412844	5.53591707812905e-5
782.940366972476	6.149044814139e-5
783.935779816513	5.71690419470173e-5
784.93119266055	7.73004708037288e-5
785.926605504586	7.96162626946505e-5
786.922018348623	6.09664588188667e-5
787.91743119266	6.95129053551939e-5
788.912844036696	7.38794830428875e-5
789.908256880733	8.64913639781018e-5
790.90366972477	9.14993768709532e-5
791.899082568806	9.20805834183496e-5
792.894495412843	8.96925171381144e-5
793.88990825688	9.3405613889098e-5
794.885321100916	6.6203340611211e-5
795.880733944953	1.01687054331276e-4
796.87614678899	9.43241009199577e-5
797.871559633026	8.87619843757025e-5
798.866972477063	1.08703692960466e-4
799.8623853211	1.05020710538363e-4
800.857798165136	9.34568082481951e-5
801.853211009173	8.77079828648799e-5
802.848623853209	1.03620394245413e-4
803.844036697246	1.00000651913959e-4
804.839449541283	1.10347935317349e-4
805.83486238532	1.18761878806601e-4
806.830275229356	1.06035563421641e-4
807.825688073393	1.03373456748592e-4
808.821100917429	1.14232683742952e-4
809.816513761466	1.24790767448507e-4
810.811926605503	1.33734723126058e-4
811.807339449539	1.47515040021842e-4
812.802752293576	1.35779486057054e-4
813.798165137613	1.35553628590449e-4
814.793577981649	1.25775506002904e-4
815.788990825686	1.40164132342076e-4
816.784403669723	1.40519481422868e-4
817.779816513759	1.41302453973765e-4
818.775229357796	1.46099666564451e-4
819.770642201832	1.48246818213641e-4
820.766055045869	1.53884220580098e-4
821.761467889906	1.51782240424229e-4
822.756880733943	1.48737681774396e-4
823.752293577979	1.55781423299579e-4
824.747706422016	1.63692457496525e-4
825.743119266052	1.74229461171862e-4
826.738532110089	1.71383657092641e-4
827.733944954126	1.58265855432232e-4
828.729357798162	1.80547447371022e-4
829.724770642199	1.86741964821771e-4
830.720183486236	1.91686737623973e-4
831.715596330272	1.84700213323663e-4
832.711009174309	1.86281215589897e-4
833.706422018346	2.09041625357888e-4
834.701834862382	2.10493136009936e-4
835.697247706419	1.9808603251111e-4
836.692660550456	2.05485123117084e-4
837.688073394492	2.10818370761847e-4
838.683486238529	2.2358684620724e-4
839.678899082566	2.30016255423258e-4
840.674311926602	2.28369001633487e-4
841.669724770639	2.289712882111e-4
842.665137614675	2.45332403091954e-4
843.660550458712	2.3503932548055e-4
844.655963302749	2.30696839255961e-4
845.651376146786	2.46874256730643e-4
846.646788990822	2.28664122056517e-4
847.642201834859	2.3824349007345e-4
848.637614678895	2.54460056175678e-4
849.633027522932	2.62319896013526e-4
850.628440366969	2.50244050132388e-4
851.623853211005	2.72805705329767e-4
852.619266055042	2.64033401326835e-4
853.614678899079	2.70532073499278e-4
854.610091743115	2.62452399060601e-4
855.605504587152	2.54393804652141e-4
856.600917431189	2.75437697673936e-4
857.596330275225	2.66093221422271e-4
858.591743119262	2.69125734340552e-4
859.587155963299	2.54074592766006e-4
860.582568807335	2.58429124722147e-4
861.577981651372	2.46576124874725e-4
862.573394495409	2.64720008025314e-4
863.568807339445	2.36394470280179e-4
864.564220183482	2.4132418591794e-4
865.559633027518	2.18955262425397e-4
866.555045871555	2.29576586221601e-4
867.550458715592	2.17055048273028e-4
868.545871559628	2.42486599012733e-4
869.541284403665	2.40637579219462e-4
870.536697247702	2.66828011046959e-4
871.532110091738	2.72420241920095e-4
872.527522935775	2.87859858337202e-4
873.522935779812	2.97544626505217e-4
874.518348623848	3.20633282458008e-4
875.513761467885	3.35232709099345e-4
876.509174311922	3.34522010937762e-4
877.504587155958	3.51602858278864e-4
878.499999999995	3.52424979457306e-4
879.495412844032	3.60784717154573e-4
880.490825688068	3.90540685521539e-4
881.486238532105	3.83406601009714e-4
882.481651376142	3.84126333469961e-4
883.477064220178	3.9097433185742e-4
884.472477064215	3.94985560464322e-4
885.467889908252	3.9237464815037e-4
886.463302752288	4.05052780609122e-4
887.458715596325	4.0880502598765e-4
888.454128440361	4.04278842356889e-4
889.449541284398	4.22461874135023e-4
890.444954128435	3.97771135885782e-4
891.440366972471	3.98743828708626e-4
892.435779816508	3.99882150340315e-4
893.431192660545	4.23247858118808e-4
894.426605504581	4.17872450413612e-4
895.422018348618	4.09338049608838e-4
896.417431192655	4.15680127271101e-4
897.412844036691	4.16225196623841e-4
898.408256880728	4.31170938047306e-4
899.403669724765	4.31752144594702e-4
900.399082568801	4.32101470809718e-4
901.394495412838	4.37163689494554e-4
902.389908256875	4.46682828853726e-4
903.385321100911	4.48947426385551e-4
904.380733944948	4.63251732603857e-4
905.376146788985	4.35127960862222e-4
906.371559633021	4.43219681032452e-4
907.366972477058	4.48845037667356e-4
908.362385321094	4.51118669497845e-4
909.357798165131	4.71481978686937e-4
910.353211009168	4.6579940482716e-4
911.348623853204	4.37428695588704e-4
912.344036697241	4.43114280881369e-4
913.339449541278	4.64387042802658e-4
914.334862385314	4.66522148720295e-4
915.330275229351	4.5170288747813e-4
916.325688073388	4.44162259526416e-4
917.321100917424	4.72313134164043e-4
918.316513761461	4.60490248645502e-4
919.311926605498	4.63305938395842e-4
920.307339449534	4.76968809408991e-4
921.302752293571	4.59803641947023e-4
922.298165137608	4.54476417168037e-4
923.293577981644	4.54952223564351e-4
924.288990825681	4.34278736787788e-4
925.284403669718	4.17691764440329e-4
926.279816513754	4.13264958094874e-4
927.275229357791	3.88712745758483e-4
928.270642201827	4.154030754454e-4
929.266055045864	4.0041818539439e-4
930.261467889901	4.04113213548046e-4
931.256880733937	4.0914832933689e-4
932.252293577974	4.11674921529976e-4
933.247706422011	3.96301556636406e-4
934.243119266047	3.77362655203368e-4
935.238532110084	3.78660582778124e-4
936.233944954121	3.89857090255948e-4
937.229357798157	3.96584631327884e-4
938.224770642194	3.86869748830988e-4
939.220183486231	3.97849433140871e-4
940.215596330267	3.9220299647575e-4
941.211009174304	4.28331156833861e-4
942.20642201834	4.11542418482901e-4
943.201834862377	4.28225756682778e-4
944.197247706414	4.27496989923867e-4
945.192660550451	4.36139802312612e-4
