Wavenumber (cm^-1)	Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF (V)
770	1.98573884638976e-5
770.995412844037	1.95923823697479e-5
771.990825688073	2.05470065952644e-5
772.98623853211	2.81900232651722e-5
773.981651376147	2.64945865491919e-5
774.977064220183	2.34108792718138e-5
775.97247706422	4.45631838775791e-5
776.967889908257	5.01283118547224e-5
777.963302752293	5.65818125338447e-5
778.95871559633	5.41877233878334e-5
779.954128440367	6.29449702263251e-5
780.949541284403	6.14151623191883e-5
781.94495412844	6.27311584912725e-5
782.940366972476	6.53872422985455e-5
783.935779816513	8.23416094583489e-5
784.93119266055	7.39878946268578e-5
785.926605504586	8.23837695187818e-5
786.922018348623	8.49254188763082e-5
787.91743119266	1.03677611470286e-4
788.912844036696	1.05041790568579e-4
789.908256880733	8.45700697955166e-5
790.90366972477	1.14711501572155e-4
791.899082568806	9.08489073671312e-5
792.894495412843	1.24558887116126e-4
793.88990825688	1.1176330877474e-4
794.885321100916	9.59924347399454e-5
795.880733944953	1.12254172335494e-4
796.87614678899	9.95338798163094e-5
797.871559633026	1.00003663346847e-4
798.866972477063	1.10992381955395e-4
799.8623853211	1.14341095326923e-4
800.857798165136	1.13464768356496e-4
801.853211009173	1.24589001445006e-4
802.848623853209	1.21625751483151e-4
803.844036697246	1.23688583011475e-4
804.839449541283	1.43530914310932e-4
805.83486238532	1.2886222471317e-4
806.830275229356	1.22339461077622e-4
807.825688073393	1.38236815293715e-4
808.821100917429	1.44154280918762e-4
809.816513761466	1.53905300610315e-4
810.811926605503	1.34927250549732e-4
811.807339449539	1.558265947929e-4
812.802752293576	1.58560975855263e-4
813.798165137613	1.6088279061196e-4
814.793577981649	1.69040762305727e-4
815.788990825686	1.75629777464812e-4
816.784403669723	1.6768260607321e-4
817.779816513759	1.64659127453593e-4
818.775229357796	1.75464148655969e-4
819.770642201832	1.6096108786705e-4
820.766055045869	1.82706644751764e-4
821.761467889906	1.86085472452172e-4
822.756880733943	1.9061767894871e-4
823.752293577979	1.97342208587758e-4
824.747706422016	1.89283614179297e-4
825.743119266052	1.98447404457677e-4
826.738532110089	2.1426646141868e-4
827.733944954126	2.30567347641774e-4
828.729357798162	2.18804690780994e-4
829.724770642199	2.19988183906003e-4
830.720183486236	2.24951025305533e-4
831.715596330272	2.23397125935292e-4
832.711009174309	2.33876912385757e-4
833.706422018346	2.40206944316468e-4
834.701834862382	2.38574747691137e-4
835.697247706419	2.40167795688924e-4
836.692660550456	2.3861690775157e-4
837.688073394492	2.55056319887515e-4
838.683486238529	2.49572500598349e-4
839.678899082566	2.47431371814935e-4
840.674311926602	2.63903909712648e-4
841.669724770639	2.44410904628207e-4
842.665137614675	2.70830205355197e-4
843.660550458712	2.61040037036099e-4
844.655963302749	2.64656767934665e-4
845.651376146786	2.66367261815085e-4
846.646788990822	2.75672589439205e-4
847.642201834859	2.64942854059031e-4
848.637614678895	2.86763696765946e-4
849.633027522932	2.7415482726362e-4
850.628440366969	2.83881755492069e-4
851.623853211005	2.94000169995965e-4
852.619266055042	2.88925905579577e-4
853.614678899079	2.92774516810523e-4
854.610091743115	2.96891145568507e-4
855.605504587152	3.01381192004612e-4
856.600917431189	3.05970615726022e-4
857.596330275225	3.06344033404142e-4
858.591743119262	3.1023781612841e-4
859.587155963299	3.01808815474717e-4
860.582568807335	2.86802845393491e-4
861.577981651372	3.04600413761953e-4
862.573394495409	2.948493940704e-4
863.568807339445	3.09105517362497e-4
864.564220183482	2.95123434463214e-4
865.559633027518	2.90151558765019e-4
866.555045871555	2.82890994071895e-4
867.550458715592	2.69288351716508e-4
868.545871559628	2.96180447406924e-4
869.541284403665	2.99791155439714e-4
870.536697247702	3.35109240350935e-4
871.532110091738	3.44926511566025e-4
872.527522935775	3.51527572456662e-4
873.522935779812	3.84072127677976e-4
874.518348623848	4.23034046383755e-4
875.513761467885	4.307433145772e-4
876.509174311922	4.34483514224177e-4
877.504587155958	4.55328652675359e-4
878.499999999995	4.8140465005311e-4
879.495412844032	4.74041696641792e-4
880.490825688068	4.8566883902261e-4
881.486238532105	4.87234784124403e-4
882.481651376142	4.98166285508078e-4
883.477064220178	5.05773164983328e-4
884.472477064215	4.83169349725516e-4
885.467889908252	5.02081148262561e-4
886.463302752288	5.15963853876539e-4
887.458715596325	5.059568623895e-4
888.454128440361	5.15232075684739e-4
889.449541284398	5.23790567952619e-4
