Wavenumber (cm-1)	CaF2_002mean
1349	1.464284143063801e-5
1350	1.447244456661186e-5
1351	2.167905464981838e-5
1352	1.945385641496007e-5
1353	2.234533364268525e-5
1354	1.676640355678198e-5
1355	1.819156424668714e-5
1356	2.209889832253491e-5
1357	1.747082797010079e-5
1358	1.772253305413564e-5
1359	2.31220329472611e-5
1360	2.039718780603532e-5
1361	1.840914023887307e-5
1362	1.388872836590356e-5
1363	1.359511391759346e-5
1364	2.123486850299136e-5
1365	2.220454977456636e-5
1366	2.247030837073302e-5
1367	2.496151622229565e-5
1368	1.885182109617745e-5
1369	2.759626947105668e-5
1370	2.413914383699495e-5
1371	2.371453213830442e-5
1372	2.376597709978039e-5
1373	1.451435347613977e-5
1374	1.758400730977883e-5
1375	2.481972796886112e-5
1376	3.023754698006088e-5
1377	2.277120044406427e-5
1378	2.443150363736397e-5
1379	2.707077419472625e-5
1380	2.838852681937475e-5
1381	2.60107499343576e-5
1382	2.69954874359731e-5
1383	2.504608770929435e-5
1384	3.138440100277272e-5
1385	3.044935071253957e-5
1386	2.804221170057038e-5
1387	3.158139831308897e-5
1388	2.914113429142164e-5
1389	2.626998427028108e-5
1390	2.588150922141115e-5
1391	2.089934438724108e-5
1392	2.254182966983838e-5
1393	2.284799271971376e-5
1394	2.083284167990012e-5
1395	2.050886170460824e-5
1396	2.66190594023404e-5
1397	1.677317929231019e-5
1398	2.101428094647416e-5
1399	2.842817775672302e-5
1400	2.966386879658482e-5
1401	2.46350267237479e-5
1402	3.14504007595436e-5
1403	2.252150337274847e-5
1404	2.051212383472982e-5
1405	2.645719465969402e-5
1406	2.764495426769524e-5
1407	3.008195623503222e-5
1408	2.98372777554808e-5
1409	2.771848236686007e-5
1410	3.533364421552204e-5
1411	2.357776293138159e-5
1412	3.259474518320835e-5
1413	4.257036744093057e-5
1414	4.08857222282677e-5
1415	4.352047593177607e-5
1416	3.196535575019274e-5
1417	3.168980992995785e-5
1418	2.406109767131662e-5
1419	2.440640916271757e-5
1420	3.461466455216094e-5
1421	5.098431211081335e-5
1422	4.48645784369243e-5
1423	4.2179886198331e-5
1424	4.062699069133185e-5
1425	3.338951319165064e-5
1426	3.544255741871893e-5
1427	4.769532521701573e-5
1428	4.705012603759922e-5
1429	1.718323611991462e-5
1430	3.529976523471608e-5
1431	3.604835789398447e-5
1432	4.547815721404428e-5
1433	4.56681288293718e-5
1434	5.814173497734979e-5
1435	4.239620617833376e-5
1436	2.413713627902324e-5
1437	3.554369171373159e-5
1438	4.770285280149742e-5
1439	4.953280010037514e-5
1440	5.145158532589752e-5
1441	4.612084679441373e-5
1442	4.270889379161721e-5
1443	4.811015029796786e-5
