Wavenumber	60 nm PMMA av. (N=3) - 0.9* H2O correct
748.249	0.00144967
750.178	0.00161267
752.106	0.00159233
754.035	0.001459
755.963	0.00138333
757.8920000000001	0.001445
759.8200000000001	0.001514
761.749	0.00142233
763.677	0.00124867
765.605	0.00117967
767.534	0.00124133
769.462	0.00136433
771.391	0.00152
773.319	0.00169233
775.248	0.0018
777.176	0.00172
779.105	0.001462
781.033	0.001227
782.962	0.00116367
784.89	0.00120867
786.819	0.00128767
788.747	0.00139767
790.676	0.001502
792.604	0.00152033
794.533	0.00145133
796.461	0.00138867
798.39	0.001374
800.318	0.001397
802.247	0.00147167
804.175	0.00155833
806.104	0.00155967
808.032	0.001492
809.96	0.00148033
811.889	0.001558
813.817	0.00159367
815.746	0.00144133
817.674	0.00115367
819.603	0.0009
821.5309999999999	0.000796667
823.46	0.000925667
825.388	0.001255
827.317	0.00158
829.245	0.00172033
831.174	0.00168767
833.102	0.001593
835.0309999999999	0.001513
836.9589999999999	0.001501
838.888	0.001581
840.816	0.00169633
842.745	0.00174233
844.673	0.00170267
846.602	0.00165167
848.53	0.001578
850.458	0.001408
852.3869999999999	0.00122267
854.3150000000001	0.001192
856.244	0.00134367
858.172	0.001538
860.101	0.00162167
862.029	0.00155167
863.958	0.001413
865.886	0.00130067
867.8150000000001	0.00125867
869.7430000000001	0.00126867
871.672	0.00125833
873.6	0.001209
875.529	0.00119867
877.457	0.001275
879.386	0.001383
881.314	0.00141367
883.2430000000001	0.00133067
885.171	0.00122733
887.1	0.001158
889.028	0.001079
890.957	0.000999333
892.885	0.000990667
894.813	0.00108467
896.742	0.001253
898.67	0.001419
900.599	0.00151233
902.527	0.001542
904.456	0.001545
906.384	0.00149833
908.313	0.00141667
910.241	0.00137833
912.17	0.00136067
914.098	0.00129333
916.027	0.00121233
917.955	0.00117133
919.884	0.00120867
921.812	0.001351
923.741	0.001527
925.669	0.00160333
927.598	0.00157433
929.526	0.00153067
931.455	0.001502
933.383	0.00147267
935.311	0.00147733
937.24	0.00152833
939.168	0.00154933
941.097	0.00149967
943.025	0.00143267
944.954	0.001406
946.8819999999999	0.00139733
948.811	0.001396
950.739	0.001434
952.668	0.00150633
954.596	0.00153733
956.525	0.001495
958.453	0.00146933
960.3819999999999	0.001544
962.3099999999999	0.00169333
964.239	0.00182767
966.167	0.00185733
968.096	0.00178567
970.024	0.00171367
971.953	0.00170333
973.881	0.001725
975.8099999999999	0.00174033
977.7380000000001	0.001753
979.6660000000001	0.00178
981.595	0.00182667
983.523	0.00188067
985.452	0.00192433
987.38	0.001952
989.309	0.001985
991.237	0.00203333
993.1660000000001	0.00203
995.0940000000001	0.001919
997.023	0.00176233
998.951	0.00164233
1000.88	0.00155667
1002.8099999999999	0.00147633
1004.74	0.00136933
1006.67	0.001204
1008.59	0.000995667
1010.52	0.000813
1012.45	0.000748667
1014.38	0.000816667
1016.3099999999999	0.0009
1018.24	0.000892333
1020.16	0.000842
1022.09	0.00085
1024.02	0.0009333329999999999
1025.95	0.001026
1027.8800000000001	0.001072
1029.8099999999999	0.00109733
1031.74	0.00115233
1033.6600000000001	0.001216
1035.5899999999999	0.001243
1037.52	0.00125167
1039.45	0.00126967
1041.3800000000001	0.00127567
1043.3099999999999	0.001258
1045.23	0.00124033
1047.1600000000001	0.00125133
1049.0899999999999	0.001287
1051.02	0.00132133
1052.95	0.00135467
1054.8800000000001	0.001408
1056.8099999999999	0.00146967
1058.73	0.00151
1060.6600000000001	0.00153067
1062.5899999999999	0.00151967
1064.52	0.00143167
1066.45	0.00132433
1068.3800000000001	0.001343
1070.3	0.00148533
1072.23	0.00158933
1074.1600000000001	0.001576
1076.0899999999999	0.00151833
1078.02	0.00151567
1079.95	0.00156233
1081.8800000000001	0.001581
1083.8	0.00155533
1085.73	0.001514
1087.6600000000001	0.001465
1089.5899999999999	0.001426
1091.52	0.00141633
1093.45	0.0014
1095.3800000000001	0.00132333
1097.3	0.001229
1099.23	0.00121667
1101.1600000000001	0.001301
1103.0899999999999	0.00142567
1105.02	0.001552
1106.95	0.001624
1108.8699999999999	0.001577
1110.8	0.00147533
1112.73	0.001467
1114.6600000000001	0.00158133
1116.5899999999999	0.00172067
1118.52	0.00183167
1120.45	0.00193433
1122.3699999999999	0.00202833
1124.3	0.002123
1126.23	0.002249
1128.1600000000001	0.00238567
1130.0899999999999	0.00250133
1132.02	0.00262367
1133.9400000000001	0.002773
1135.8699999999999	0.00295367
1137.8	0.00319067
1139.73	0.00349833
1141.6600000000001	0.00385767
1143.5899999999999	0.004245
1145.52	0.00467733
1147.4400000000001	0.00516567
1149.3699999999999	0.005656
1151.3	0.00603133
1153.23	0.00618233
1155.1600000000001	0.00611167
1157.0899999999999	0.005905
1159.01	0.00561567
1160.9400000000001	0.00524833
1162.8699999999999	0.00490167
1164.8	0.00469767
1166.73	0.00459
1168.6600000000001	0.004465
1170.5899999999999	0.00437567
1172.51	0.00441833
1174.4400000000001	0.004524
1176.3699999999999	0.00455267
1178.3	0.00449233
1180.23	0.004456
1182.1600000000001	0.00449633
1184.0899999999999	0.00459333
1186.01	0.004763
1187.9400000000001	0.005008
1189.8699999999999	0.00525867
1191.8	0.005483
1193.73	0.00569367
1195.6600000000001	0.005837
1197.5799999999999	0.00580933
1199.51	0.00556033
1201.4400000000001	0.00513133
1203.3699999999999	0.00463367
1205.3	0.00415667
1207.23	0.00372233
1209.1600000000001	0.003343
1211.0799999999999	0.003063
1213.01	0.00289433
1214.9400000000001	0.002778
1216.8699999999999	0.00268067
1218.8	0.00264633
1220.73	0.00269867
1222.6500000000001	0.00278467
1224.5799999999999	0.00285867
1226.51	0.00292933
1228.4400000000001	0.003015
1230.3699999999999	0.003158
1232.3	0.003424
1234.23	0.00378967
1236.1500000000001	0.00412667
1238.0799999999999	0.00434167
1240.01	0.00447267
1241.9400000000001	0.00459167
1243.8699999999999	0.00466367
1245.8	0.00461867
1247.72	0.00447067
1249.6500000000001	0.00427833
1251.5799999999999	0.00408467
1253.51	0.00392767
1255.4400000000001	0.00382733
1257.3699999999999	0.00378467
1259.3	0.003803
1261.22	0.00386867
1263.1500000000001	0.003959
1265.0799999999999	0.00409667
1267.01	0.004288
1268.9400000000001	0.00444567
1270.8699999999999	0.00446933
1272.8	0.00436533
1274.72	0.00418533
1276.6500000000001	0.00396333
1278.5799999999999	0.00373433
1280.51	0.003524
1282.4400000000001	0.003324
1284.3699999999999	0.003114
1286.29	0.00290233
1288.22	0.00270767
1290.1500000000001	0.002541
1292.0799999999999	0.00242667
1294.01	0.00237867
1295.9400000000001	0.002358
1297.8699999999999	0.00231067
1299.79	0.00222967
1301.72	0.00215767
1303.6500000000001	0.00213867
1305.5799999999999	0.002171
1307.51	0.00221133
1309.4400000000001	0.00219667
1311.3599999999999	0.00210033
1313.29	0.001979
1315.22	0.00191167
1317.1500000000001	0.00190533
1319.0799999999999	0.00191667
1321.01	0.00191
1322.9400000000001	0.001875
1324.8599999999999	0.00182533
1326.79	0.00178167
1328.72	0.00177933
1330.6500000000001	0.001838
1332.5799999999999	0.00191867
1334.51	0.001977
1336.4300000000001	0.00201833
1338.3599999999999	0.00204967
1340.29	0.002051
1342.22	0.00203033
1344.1500000000001	0.00202933
1346.0799999999999	0.00208567
1348.01	0.002174
1349.9300000000001	0.002213
1351.8599999999999	0.00216233
1353.79	0.00208467
1355.72	0.002053
1357.6500000000001	0.002064
1359.5799999999999	0.00209733
1361.5	0.00214167
1363.4300000000001	0.00214867
1365.3599999999999	0.00207767
1367.29	0.001983
1369.22	0.00196067
1371.1500000000001	0.002037
1373.0799999999999	0.00213467
1375	0.00215767
1376.9300000000001	0.00212933
