Wavenumber	580nm1	580nm2	580nm3	580 nm av. (N=3)	600nm1	600nm2	600nm3	600nm av. (N=3)	600nm2_1	600nm2_2	600nm2_3	600nm control sample av. (N=3)	700nm1	700nm2	700nm3	700 nm av. (N=3)	800nm1	800nm2	800nm3	800 nm av. (N=3)	900nm1	900nm2	900nm3	900 nm av. (N=3)	2000nm1	2000nm2	2000nm3	2000 nm av. (N=3)	60nm1	60nm2	60nm3	60 nm PMMA av. (N=3)	H2O Korrektur	60 nm PMMA av. (N=3) - 0.9* H2O correction spectrum
748,249	-0,000194	-0,002138	-0,001376	-0,001236	0,001538	0,003472	0,006625	0,00387833	0,003004	0,002648	0,002808	0,00282	-0,001557	-0,001313	-0,000586	-0,001152	0,00063	0,000876	-0,000572	0,000311333	0,001824	0,002116	0,0017	0,00188	0,068898	0,068764	0,06961	0,0690907	0,00147	0,000959	0,002163	0,00153067	8,1e-05	0,00144967
750,178	0,000499	-0,001457	-0,000682	-0,000546667	0,002399	0,004151	0,007155	0,00456833	0,003217	0,003349	0,003492	0,00335267	-0,000526	-0,000372	0,00044	-0,000152667	0,001797	0,00207	0,000713	0,00152667	0,003382	0,003791	0,003354	0,003509	0,077979	0,078219	0,079078	0,0784253	0,001558	0,001122	0,002398	0,00169267	8e-05	0,00161267
752,106	0,000555	-0,001361	-0,000695	-0,000500333	0,002477	0,004366	0,007444	0,00476233	0,002895	0,003461	0,003538	0,003298	-0,000315	-0,000147	0,000642	6e-05	0,001745	0,001888	0,001083	0,001572	0,003517	0,003854	0,003426	0,003599	0,076147	0,076387	0,077242	0,076592	0,001562	0,001328	0,002325	0,00173833	0,000146	0,00159233
754,035	8,1e-05	-0,001675	-0,001255	-0,000949667	0,001893	0,004028	0,00748	0,004467	0,002408	0,002916	0,003093	0,00280567	-0,000831	-0,00064	0,000116	-0,000451667	0,000858	0,000617	0,000585	0,000686667	0,002472	0,002613	0,002345	0,00247667	0,067032	0,067168	0,067952	0,067384	0,001563	0,001313	0,001987	0,001621	0,000162	0,001459
755,963	-0,000564	-0,002048	-0,001961	-0,00152433	0,001196	0,00341	0,007289	0,003965	0,002072	0,002129	0,00255	0,00225033	-0,001622	-0,001457	-0,000632	-0,001237	-0,000207	-0,000898	-0,000447	-0,000517333	0,000848	0,000958	0,000961	0,000922333	0,05561	0,055836	0,056322	0,0559227	0,00173	0,001224	0,001844	0,00159933	0,000216	0,00138333
757,892	-0,001131	-0,002439	-0,002653	-0,00207433	0,000661	0,00277	0,006762	0,00339767	0,001631	0,001523	0,002003	0,001719	-0,002496	-0,002362	-0,001361	-0,002073	-0,001358	-0,002195	-0,001856	-0,001803	-0,001008	-0,00067	-0,000434	-0,000704	0,044707	0,045052	0,04525	0,045003	0,001901	0,001204	0,002001	0,001702	0,000257	0,001445
759,82	-0,001663	-0,003075	-0,00333	-0,00268933	0,000127	0,002111	0,005928	0,002722	0,000831	0,001095	0,001344	0,00109	-0,00348	-0,003228	-0,002195	-0,00296767	-0,002745	-0,003357	-0,003466	-0,00318933	-0,002944	-0,002335	-0,001983	-0,00242067	0,035169	0,035328	0,035637	0,035378	0,001726	0,001112	0,002001	0,001613	9,9e-05	0,001514
761,749	-0,002265	-0,003971	-0,003941	-0,00339233	-0,000568	0,001467	0,005089	0,001996	-6,6e-05	0,000644	0,000543	0,000373667	-0,004522	-0,00394	-0,003205	-0,003889	-0,004135	-0,004451	-0,004908	-0,004498	-0,004749	-0,003929	-0,00365	-0,00410933	0,027049	0,026832	0,027485	0,027122	0,001249	0,000903	0,001548	0,00123333	-0,000189	0,00142233
763,677	-0,002911	-0,004851	-0,004508	-0,00409	-0,001314	0,00092	0,004463	0,00135633	-0,00074	0,000138	-0,000313	-0,000305	-0,005461	-0,00455	-0,004225	-0,00474533	-0,005185	-0,005335	-0,006001	-0,005507	-0,006177	-0,005197	-0,005207	-0,005527	0,020218	0,019824	0,02065	0,0202307	0,000811	0,00075	0,000991	0,000850667	-0,000398	0,00124867
765,605	-0,003513	-0,005496	-0,00507	-0,004693	-0,001953	0,000403	0,003967	0,000805667	-0,001198	-0,000356	-0,001045	-0,000866333	-0,006144	-0,005162	-0,005041	-0,005449	-0,005918	-0,005977	-0,006847	-0,00624733	-0,007174	-0,006186	-0,006505	-0,00662167	0,014488	0,014192	0,014943	0,014541	0,000565	0,000667	0,000816	0,000682667	-0,000497	0,00117967
767,534	-0,003982	-0,005988	-0,005501	-0,005157	-0,002462	-7e-05	0,003528	0,000332	-0,00153	-0,000813	-0,001518	-0,001287	-0,006587	-0,00574	-0,005547	-0,005958	-0,006527	-0,006538	-0,007493	-0,00685267	-0,007915	-0,007078	-0,007441	-0,007478	0,009785	0,009631	0,010154	0,00985667	0,000509	0,000561	0,000998	0,000689333	-0,000552	0,00124133
769,462	-0,004207	-0,006443	-0,005669	-0,00543967	-0,002821	-0,000316	0,003265	4,26667e-05	-0,001733	-0,001182	-0,001727	-0,00154733	-0,006949	-0,006162	-0,005754	-0,00628833	-0,007007	-0,007095	-0,007924	-0,007342	-0,008456	-0,007789	-0,007932	-0,008059	0,00611	0,005971	0,006204	0,006095	0,00067	0,00052	0,001184	0,000791333	-0,000573	0,00136433
771,391	-0,00416	-0,006734	-0,005618	-0,005504	-0,002978	-0,000313	0,003262	-9,66667e-06	-0,001776	-0,001382	-0,001741	-0,001633	-0,007276	-0,006338	-0,005774	-0,00646267	-0,007261	-0,007477	-0,008182	-0,00764	-0,008654	-0,008033	-0,008033	-0,00824	0,003361	0,003108	0,003146	0,003205	0,001023	0,000691	0,001226	0,00098	-0,00054	0,00152
773,319	-0,004066	-0,006737	-0,005535	-0,005446	-0,003002	-0,000268	0,003344	2,46667e-05	-0,001726	-0,001424	-0,00171	-0,00162	-0,007502	-0,006367	-0,005801	-0,00655667	-0,00739	-0,00761	-0,00832	-0,00777333	-0,008604	-0,007886	-0,008003	-0,00816433	0,00131	0,000875	0,000892	0,00102567	0,001386	0,001022	0,001232	0,00121333	-0,000479	0,00169233
775,248	-0,00415	-0,006588	-0,00563	-0,005456	-0,002987	-0,000303	0,00333	1,33333e-05	-0,001725	-0,001411	-0,001814	-0,00165	-0,007667	-0,006533	-0,005985	-0,00672833	-0,007582	-0,007701	-0,008361	-0,00788133	-0,008665	-0,007817	-0,00815	-0,00821067	-0,000173	-0,000813	-0,000803	-0,000596333	0,001517	0,001247	0,001295	0,001353	-0,000447	0,0018
777,176	-0,004345	-0,006439	-0,005903	-0,00556233	-0,002935	-0,000373	0,003288	-6,66667e-06	-0,001792	-0,001442	-0,002022	-0,001752	-0,007849	-0,006918	-0,006242	-0,007003	-0,007795	-0,007865	-0,008277	-0,007979	-0,008952	-0,007998	-0,008462	-0,00847067	-0,001261	-0,002014	-0,002152	-0,001809	0,001329	0,001176	0,001383	0,001296	-0,000424	0,00172
779,105	-0,004566	-0,006372	-0,00621	-0,005716	-0,002926	-0,000509	0,003248	-6,23333e-05	-0,001891	-0,001566	-0,002159	-0,001872	-0,008051	-0,007304	-0,006386	-0,007247	-0,007989	-0,008076	-0,008161	-0,00807533	-0,009291	-0,008249	-0,008757	-0,00876567	-0,002274	-0,00295	-0,003143	-0,002789	0,000908	0,000824	0,001382	0,001038	-0,000424	0,001462
781,033	-0,004834	-0,006465	-0,006489	-0,00592933	-0,003038	-0,00078	0,003121	-0,000232333	-0,002076	-0,001717	-0,002187	-0,00199333	-0,00826	-0,007482	-0,006386	-0,007376	-0,00832	-0,008337	-0,008282	-0,008313	-0,009561	-0,008531	-0,009054	-0,00904867	-0,003345	-0,003888	-0,003775	-0,00366933	0,000472	0,000353	0,001224	0,000683	-0,000544	0,001227
782,962	-0,005045	-0,006659	-0,006715	-0,00613967	-0,003188	-0,001051	0,003029	-0,000403333	-0,00235	-0,001798	-0,002244	-0,00213067	-0,008403	-0,007461	-0,006364	-0,00740933	-0,008732	-0,008576	-0,008683	-0,00866367	-0,009768	-0,008883	-0,009397	-0,00934933	-0,004138	-0,004698	-0,004214	-0,00435	0,000316	5,9e-05	0,001028	0,000467667	-0,000696	0,00116367
784,89	-0,005104	-0,006806	-0,006887	-0,00626567	-0,003366	-0,001203	0,003129	-0,00048	-0,002543	-0,001869	-0,00241	-0,002274	-0,008402	-0,007437	-0,006476	-0,00743833	-0,008933	-0,008693	-0,009046	-0,00889067	-0,009945	-0,009229	-0,009681	-0,00961833	-0,004388	-0,005073	-0,004597	-0,004686	0,000509	0,000101	0,000919	0,000509667	-0,000699	0,00120867
786,819	-0,005132	-0,00689	-0,007075	-0,00636567	-0,003694	-0,001292	0,00331	-0,000558667	-0,00253	-0,002036	-0,002561	-0,00237567	-0,008342	-0,007521	-0,006724	-0,007529	-0,008839	-0,008754	-0,009158	-0,008917	-0,010063	-0,009454	-0,009841	-0,009786	-0,004276	-0,004994	-0,004831	-0,00470033	0,000769	0,000266	0,000851	0,000628667	-0,000659	0,00128767
788,747	-0,005229	-0,006941	-0,007236	-0,00646867	-0,004067	-0,001346	0,003357	-0,000685333	-0,002462	-0,002244	-0,00259	-0,002432	-0,00832	-0,007597	-0,006923	-0,00761333	-0,008607	-0,008871	-0,009114	-0,008864	-0,010051	-0,009505	-0,009885	-0,00981367	-0,003956	-0,004555	-0,004649	-0,00438667	0,000837	0,000275	0,000783	0,000631667	-0,000766	0,00139767
790,676	-0,005271	-0,006945	-0,007201	-0,00647233	-0,004217	-0,001317	0,003234	-0,000766667	-0,00255	-0,002354	-0,002551	-0,002485	-0,008242	-0,007583	-0,006984	-0,007603	-0,008456	-0,009025	-0,009031	-0,00883733	-0,009916	-0,009465	-0,009817	-0,00973267	-0,003322	-0,003805	-0,003907	-0,003678	0,000735	0,000182	0,000715	0,000544	-0,000958	0,001502
792,604	-0,005083	-0,006876	-0,006923	-0,006294	-0,004135	-0,001177	0,003129	-0,000727667	-0,002673	-0,002278	-0,002429	-0,00246	-0,007997	-0,007534	-0,006989	-0,00750667	-0,008433	-0,009043	-0,008925	-0,00880033	-0,009696	-0,009405	-0,009602	-0,00956767	-0,002218	-0,00266	-0,002588	-0,00248867	0,000646	0,000197	0,000628	0,000490333	-0,00103	0,00152033
