wavenumber (cm-1)	CaF2 Substrat	Pery1	Pery2	Pery3	Pery3-1	Pery4	Pery5	TPCA1	TPCA2
3998.77422	0.67877	0.65503	0.53294	0.00092	0.6158400000000001	0.55194	0.62046	0.66548	0.67012
3997.80996	0.67904	0.65526	0.53308	0.00067	0.61588	0.55236	0.62061	0.66582	0.67047
3996.8457	0.67936	0.65569	0.53344	0.00084	0.61597	0.55264	0.62083	0.6660700000000001	0.67089
3995.88144	0.67944	0.656	0.53352	0.00063	0.61596	0.55254	0.6208	0.66606	0.67083
3994.91719	0.67941	0.6559	0.53329	0.00014	0.61602	0.55227	0.62065	0.66598	0.67056
3993.95293	0.67947	0.65555	0.53321	0.00095	0.61611	0.55232	0.6206700000000001	0.6658500000000001	0.67058
3992.98867	0.67955	0.65542	0.53331	0.00142	0.61613	0.55257	0.62077	0.66571	0.67065
3992.02442	0.67964	0.6556	0.5334	0.00137	0.6162	0.55263	0.62076	0.66576	0.67055
3991.06016	0.67971	0.65589	0.53355	0.00126	0.61628	0.55261	0.62069	0.66595	0.6704
3990.0959	0.67966	0.65604	0.53365	0.00104	0.61635	0.55263	0.62065	0.66601	0.67033
3989.13164	0.67957	0.65595	0.53361	0.00069	0.61647	0.55254	0.6207	0.66588	0.67034
3988.16739	0.67964	0.65576	0.53354	0.00038	0.61652	0.55245	0.62088	0.66581	0.67042
3987.20313	0.6797800000000001	0.65565	0.53352	0.00096	0.61644	0.55254	0.62095	0.66598	0.67058
3986.23887	0.67975	0.6556	0.53359	0.00115	0.61629	0.55267	0.62083	0.6662	0.67071
3985.27462	0.67962	0.65552	0.53369	0.00061	0.61615	0.55269	0.6208	0.66623	0.67076
3984.31036	0.67952	0.65539	0.53371	0.00099	0.61615	0.55271	0.62101	0.66611	0.67081
3983.3461	0.67945	0.6553	0.53367	0.00156	0.61635	0.55272	0.62117	0.6660700000000001	0.67082
3982.38184	0.67949	0.65539	0.5337	0.00135	0.61672	0.5527	0.62103	0.66625	0.67084
3981.41759	0.67966	0.65551	0.53388	0.00083	0.61693	0.55278	0.62091	0.66643	0.67091
3980.45333	0.67974	0.65541	0.53399	0.0005	0.61672	0.5529500000000001	0.62105	0.6664099999999999	0.67084
3979.48907	0.67959	0.65524	0.53395	0.00039	0.61643	0.55304	0.62125	0.66637	0.67073
3978.52482	0.67946	0.65523	0.534	0.00042	0.6163999999999999	0.55296	0.62132	0.6664099999999999	0.67073
3977.56056	0.67958	0.65549	0.53417	0.00044	0.61652	0.55286	0.62131	0.66632	0.67069
3976.5963	0.67981	0.65587	0.53417	0.00032	0.61665	0.55286	0.6212299999999999	0.66614	0.6706299999999999
3975.63204	0.67996	0.6561399999999999	0.53401	0.00076	0.61675	0.55294	0.62126	0.66622	0.67081
3974.66779	0.67999	0.65634	0.53394	0.00124	0.61678	0.55313	0.62158	0.66653	0.67106
3973.70353	0.6797299999999999	0.65637	0.534	0.00148	0.61664	0.55332	0.62179	0.66665	0.67104
3972.73927	0.67939	0.65612	0.53398	0.0012	0.61651	0.55331	0.62162	0.66653	0.67091
3971.77502	0.67955	0.65596	0.53395	0.00042	0.61665	0.5532899999999999	0.62142	0.66659	0.67105
3970.81076	0.67998	0.65609	0.53413	0.00058	0.6169	0.5534	0.62154	0.66679	0.6712900000000001
3969.8465	0.68013	0.65625	0.53443	0.00091	0.61704	0.55342	0.62174	0.66678	0.6713
3968.88225	0.6801199999999999	0.65628	0.5346	0.00111	0.61713	0.55339	0.62177	0.66666	0.67121
3967.91799	0.6801700000000001	0.65615	0.53456	0.00112	0.61718	0.55367	0.62165	0.66666	0.6713
3966.95373	0.68015	0.6559199999999999	0.53446	0.00075	0.61708	0.55414	0.62152	0.66667	0.67137
3965.98947	0.67992	0.65581	0.53445	0.00055	0.61692	0.5543	0.62156	0.66657	0.6712399999999999
3965.02522	0.67963	0.65582	0.53435	0.00124	0.61695	0.5541	0.62177	0.66652	0.67106
3964.06096	0.67955	0.6558	0.5341399999999999	0.00164	0.6170099999999999	0.55386	0.6218399999999999	0.66655	0.67091
3963.0967	0.67964	0.65568	0.53409	0.00141	0.61677	0.55366	0.62161	0.6664600000000001	0.6707
3962.13245	0.67969	0.65556	0.5342	0.00069	0.61651	0.55347	0.6214	0.66642	0.67065
3961.16819	0.67982	0.65568	0.53432	0.00035	0.61656	0.55342	0.62154	0.66674	0.67098
3960.20393	0.68007	0.6559	0.53442	0.00033	0.61663	0.5535099999999999	0.6218399999999999	0.66693	0.6713
3959.23967	0.68022	0.6559700000000001	0.53444	0.0006400000000000001	0.61658	0.55353	0.62195	0.66666	0.67133
3958.27542	0.68022	0.65595	0.5344	0.00088	0.61658	0.55371	0.6219	0.66628	0.67116
3957.31116	0.68032	0.65606	0.5343599999999999	0.0009	0.61675	0.5541	0.62195	0.6661899999999999	0.67094
3956.3469	0.68057	0.65624	0.53428	0.00084	0.61698	0.55431	0.62213	0.66643	0.67077
3955.38265	0.68066	0.65625	0.53428	0.00086	0.61694	0.55423	0.6221100000000001	0.6666800000000001	0.67072
3954.41839	0.68054	0.65613	0.5344100000000001	0.00078	0.6167	0.55408	0.62185	0.6667	0.67084
3953.45413	0.6803	0.6561399999999999	0.53437	0.00059	0.61661	0.55388	0.62164	0.66655	0.6711
3952.48987	0.68007	0.65627	0.53417	0.0004	0.61672	0.55381	0.6217	0.66642	0.6714599999999999
3951.52562	0.68003	0.65635	0.53435	0.00054	0.61671	0.5541	0.62196	0.66648	0.67178
