Wavenumber2	av. CaF2 BacVan30
1400	0.000103096
1401	0.000101278
1402	8.42284e-05
1403	8.62247e-05
1404	8.67529e-05
1405	9.10125e-05
1406	9.49293e-05
1407	8.56636e-05
1408	8.71846e-05
1409	8.78914e-05
1410	8.37454e-05
1411	9.47526e-05
1412	9.90233e-05
1413	9.01358e-05
1414	9.49047e-05
1415	0.000100066
1416	8.34785e-05
1417	7.17188e-05
1418	8.98461e-05
1419	8.47229e-05
1420	8.74667e-05
1421	8.67942e-05
1422	7.89412e-05
1423	8.66557e-05
1424	8.22948e-05
1425	8.51732e-05
1426	9.26707e-05
1427	7.42056e-05
1428	8.07212e-05
1429	8.00717e-05
1430	8.651e-05
1431	8.42132e-05
1432	9.6999e-05
1433	9.69672e-05
1434	6.46671e-05
1435	7.39668e-05
1436	7.80222e-05
1437	7.96363e-05
1438	8.35782e-05
1439	7.89037e-05
1440	8.11167e-05
1441	7.83025e-05
1442	8.19417e-05
1443	8.37969e-05
1444	8.42078e-05
1445	7.3236e-05
1446	7.88145e-05
1447	8.37683e-05
1448	8.46129e-05
1449	7.90751e-05
1450	8.22563e-05
1451	9.06521e-05
1452	9.64344e-05
1453	9.30365e-05
1454	7.02371e-05
1455	7.12558e-05
1456	6.85168e-05
1457	7.77029e-05
1458	8.38432e-05
1459	8.25109e-05
1460	9.17599e-05
1461	8.76979e-05
1462	7.68128e-05
1463	8.09274e-05
1464	8.87513e-05
1465	9.87462e-05
1466	8.37049e-05
1467	8.79399e-05
1468	9.43646e-05
1469	7.99809e-05
1470	6.56967e-05
1471	7.11604e-05
1472	7.79826e-05
1473	6.79655e-05
1474	6.37216e-05
1475	7.08248e-05
1476	7.50728e-05
1477	7.75352e-05
1478	6.76167e-05
1479	6.59829e-05
1480	6.81506e-05
1481	7.10975e-05
1482	6.91726e-05
1483	7.15106e-05
1484	6.40544e-05
1485	6.67743e-05
1486	6.49025e-05
1487	5.94257e-05
1488	6.17227e-05
1489	6.27176e-05
1490	6.45588e-05
1491	6.80479e-05
1492	7.26238e-05
1493	6.01043e-05
1494	6.01104e-05
1495	6.90609e-05
1496	6.01182e-05
1497	6.91217e-05
1498	7.41415e-05
1499	7.08755e-05
1500	7.32675e-05
1501	8.74309e-05
1502	9.91333e-05
1503	9.06816e-05
1504	6.64786e-05
1505	5.91461e-05
1506	6.28139e-05
1507	6.19747e-05
1508	6.41535e-05
1509	6.01842e-05
1510	5.97665e-05
1511	6.04328e-05
1512	6.62758e-05
1513	6.44672e-05
1514	5.84368e-05
1515	6.37886e-05
1516	7.8182e-05
1517	6.91711e-05
1518	7.00799e-05
1519	6.70871e-05
1520	8.05032e-05
1521	8.48003e-05
1522	7.46238e-05
1523	8.12457e-05
1524	8.58292e-05
1525	9.03331e-05
1526	8.78855e-05
1527	9.77313e-05
1528	9.37238e-05
1529	0.000106329
1530	6.77939e-05
1531	7.81257e-05
1532	8.88949e-05
1533	0.000108662
1534	0.000115379
1535	7.96618e-05
1536	6.38984e-05
1537	8.27058e-05
1538	8.74985e-05
1539	8.18522e-05
1540	9.95393e-05
1541	9.77308e-05
1542	7.85569e-05
1543	0.000108437
1544	0.000127443
1545	0.000145489
1546	0.000132069
1547	0.000104
1548	0.000128828
1549	0.000159279
1550	0.000158254
1551	0.000130563
1552	0.00016431
1553	0.000232484
1554	0.000171894
1555	8.34925e-05
1556	8.26439e-05
1557	7.29009e-05
1558	0.000117961
1559	0.000145388
1560	0.00015341
1561	0.000130247
1562	0.000114677
1563	0.000132755
1564	0.000153217
1565	0.000130597
1566	8.42152e-05
1567	9.05275e-05
1568	0.000104029
1569	0.00010277
1570	0.000113429
1571	0.000131761
1572	0.000107734
1573	7.369e-05
1574	8.84606e-05
1575	9.51727e-05
1576	9.54667e-05
1577	9.59238e-05
1578	0.000103411
1579	0.000101351
1580	0.00010262
1581	9.62746e-05
1582	0.000101886
1583	9.59735e-05
1584	0.000100127
1585	0.00010164
1586	0.000103408
1587	9.92735e-05
1588	9.89459e-05
1589	9.57006e-05
1590	0.000109272
1591	9.68156e-05
1592	9.82996e-05
1593	9.69608e-05
1594	0.000100043
1595	0.00010305
1596	0.000108725
1597	0.000105691
1598	0.000105812
1599	0.000100174
1600	9.78315e-05
1601	0.000106632
1602	0.000111585
1603	0.000104084
1604	0.000111784
1605	0.000106295
1606	0.000100126
1607	0.00010743
1608	0.000115205
1609	0.000110442
1610	0.000126304
1611	0.000150793
1612	0.000162669
1613	0.00010436
1614	8.15026e-05
1615	0.000108082
1616	0.000122589
1617	0.00012813
1618	0.000137416
1619	0.000136346
1620	0.000114854
1621	0.000113301
1622	0.000127613
1623	0.000158103
1624	0.000143584
1625	0.000108012
1626	0.000128672
1627	0.000130749
1628	0.000136933
1629	0.000140579
1630	0.000163783
1631	0.000164997
1632	0.000141309
1633	7.94181e-05
1634	0.000127845
1635	0.000125557
1636	0.000132851
1637	0.000144101
1638	0.000145456
1639	0.000144857
1640	0.000154764
1641	0.000180342
1642	0.000200199
1643	0.000160376
1644	0.000105598
1645	9.18968e-05
1646	0.000143902
1647	0.000168597
1648	0.000168962
1649	0.000106062
1650	8.29671e-05
1651	8.23701e-05
1652	0.000111067
1653	0.000123244
1654	0.000129064
1655	0.000125882
1656	0.000127594
1657	0.000123255
1658	0.00011819
1659	0.000113007
